LIAISON_INF__LIAISON;SENS;ABS_DEB;ABS_FIN;LIBELLE;TENANT;ABOUT
A63;1;34750;139606;Bordeaux - Bayonne;Bordeaux;Bayonne
A63;2;34750;139606;Bayonne - Bordeaux;Bayonne;Bordeaux
A63;3;34750;139606;Bordeaux - Bayonne;Bordeaux;Bayonne
A63-09;E2;0;600;Echangeur RD824;;
A63-09;S1;0;1160;Echangeur RD824;;
A63-10;E1;0;298;Diffuseur de Soustons;;
A63-10;E2;0;179;Diffuseur de Soustons;;
A63-10;S1;0;355;Diffuseur de Soustons;;
A63-10;S2;0;185;Diffuseur de Soustons;;
A63-11;E1;0;230;Diffuseur de Magescq;;
A63-11;E2;0;282;Diffuseur de Magescq;;
A63-11;S1;0;151;Diffuseur de Magescq;;
A63-11;S2;0;387;Diffuseur de Magescq;;
A63-12;E1;0;323;Diffuseur de Castets;;
A63-12;E2;0;338;Diffuseur de Castets;;
A63-12;S1;0;431;Diffuseur de Castets;;
A63-12;S2;0;400;Diffuseur de Castets;;
A63-13;E1;0;328;Diffuseur de Le Souquet;;
A63-13;E2;0;248;Diffuseur de Le Souquet;;
A63-13;S1;0;357;Diffuseur de Le Souquet;;
A63-13;S2;0;282;Diffuseur de Le Souquet;;
A63-14;E1;0;249;Diffuseur de Onesse et La;;
A63-14;E2;0;191;Diffuseur de Onesse et La;;
A63-14;S1;0;292;Diffuseur de Onesse et La;;
A63-14;S2;0;192;Diffuseur de Onesse et La;;
A63-15;E1;0;298;Diffuseur de Cap de Pin;;
A63-15;E2;0;155;Diffuseur de Cap de Pin;;
A63-15;S1;0;403;Diffuseur de Cap de Pin;;
A63-15;S2;0;185;Diffuseur de Cap de Pin;;
A63-16;E1;0;260;Diffuseur de Labouheyre;;
A63-16;E2;0;287;Diffuseur de Labouheyre;;
A63-16;S1;0;277;Diffuseur de Labouheyre;;
A63-16;S2;0;320;Diffuseur de Labouheyre;;
A63-17;E1;0;350;Diffuseur de Liposthey;;
A63-17;E2;0;333;Diffuseur de Liposthey;;
A63-17;S1;0;358;Diffuseur de Liposthey;;
A63-17;S2;0;310;Diffuseur de Liposthey;;
A63-18;E1;0;305;Diffuseur Le Muret;;
A63-18;E2;0;372;Diffuseur Le Muret;;
A63-18;S1;0;304;Diffuseur Le Muret;;
A63-18;S2;0;240;Diffuseur Le Muret;;
A63-19;E1;0;914;Inconnue;;
A63-19;S2;0;610;inconnue;;
A63-21;E1;0;251;Diffuseur de Salles;;
A63-21;E2;0;203;Diffuseur de Salles;;
A63-21;S1;0;177;Diffuseur de Salles;;
A63-21;S2;0;279;Diffuseur de Salles;;
A63-R1;E1;0;219;Aire de Lugos;;
A63-R1;E2;0;213;Aire de Lugos;;
A63-R1;S1;0;200;Aire de Lugos;;
A63-R1;S2;0;213;Aire de Lugos;;
A63-R2;E1;0;177;Aire de Muret;;
A63-R2;S1;0;158;Aire de Muret;;
A63-R3;E1;0;188;Aire de Labouheure;;
A63-R3;E2;0;201;Aire de Labouheure;;
A63-R3;S1;0;183;Aire de Labouheure;;
A63-R3;S2;0;177;Aire de Labouheure;;
A63-R4;E1;0;249;Aire de Onesse et Laharie;;
A63-R4;E2;0;191;Aire de Onesse et Laharie;;
A63-R4;S1;0;183;Aire de Onesse et Laharie;;
A63-R4;S2;0;160;Aire de Onesse et Laharie;;
A63-R5;E1;0;136;Aire de Souquet;;
A63-R5;E2;0;242;Aire de Souquet;;
A63-R5;S1;0;220;Aire de Souquet;;
A63-R5;S2;0;171;Aire de Souquet;;
A63-R6;E1;0;304;Aire de Magescq Ouest;;
A63-R6;E2;0;336;Aire de Magescq Est;;
A63-R6;S1;0;226;Aire de Magescq Ouest;;
A63-R6;S2;0;257;Aire de Magescq Est;;
