Cpt(DOC__ID;DOC_INF.ID;CD_DOC__CODE;REF);Cpt(CLS__ID;CLS_INF.ID;TABLE_NAME;KEY_VALUE);DEFAUT;DOSSIER
PHOTOS;Capture 5-6-12 campagne OH.PNG;PT_SING_INF;¤~¤ACCES¤~¤A63¤~¤2¤~¤68750¤~¤;NON;
PLANS;1a31.dwg;PT_SING_INF;¤~¤ECH¤~¤A1¤~¤3¤~¤113700¤~¤;NON;
PLANS;221a31.dwg;PT_SING_INF;¤~¤BIF¤~¤A1¤~¤3¤~¤0¤~¤;NON;
PLANS;222a31.dwg;PT_SING_INF;¤~¤BIF¤~¤A1¤~¤3¤~¤0¤~¤;NON;
PLANS;223a31.dwg;PT_SING_INF;¤~¤BIF¤~¤A1¤~¤3¤~¤0¤~¤;NON;
PLANS;224a31.dwg;PT_SING_INF;¤~¤BIF¤~¤A1¤~¤3¤~¤0¤~¤;NON;
PLANS;229a31a.dwg;PT_SING_INF;¤~¤ECH¤~¤A1¤~¤3¤~¤113700¤~¤;NON;
PLANS;229a31b.dwg;PT_SING_INF;¤~¤ECH¤~¤A1¤~¤3¤~¤113700¤~¤;NON;
PLANS;229a31c.dwg;PT_SING_INF;¤~¤ECH¤~¤A1¤~¤3¤~¤113700¤~¤;NON;
PLANS;229a31d.dwg;PT_SING_INF;¤~¤ECH¤~¤A1¤~¤3¤~¤113700¤~¤;NON;
PLANS;229a31e.dwg;PT_SING_INF;¤~¤ECH¤~¤A1¤~¤3¤~¤113700¤~¤;NON;
PLANS;229a31f.dwg;PT_SING_INF;¤~¤ECH¤~¤A1¤~¤3¤~¤113700¤~¤;NON;
PLANS;229a31g.dwg;PT_SING_INF;¤~¤ECH¤~¤A1¤~¤3¤~¤113700¤~¤;NON;
PLANS;CR_Atelier Chaussées_05052011_V0a.pdf;PT_SING_INF;¤~¤PS¤~¤A1¤~¤3¤~¤0¤~¤;NON;
PLANS;Echangeurs.xls;PT_SING_INF;¤~¤PS¤~¤A1¤~¤3¤~¤0¤~¤;NON;
PLANS;Type Position GMS.bmp;PT_SING_INF;¤~¤PS¤~¤A1¤~¤3¤~¤0¤~¤;NON;
PLANS;blason.bmp;PT_SING_INF;¤~¤VAU¤~¤A2¤~¤2¤~¤300552¤~¤;NON;
