CD_VOIE_INF__VOIE;LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;ABS_FIN;NUM;NBRE;NUM_VNR;NBRE_VNR
VL;A63;2;34000;34750;1;2;1;3
VR;A63;2;34000;34750;2;2;2;3
BDG;A63;2;34000;34750;0;0;3;3
BAU;A63;2;34750;49450;0;0;1;5
VL;A63;2;34750;49450;1;3;2;5
VR;A63;2;34750;49450;2;3;3;5
EI;A63;2;34750;49450;3;3;4;5
BDG;A63;2;34750;49450;0;0;5;5
BAU;A63;2;49450;53330;0;0;1;5
VL;A63;2;49450;53330;1;3;2;5
VR;A63;2;49450;53330;2;3;3;5
EI;A63;2;49450;53330;3;3;4;5
BDG;A63;2;49450;53330;0;0;5;5
BAU;A63;2;53330;60650;0;0;1;5
VL;A63;2;53330;60650;1;3;2;5
VR;A63;2;53330;60650;2;3;3;5
EI;A63;2;53330;60650;3;3;4;5
VL;A63;1;34000;34750;1;2;1;3
BDG;A63;2;53330;60650;0;0;5;5
BAU;A63;2;60650;63150;0;0;1;5
VL;A63;2;60650;63150;1;3;2;5
VR;A63;2;60650;63150;2;3;3;5
EI;A63;2;60650;63150;3;3;4;5
BDG;A63;2;60650;63150;0;0;5;5
BAU;A63;2;63150;66750;0;0;1;5
VL;A63;2;63150;66750;1;3;2;5
VR;A63;2;63150;66750;2;3;3;5
EI;A63;2;63150;66750;3;3;4;5
BDG;A63;2;63150;66750;0;0;5;5
BAU;A63;2;66750;71750;0;0;1;5
VL;A63;2;66750;71750;1;3;2;5
VR;A63;2;66750;71750;2;3;3;5
VR;A63;1;34000;34750;2;2;2;3
BDG;A63;1;34000;34750;0;0;3;3
BAU;A63;1;34750;49450;0;0;1;5
VL;A63;1;34750;49450;1;3;2;5
VR;A63;1;34750;49450;2;3;3;5
EI;A63;1;34750;49450;3;3;4;5
BDG;A63;1;34750;49450;0;0;5;5
BAU;A63;1;49450;53330;0;0;1;5
VL;A63;1;49450;53330;1;3;2;5
VR;A63;1;49450;53330;2;3;3;5
EI;A63;1;49450;53330;3;3;4;5
BDG;A63;1;49450;53330;0;0;5;5
BAU;A63;1;53330;60650;0;0;1;5
VL;A63;1;53330;60650;1;3;2;5
VR;A63;1;53330;60650;2;3;3;5
EI;A63;1;53330;60650;3;3;4;5
BDG;A63;1;53330;60650;0;0;5;5
BAU;A63;1;60650;63150;0;0;1;5
VL;A63;1;60650;63150;1;3;2;5
VR;A63;1;60650;63150;2;3;3;5
EI;A63;1;60650;63150;3;3;4;5
BDG;A63;1;60650;63150;0;0;5;5
BAU;A63;1;63150;65750;0;0;1;5
VL;A63;1;63150;65750;1;3;2;5
VR;A63;1;63150;65750;2;3;3;5
EI;A63;1;63150;65750;3;3;4;5
BDG;A63;1;63150;65750;0;0;5;5
BAU;A63;1;65750;71750;0;0;1;5
VL;A63;1;65750;71750;1;3;2;5
VR;A63;1;65750;71750;2;3;3;5
EI;A63;1;65750;71750;3;3;4;5
BDG;A63;1;65750;71750;0;0;5;5
BAU;A63;1;71750;73150;0;0;1;5
VL;A63;1;71750;73150;1;3;2;5
VR;A63;1;71750;73150;2;3;3;5
EI;A63;1;71750;73150;3;3;4;5
BDG;A63;1;71750;73150;0;0;5;5
BAU;A63;1;73150;75150;0;0;1;5
VL;A63;1;73150;75150;1;3;2;5
VR;A63;1;73150;75150;2;3;3;5
EI;A63;1;73150;75150;3;3;4;5
