DSC_OA__NUM_OA;CAMP_OA__ID_CAMP;REALISER
OH  383;OA - OH 1;OUI
OH  356;OA - OH 1;OUI
OH  382;OA - OH 1;OUI
OH  446;OA - OH 1;OUI
OH  495;OA - OH 1;OUI
OH  730;OA - OH 1;NON
OH  760a;OA - OH 1;NON
OH  760b;OA - OH 1;NON
OH  844a;OA - OH 1;NON
OH  844b;OA - OH 1;NON
OH  919a;OA - OH 1;OUI
OH  919b;OA - OH 1;OUI
OH  941;OA - OH 1;OUI
OH  952;OA - OH 1;OUI
OH 1062a;OA - OH 1;OUI
OH 1062b;OA - OH 1;NON
OH 1166;OA - OH 1;OUI
OH 1294;OA - OH 1;OUI
OH 1295;OA - OH 1;OUI
OH 1300;OA - OH 1;OUI
OH 1324;OA - OH 1;NON
OH  411a;OA - OH 2;NON
OH  615a;OA - OH 2;NON
OH  615b;OA - OH 2;NON
OH  619a;OA - OH 2;NON
OH  619b;OA - OH 2;NON
OH  621a;OA - OH 2;NON
OH  621b;OA - OH 2;NON
OH  621c;OA - OH 2;NON
OH  629a;OA - OH 2;NON
OH  629b;OA - OH 2;NON
OH  636a;OA - OH 2;NON
OH  636b;OA - OH 2;NON
OH  636c;OA - OH 2;NON
OH  721a;OA - OH 2;NON
OH  721b;OA - OH 2;NON
OH  721c;OA - OH 2;NON
OH  745a;OA - OH 2;NON
OH  745b;OA - OH 2;NON
OH  745c;OA - OH 2;NON
OH  747a;OA - OH 2;NON
OH  747b;OA - OH 2;NON
OH  747c;OA - OH 2;NON
OH  760c;OA - OH 2;NON
OH 1154b;OA - OH 2;NON
OH  760c;test;NON
OH 1062b;test;OUI
OH  760a;test;NON
OH 1062a;test;OUI
PA  505;test;NON
PS  621;test;OUI
OH  621b;test;OUI
OH  760b;test;NON
PS  909;test;OUI
PI 1049;test;NON
PS 1163;test;NON
OH 1166;test;OUI
OH 1294;test;OUI
PS 1297;test;OUI
PI 1301;test;OUI
PS 577;OA neufs;OUI
PI 737;OA neufs;OUI
PS  861;PTZ OA SEM37;NON
PS  909;PTZ OA SEM37;NON
PS  973;PTZ OA SEM37;NON
PS 1012;PTZ OA SEM37;NON
PI 1301;PTZ OA SEM37;NON
PS 1309;PTZ OA SEM37;NON
PS 1347;PTZ OA SEM37;NON
PS 1378;PTZ OA SEM37;NON
PS  361;PTZ OA SEM38;NON
PS  415;PTZ OA SEM38;NON
PS  538;PTZ OA SEM38;NON
PS  559;PTZ OA SEM38;NON
PS 1163;PTZ OA SEM38;NON
PS 1172;PTZ OA SEM38;NON
PS 1174;PTZ OA SEM38;NON
PS 1221;PTZ OA SEM38;NON
PS  463;PTZ OA SEM40;NON
PS  517;PTZ OA SEM40;NON
PS 1042;PTZ OA SEM40;NON
PS 1079;PTZ OA SEM40;NON
PS 1118;PTZ OA SEM40;NON
PS 1139;PTZ OA SEM40;NON
PS 1247;PTZ OA SEM40;NON
PS 1297;PTZ OA SEM40;NON
PS  621;PTZ OA SEM41;NON
PS  687;PTZ OA SEM41;NON
PS  717;PTZ OA SEM41;NON
PS  743;PTZ OA SEM41;NON
PI  746 ;PTZ OA SEM41;NON
PS  759;PTZ OA SEM41;NON
PS  782;PTZ OA SEM41;NON
PS  828;PTZ OA SEM41;NON
PI 1154;PTZ OA SEM42;NON
PI  382;PTZ OA SEM42;NON
PS  439;PTZ OA SEM42;NON
PA  505;PTZ OA SEM42;NON
PI  941;PTZ OA SEM42;NON
PI  953;PTZ OA SEM42;NON
