LIAISON;SENS;ABS_DEB;ABS_FIN;NUM_OA;NUM_EXPLOIT;NOM_USAGE;CD_FAM_OA__FAMILLE;CD_TYPE_OA__TYPE;VPF;DATE_MS;CD_TABLIER_OA__TABLIER;NBPILESINTER;LONG_MAX_TRAV;GAB_MINI;GAB_GRA;CD_GEST_OA__GESTIONNAIRE;CD_ENTP_OA__ENTREPRISE;CD_BE_OA__BUREAU;CD_MO_OA__MAITRE_OUVR;CD_CHARGE_OA__SURCHARGE;NOTE1;NOTE2;NOTE3;URGENCE;DESC_INVA;ENVIRONNEMENT;PRIORITAIRE;PROSURV_ANNEE;DERN_INSP;CD_FOND_OA__TYPE;SISMICITE;IMMERGE;CD_MAT_OA__MATERIAUX;DEVIATION;TRAVURE;BIAIS;LONG_BIAISE;LARG_BIAISE;LARG_TRAV;LARG_GS;SURF_TABLIER;DALLE;CORN;LANTERNEAU;EQUIP_VST;TRAFIC_VPF;SURF_VPF;CD_QUALITE_OA__QUALITE;VALID;ARCHIVE;COMMENTAIRE;CD_IQOA_OA__NOTE_IQOA;CD_HIERARCHIE_OA__HIERARCHIE;DATE_CONST;DERN_VST;NOTE_VST
A63;1;91855;91855;OH  919b;OH919b/OH571b/N10038;OH1 / Pont de Hossegor;OH;CB;Ruisseau d''Hossegor;01/01/1975 00:00:00;Inconnu;;;2.82;NON;Egis Exploitation Aquitaine;;;ATLANDES;;0;2;0;1.0;;NON;NON;2018;23/05/2013 00:00:00;Inconnu;NON;NON;Béton;;;62;21.2;;4.5;;48.8;NON;NON;NON;NON;;;Bon;OUI;OH1 et OH2;Dernière inspection détaillée connue : 2004¤r¤n¤Dernière note IQOA connue : 2E et 2;2;;;;
A63;1;106159;106159;OH 1062b;OH1062b/OH714b/N10046;OH3 - Pont de Pouyanne;OH;CB;Ruisseau Le Bourg;01/01/1977 00:00:00;Inconnu;;;3.1;NON;Egis Exploitation Aquitaine;;;ATLANDES;;0;3;3;1.1;;OUI;OUI;2017;29/10/2012 00:00:00;Inconnu;NON;NON;Béton;;1;98;76;;4.7;;310;NON;NON;NON;NON;;;Moyen;OUI;OH 3-4-5;Dernière inspection détaillée connue : 2001¤r¤n¤Dernière note IQOA connue : 2E;3U;;;;
A63;3;129965;129965;OH 1300;OH1300/OH952N10056;Ruisseau de Labeque;OH;CB;Ruisseau de Magescq;01/01/1979 00:00:00;Inconnu;;;;NON;Egis Exploitation Aquitaine;;;ATLANDES;;0;2;0;1.0;;NON;NON;2018;29/05/2013 00:00:00;Inconnu;NON;NON;Béton;;1;98;55.1;;3.4;;185;NON;NON;NON;NON;;;Bon;OUI;;;2;;;;
A63;3;61465;61465;OH  615a;OH615a/OH267a/N10007;Pont de Loustalet;OH;CBB;Ruisseau de la poste;01/01/1974 00:00:00;Inconnu;;;;NON;Egis Exploitation Aquitaine;;;;;;;;0;;NON;NON;;;Inconnu;NON;NON;Béton;;1;47;54.9;;3.5;;185;NON;NON;NON;NON;;;Bon;OUI;;Dernière inspection détaillée connue : 2008¤r¤n¤Dernière note IQOA connue : 2;2;;;;
A63;3;57650;57650;PS 577;PSGF577/PSGF229;Grande Faune;PS;PSGF;Passage Grande Faune;01/04/2013 00:00:00;Béton armé;3;16.41;4.95;OUI;Egis Exploitation Aquitaine;DEMATHIEU&BARD;;ATLANDES;Inconnu;3;1;1;4.0;==>¤~t~¤PSGF 229, passage supérieur grande faune de la section nord, ouvrage atypique constitué d''un PRAD et deux PIPO qui constituent ses culées. ;NON;OUI;2018;12/04/2013 00:00:00;Semelles;NON;NON;Béton;;4;100;50.08;12;13.2;;661;NON;OUI;NON;NON;;600.9;Moyen;OUI;;;2E;3 : faible;01/12/2012 00:00:00;;
A63;3;73671;73691;PI 737;PI SNCF 737/PI389;OA SNCF;PI;PD;SNCF ligne Bordeaux - Irun;01/01/2013 00:00:00;Métal;2;19.8;6.1;OUI;Egis Exploitation Aquitaine;DEMATHIEU&BARD;;ATLANDES;Inconnu;2;1;1;1.0;;NON;NON;2018;11/04/2013 00:00:00;Pieux;NON;NON;Béton;;3;44;79;29.76;31.2;29.76;2465;NON;OUI;NON;NON;;2351;Bon;OUI;;;2;1 : fort;01/01/2013 00:00:00;;
A63;3;72963;72963;OH  730;OH730/OH382;Pont de Mariné;OH;CB;Ruisseau de Mariné;25/04/2013 00:00:00;Inconnu;;;;NON;Egis Exploitation Aquitaine;;;ATLANDES;;;;;0;;NON;NON;;;Inconnu;NON;NON;Béton;;1;;50;;2.5;;148;NON;NON;NON;NON;;;Bon;OUI;;;2;;;;
A63;2;63825;0;TP201212175063015;OH288a;OH288;OH;PV;;;Inconnu;;;;NON;;;;;;;;;;;NON;NON;;;;NON;NON;;;;;;;;;;NON;NON;NON;NON;;;Aucun;NON;;;;;;;
A63;3;78217;78217;PS  782;PS782/PS434/N100331;PS5 - Pont de Lucet;PS;PD;CR 36;01/01/2001 00:00:00;Inconnu;1;;5.08;NON;;;;ATLANDES;;;;;0;;NON;NON;;;Inconnu;NON;NON;Béton;;2;;50;5.5;7;;276;NON;NON;NON;NON;20;;Bon;OUI;PS5 et PS6;Dernière inspection détaillée connue : 2010¤r¤n¤Dernière note IQOA connue : 2;2;;;;
A63;3;61890;61890;OH  619a;OH619a/OH271a/N10010;Ruisseau du Basque;OH;CBB;Ruisseau de Chantelaude;01/01/1974 00:00:00;Inconnu;2;;;NON;Egis Exploitation Aquitaine;;;;;;;;0;;NON;NON;;;Inconnu;NON;NON;Béton;;3;;62.2;;3.5;;111;NON;NON;NON;NON;;;Bon;OUI;;Dernière inspection détaillée connue : 2007¤r¤n¤Dernière note IQOA connue : 2;2;;;;
