DSC_OA__NUM_OA;CAMP_OA__ID_CAMP;GRP_OA__ID_GRP;PRT_OA__ID_PRT;SPRT_OA__ID_SPRT;ELT_OA__ID_ELEM;INDICE;OBS
PS 577;OA neufs;2;201;2013;20139;1;RAS
PS 577;OA neufs;2;203;2032;20320;1;RAS
PS 577;OA neufs;2;203;2032;20321;1;RAS
PS 577;OA neufs;3;301;3011;30110;1;RAS
PS 577;OA neufs;3;301;3011;30112;1;RAS
PS 577;OA neufs;3;301;3011;30113;1;RAS
PS 577;OA neufs;3;313;3131;31310;1;RAS
PI 737;OA neufs;1;101;1016;10169;2;C0, culée sud les appariel d''appuis sont positionnés au bord des bossages
PI 737;OA neufs;1;101;1016;10168;1;C0, petit décollement ponctuels de certains appuis.
PI 737;OA neufs;1;101;1018;10180;1;C3, localement l''eau de la chaussée ruissele sur le mur garde-grève.
PI 737;OA neufs;1;101;1018;10184;0;Note 2 : C0, présence d''aciers coupés à la surface du sommier. Ces aciers de construction sont oxydés.¤r¤n¤C3, présence de tubes en acier coupés à la surface du sommier. ces tubes sont oxydés.
PI 737;OA neufs;1;102;1022;10220;1;P2 sud , face C3, présence d''un eclat de béton en place¤r¤n¤P2 nord, face P1, eclat de béton en pied de voile sans acier apparent.
PI 737;OA neufs;1;102;1022;10221;1;Fissures retombantes d''ouverture 0.1 mm sur les chevêtres de P1 et p2
PI 737;OA neufs;1;102;1022;10224;0;Note 1 : Présence des tubes de fixation des gardes corps de chantier à la cîme des piles.
PI 737;OA neufs;1;102;1024;10241;1;P1 et P2, les appareils d''appuis en place sont légérement boudinés, fonctionnement normal. 
PI 737;OA neufs;1;102;1024;10248;1;P1 sud, deux appuis légérement décollés en angle (2 mm maxi sur 10 cm² maxi).¤r¤n¤P2 nord, deux appuis légérement décollés en angle (2 mm maxi sur 10 cm² maxi).
PI 737;OA neufs;1;102;1024;10249;1;P2 nord cheminement de certains appuis, ils sont positionné au bord des bossages.
PI 737;OA neufs;1;102;1026;10263;1;P1 et P2, quelques fissures retombantes d''ouverture maxiimum 0.1 mm
PI 737;OA neufs;2;204;2042;20424;1;Dégradations de la protection anticorrosion par décollment des feuilles de peinture, apparition de piqures de rouille localisé sans réduction des sections.
PI 737;OA neufs;2;204;2042;20421;1;Dégradations de la protection anticorrosion par décollment des feuilles de peinture,  les zones concernées par ces défauts sont les extrémités des poutres sur les culées et les joints sur les piles.
PI 737;OA neufs;2;204;2044;20444;0;Commentaire : il s''agit d''un coffrage perdu
PI 737;OA neufs;3;311;3113;31135;0;Note 1 : Quelques fissures, d''ouverture maxi 0.2 millimètre sur les éléments préfabriqués du mur de soutenement.
PI 737;OA neufs;3;304;3041;30410;1;RAS
PI 737;OA neufs;3;304;3041;30411;1;RAS
PI 737;OA neufs;3;304;3041;30412;1;RAS
PI 737;OA neufs;3;304;3041;30413;1;RAS
PI 737;OA neufs;3;304;3041;30414;1;RAS
PI 737;OA neufs;3;304;3041;30415;1;RAS
PI 737;OA neufs;3;305;3050;30500;1;RAS
