DSC_OA__NUM_OA;DATE_NOTE;CD_ORIGIN_OA__ORIGINE;NOTE_IQOA;NOTE1;NOTE2;NOTE3;URGENCE;ENVIRONNEMENT;PRIORITAIRE
OH 1062a;29/11/2012 00:00:00;INSPECTION;1;0;1;2;1.1;OUI;NON
OH  636a;20/11/2012 00:00:00;INSPECTION;2ES;0;2;0;1.1;OUI;NON
OH  636b;20/11/2012 00:00:00;INSPECTION;2ES;0;3;2;1.1;OUI;NON
OH 1166;31/10/2012 00:00:00;INSPECTION;3;0;3;3;1.1;OUI;NON
PI 1301;31/10/2012 00:00:00;INSPECTION;2S;0;3;3;1.1;OUI;NON
PS 1297;30/10/2012 00:00:00;INSPECTION;2ES;2;1;2;1.1;OUI;NON
OH 1062b;29/10/2012 00:00:00;INSPECTION;3U;0;3;3;1.1;OUI;OUI
PS  909;25/10/2012 00:00:00;INSPECTION;1;1;1;3;1.1;NON;NON
OH 1294;24/10/2012 00:00:00;INSPECTION;3U;0;3;3;1.1;OUI;OUI
OH  621b;24/10/2012 00:00:00;INSPECTION;1S;0;3;3;1.1;NON;NON
PS  621;23/10/2012 00:00:00;INSPECTION;3US;3;1;3;1.1;NON;NON
OH  919a;11/06/2013 11:20:24;INSPECTION;2;0;2;0;1.0;NON;NON
PS 577;30/07/2013 12:20:41;INSPECTION;2E;3;1;1;4.0;NON;OUI
PI 737;30/07/2013 12:32:27;INSPECTION;2;2;1;1;1.0;NON;NON
OH  356;10/10/2013 09:30:36;INSPECTION;2;0;2;1;1.0;NON;NON
OH  382;10/10/2013 09:37:45;INSPECTION;2E;0;3;0;1.4;NON;NON
OH  383;10/10/2013 09:38:31;INSPECTION;2;0;2;0;1.0;NON;NON
OH  446;10/10/2013 09:38:35;INSPECTION;2E;0;3;0;4.4;NON;NON
OH  495;10/10/2013 09:38:37;INSPECTION;2E;0;2;0;1.0;NON;NON
OH  919b;10/10/2013 09:38:40;INSPECTION;2;0;2;0;1.0;NON;NON
OH  941;10/10/2013 09:39:06;INSPECTION;2;0;3;0;4.4;NON;NON
OH  952;10/10/2013 09:39:13;INSPECTION;2E;0;3;0;4.4;NON;NON
OH 1062a;10/10/2013 09:39:35;INSPECTION;2E;0;3;0;4.4;NON;NON
OH 1166;10/10/2013 09:39:37;INSPECTION;2E;0;2;0;1.0;NON;NON
OH 1294;10/10/2013 09:39:39;INSPECTION;2E;0;3;0;4.4;NON;NON
OH 1295;10/10/2013 09:39:43;INSPECTION;2;0;1;0;1.0;NON;NON
OH 1300;10/10/2013 09:39:45;INSPECTION;2;0;2;0;1.0;NON;NON
