LIAISON;CD_LIAISON_INF__CD_LIAISON;LIBELLE
A63-10;DIF;Diffuseur de Soustons
A63-R3;AIRE;Aire de Labouheyre
A63-R1;AIRE;Aire de Lugos
A63-R6;AIRE;Aire de Magescq
A63-R2;AIRE;Aire de Muret
A63-R4;AIRE;Aire de Onesse et Laharie
A63-R5;AIRE;Aire de Souquet
A63-15;DIF;Diffuseur de Cap de Pin
A63-12;DIF;Diffuseur de Castets
A63-16;DIF;Diffuseur de Labouheyre
A63-13;DIF;Diffuseur de Le Souquet
A63-17;DIF;Diffuseur de Liposthey
A63-11;DIF;Diffuseur de Magescq
A63-14;DIF;Diffuseur de Onesse et Laharie
A63-21;DIF;Diffuseur de Salles
A63-20;DIF;demi-Diffuseur de Belin-Beliet
A63-18;DIF;Diffuseur Le Muret
A63-09;ECH;Echangeur RD824
A63-12-1;DIF;1/4 de Diffuseur de Castets
A63;AUTO;A63
A63-19;DIF;Diffuseur inconnu
