LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;ABS_FIN;CD_VOIE_INF__VOIE;LARGEUR;DATE_MS
A63;1;34750;49450;BAU;3;01/01/1981 00:00:00
A63;1;49450;53330;BAU;3;01/01/1975 00:00:00
A63;1;53330;60650;BAU;3;01/01/1973 00:00:00
A63;1;60650;63150;BAU;3;01/01/1971 00:00:00
A63;1;63150;73150;BAU;3;01/01/1950 00:00:00
A63;1;73150;75150;BAU;3;01/01/1972 00:00:00
A63;1;75150;81700;BAU;3;01/01/1974 00:00:00
A63;1;81700;84480;BAU;3;01/01/1976 00:00:00
A63;1;84480;86980;BAU;3;01/01/1972 00:00:00
A63;1;86980;92650;BAU;3;01/01/1976 00:00:00
A63;1;92650;102550;BAU;3;01/01/1977 00:00:00
A63;1;102550;106350;BAU;3;01/01/1978 00:00:00
A63;1;106350;114450;BAU;3;01/01/1973 00:00:00
A63;1;114450;118950;BAU;3;01/06/2012 00:00:00
A63;1;118950;119650;BAU;3;01/06/2012 00:00:00
A63;1;119650;119800;BAU;3;01/01/1977 00:00:00
A63;1;119800;139050;BAU;3;01/06/2012 00:00:00
A63;1;34000;34750;BDG;0.5;01/01/1981 00:00:00
A63;1;34750;65750;BDG;2.5;01/10/2012 00:00:00
A63;1;65750;71750;BDG;2.5;01/10/2012 00:00:00
A63;1;71750;103750;BDG;2.5;01/10/2012 00:00:00
A63;1;103750;106750;BDG;0.5;01/10/2012 00:00:00
A63;1;106750;109750;BDG;0.5;01/06/2012 00:00:00
A63;1;109750;139050;BDG;2.5;01/06/2012 00:00:00
A63;1;114250;118950;EE;3.5;01/06/2012 00:00:00
A63;1;118950;119800;EE;3.5;01/06/2012 00:00:00
A63;1;34750;65750;EI;3.5;01/10/2012 00:00:00
A63;1;65750;71750;EI;3.5;01/10/2012 00:00:00
A63;1;71750;103750;EI;3.5;01/10/2012 00:00:00
A63;1;103750;106750;EI;3.5;01/10/2012 00:00:00
A63;1;106750;109750;EI;3.5;01/06/2012 00:00:00
A63;1;109750;114250;EI;3.5;01/06/2012 00:00:00
A63;1;119800;139050;EI;3.5;01/06/2012 00:00:00
A63;1;34000;49450;VL;3.5;01/01/1981 00:00:00
A63;1;49450;53330;VL;3.5;01/01/1975 00:00:00
A63;1;53330;60650;VL;3.5;01/01/1973 00:00:00
A63;1;60650;63150;VL;3.5;01/01/1971 00:00:00
A63;1;63150;73150;VL;3.5;01/01/1950 00:00:00
A63;1;73150;75150;VL;3.5;01/01/1972 00:00:00
A63;1;75150;81700;VL;3.5;01/01/1974 00:00:00
A63;1;81700;84480;VL;3.5;01/01/1976 00:00:00
A63;1;84480;86980;VL;3.5;01/01/1976 00:00:00
A63;1;86980;92650;VL;3.5;01/01/1976 00:00:00
A63;1;92650;102550;VL;3.5;01/01/1977 00:00:00
A63;1;102550;106350;VL;3.5;01/01/1978 00:00:00
A63;1;106350;114550;VL;3.5;01/01/1973 00:00:00
A63;1;114550;119975;VL;3.5;01/01/1977 00:00:00
A63;1;119975;127250;VL;3.5;01/01/1950 00:00:00
A63;1;127250;131650;VL;3.5;01/01/1979 00:00:00
A63;1;131650;134100;VL;3.5;01/01/1950 00:00:00
A63;1;134100;138750;VL;3.5;01/01/1980 00:00:00
A63;1;34000;49450;VR;3.5;01/01/1981 00:00:00
A63;1;49450;53330;VR;3.5;01/01/1975 00:00:00
A63;1;53330;60650;VR;3.5;01/01/1973 00:00:00
A63;1;60650;63150;VR;3.5;01/01/1971 00:00:00
A63;1;63150;73150;VR;3.5;01/01/1950 00:00:00
A63;1;73150;75150;VR;3.5;01/01/1972 00:00:00
A63;1;75150;81700;VR;3.5;01/01/1974 00:00:00
A63;1;81700;84480;VR;3.5;01/01/1976 00:00:00
A63;1;84480;86980;VR;3.5;01/01/1972 00:00:00
A63;1;86980;92650;VR;3.5;01/01/1976 00:00:00
A63;1;92650;102550;VR;3.5;01/01/1977 00:00:00
A63;1;102550;106350;VR;3.5;01/01/1978 00:00:00
A63;1;106350;114550;VR;3.5;01/01/1973 00:00:00
A63;1;114550;119975;VR;3.5;01/01/1977 00:00:00
A63;1;119975;127250;VR;3.5;01/01/1950 00:00:00
A63;1;127250;131650;VR;3.5;01/01/1979 00:00:00
A63;1;131650;134100;VR;3.5;01/01/1950 00:00:00
A63;1;134100;138750;VR;3.5;01/01/1980 00:00:00
A63;2;34750;49450;BAU;3;01/01/1981 00:00:00
A63;2;49450;53330;BAU;3;01/01/1975 00:00:00
A63;2;53330;60650;BAU;3;01/01/1973 00:00:00
A63;2;60650;63150;BAU;3;01/01/1971 00:00:00
A63;2;63150;73150;BAU;3;01/01/1950 00:00:00
A63;2;73150;75150;BAU;3;01/01/1972 00:00:00
A63;2;75150;81700;BAU;3;01/01/1974 00:00:00
A63;2;81700;84480;BAU;3;01/01/1976 00:00:00
A63;2;84480;86980;BAU;3;01/01/1972 00:00:00
A63;2;86980;92650;BAU;3;01/01/1976 00:00:00
A63;2;92650;102550;BAU;3;01/01/1977 00:00:00
A63;2;102550;106350;BAU;3;01/01/1978 00:00:00
A63;2;106350;114150;BAU;3;01/01/1973 00:00:00
A63;2;114150;118950;BAU;3;01/06/2012 00:00:00
A63;2;118950;119975;BAU;3;01/01/1977 00:00:00
A63;2;119975;127250;BAU;3;01/01/1950 00:00:00
A63;2;127250;131650;BAU;3;01/01/1979 00:00:00
A63;2;131650;134100;BAU;3;01/01/1950 00:00:00
A63;2;134100;138750;BAU;3;01/01/1980 00:00:00
A63;2;34000;34750;BDG;0.5;01/01/1981 00:00:00
A63;2;34750;66750;BDG;2.5;01/06/2012 00:00:00
A63;2;66750;71750;BDG;0.5;01/06/2012 00:00:00
A63;2;71750;103750;BDG;2.5;01/06/2012 00:00:00
A63;2;103750;106750;BDG;0.5;01/10/2012 00:00:00
A63;2;106750;109750;BDG;0.5;01/06/2012 00:00:00
A63;2;109750;114550;BDG;0.5;01/01/1973 00:00:00
A63;2;114550;119800;BDG;0.5;01/01/1977 00:00:00
A63;2;119800;139050;BDG;2.5;01/06/2012 00:00:00
A63;2;114350;119800;EE;3.5;01/06/2012 00:00:00
A63;2;34750;66750;EI;3.5;01/06/2012 00:00:00
A63;2;66750;71750;EI;3.5;01/06/2012 00:00:00
A63;2;71750;103750;EI;3.5;01/06/2012 00:00:00
A63;2;103750;106750;EI;3.5;01/10/2012 00:00:00
A63;2;106750;109750;EI;3.5;01/06/2012 00:00:00
A63;2;109750;114350;EI;3.5;01/06/2012 00:00:00
A63;2;119800;139050;EI;3.5;01/06/2012 00:00:00
A63;2;34000;49450;VL;3.5;01/01/1981 00:00:00
A63;2;49450;53330;VL;3.5;01/01/1975 00:00:00
A63;2;53330;60650;VL;3.5;01/01/1973 00:00:00
A63;2;60650;63150;VL;3.5;01/01/1971 00:00:00
A63;2;63150;73150;VL;3.5;01/01/1950 00:00:00
A63;2;73150;75150;VL;3.5;01/01/1972 00:00:00
A63;2;75150;81700;VL;3.5;01/01/1974 00:00:00
A63;2;81700;84480;VL;3.5;01/01/1976 00:00:00
A63;2;84480;86980;VL;3.5;01/01/1972 00:00:00
A63;2;86980;92650;VL;3.5;01/01/1976 00:00:00
A63;2;92650;102550;VL;3.5;01/01/1977 00:00:00
A63;2;102550;106350;VL;3.5;01/01/1978 00:00:00
A63;2;106350;114550;VL;3.5;01/01/1973 00:00:00
A63;2;114550;119975;VL;3.5;01/01/1977 00:00:00
A63;2;119975;127250;VL;3.5;01/01/1950 00:00:00
A63;2;127250;131650;VL;3.5;01/01/1979 00:00:00
A63;2;131650;134100;VL;3.5;01/01/1950 00:00:00
A63;2;134100;138750;VL;3.5;01/01/1980 00:00:00
A63;2;34000;49450;VR;3.5;01/01/1981 00:00:00
A63;2;49450;53330;VR;3.5;01/01/1975 00:00:00
A63;2;53330;60650;VR;3.5;01/01/1973 00:00:00
A63;2;60650;63150;VR;3.5;01/01/1971 00:00:00
A63;2;63150;73150;VR;3.5;01/01/1950 00:00:00
A63;2;73150;75150;VR;3.5;01/01/1972 00:00:00
