CD_PT_SING_INF__CODE;LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;NOM_USAGE;LIBELLE;COMMENTAIRE
ACCES;A63;2;101150;1011 E;voie de désenclavement;
ACCES;A63;2;109050;1090 E;Aire de service de l''Ocèan-E / voie de désenclavement;
ACCES;A63;2;113820;1138 E;voie de désenclavement;
ACCES;A63;2;125150;1251 E;voie de désenclavement ;
ACCES;A63;2;127650;1276 E;Aire de repos de Magescq-E / VD;
ACCES;A63;2;134780;1347 E;RD10 E ;
ACCES;A63;2;122200;1222 E;voie de désenclavement;
ACCES;A63;2;123370;1234 E;BPV SUD - Parking N-E / Voie de désenclavement ;
ACCES;A63;1;41450;414 W;Voie rétablie RD110;
ACCES;A63;1;56800;567 W;Aire de service de la Porte des Landes-W / VD;
ACCES;A63;1;69650;696 W;Aire derepos de Labouheyre-W / VD;
ACCES;A63;1;74150;741 W;CEI LAB /giratoire D626;
ACCES;A63;1;86250;862 W;Voie désenclac / PS RD 385 ;
ACCES;A63;1;89650;896 W;Aire de repos Onesse-W / VD;
ACCES;A63;1;101050;1010 W;RD 10E;
ACCES;A63;1;107950;1079 W;Aire de service de l''Ocèan-W/RD10E;
ACCES;A63;1;113750;1137 W;RD 10E;
ACCES;A63;1;123250;1232 W;BPV Sud parking côté S-W / RD10E;ELECTRIQUE 
ACCES;A63;1;125150;1251 W;RD 10E;
ACCES;A63;1;126750;1267 W;Aire de repos de Magescq-W /RD10E;
ACCES;A63;1;134580;1345 W;Voie de désenclavement ;
ACCES;A63;2;41450;414 E;Voie rétablie RD 110;
ACCES;A63;2;55850;558 E;Aire de service de la Poret des Landes-E/  RD10E;
ACCES;A63;2;58500;585 E;BPV Nord / CEM EEA;ELECTRIQUE 
ACCES;A63;2;68750;687 E;voie dé désenclavement lieu dit  TUYAS / Piste 245 ;
ACCES;A63;2;74150;741 E;CEI/LAB VC rue L Moreau;SOLAIRE 
ACCES;A63;2;86250;862 E;RD 10E/ RD 385;
ACCES;A63;2;89250;892 E;Aire de repos d''Onesse-E / RD 10E ;
ACCES;A63;1;34750;33+0640 - DIRA;RD 108;PK-1 / SOLAIRE 
ACCES;A63;2;34750;33+0640 / DIRA;RD 108;PK-1
ACCES;A63;1;58400;584 W;BPV NORD  parking côté S-W;
ACCES;A63;1;122220;1222 W;RD10E;
AIRE_R;A63;1;40000;Aire de repos;Aire de Lugos Ouest;
AIRE_R;A63;3;69750;Aire de repos;Aire de Labouheure;(de chaque coté)
AIRE_R;A63;2;89130;Aire de repos;Aire de Onesse et Laharie Est;
AIRE_R;A63;2;39950;Aire de repos;Aire de Lugos Est;
AIRE_R;A63;1;89930;Aire de repos;Aire de Onesse et Laharie Ouest;
AIRE_R;A63;1;126950;Aire de repos;Aire de Magescq Ouest;
AIRE_R;A63;2;127500;Aire de repos;Aire de Magescq Est;
AIRE_S;A63;3;56750;Aire de service;Porte des Landes;(de chaque coté)
AIRE_S;A63;3;108750;Aire de service;Aire de l''Océan;(de chaque coté)
BPV;A63;3;58502;BPV;BPV Nord;
BPV;A63;3;123249;BPV;BPV Sud;
DIF;A63;3;130122;N°11;Diffuseur de Magescq;
DIF;A63;3;137807;N°10;Diffuseur de Soustons;
DIF;A63;3;139220;N° 9;Echangeur RD824;
DIF;A63;2;116285;N°12a;1/4 de diffuseur de Castets;
DIF;A63;3;36052;N°21;Diffuseur de Salles;
DIF;A63;3;51692;N°18;Diffuseur Le Muret;
DIF;A63;3;62059;N°17;Diffuseur de Liposthey;
DIF;A63;3;75946;N°16;Diffuseur de Labouheyre;
DIF;A63;3;82772;N°15;Diffuseur de Cap de Pin;
DIF;A63;3;94066;N°14;Diffuseur de Onesse et Laharie;
DIF;A63;3;104205;N°13;Diffuseur de Le Souquet;
DIF;A63;3;117368;N°12;Diffuseur de Castets;
ITPC;A63;3;37000;;;
ITPC;A63;3;35150;;;
ITPC;A63;3;39200;;;
ITPC;A63;3;40800;;;
ITPC;A63;3;43150;;;
ITPC;A63;3;45050;;;
ITPC;A63;3;47500;;;
ITPC;A63;3;49150;;;
ITPC;A63;3;49750;;;
ITPC;A63;3;51050;;;
ITPC;A63;3;53300;;;
ITPC;A63;3;55900;;;
ITPC;A63;3;58950;;;
ITPC;A63;3;61550;;;
ITPC;A63;3;73050;;;
ITPC;A63;3;64950;;;
ITPC;A63;3;67150;;;
ITPC;A63;3;68450;;;
ITPC;A63;3;68950;;;
ITPC;A63;3;71350;;;
ITPC;A63;3;75450;;;
ITPC;A63;3;76350;;;
ITPC;A63;3;78350;;;
ITPC;A63;3;80200;;;
ITPC;A63;3;82900;;;
ITPC;A63;3;85850;;;
ITPC;A63;3;88450;;;
ITPC;A63;3;91350;;;
ITPC;A63;3;92350;;;
ITPC;A63;3;95150;;;
ITPC;A63;3;97050;;;
ITPC;A63;3;99200;;;
ITPC;A63;3;101350;;;
ITPC;A63;3;103850;;;
ITPC;A63;3;104500;;;
ITPC;A63;3;107150;;;
ITPC;A63;3;109300;;;
ITPC;A63;3;114200;;;
ITPC;A63;3;112850;;;
ITPC;A63;3;114850;;;
ITPC;A63;3;117200;;;
ITPC;A63;3;117750;;;
ITPC;A63;3;119900;;;
ITPC;A63;3;121800;;;
ITPC;A63;3;124450;;;
ITPC;A63;3;126800;;;
ITPC;A63;3;129850;;;
ITPC;A63;3;130500;;;
ITPC;A63;3;132200;;;
ITPC;A63;3;130300;;;
ITPC;A63;3;137550;;;
PAU;A63;1;35450;;;
PAU;A63;2;35450;;;
PAU;A63;1;37250;;;
PAU;A63;2;37250;;;
PAU;A63;1;39000;;;
PAU;A63;2;39000;;;
PAU;A63;1;39800;;;
PAU;A63;2;39800;;;
PAU;A63;1;40750;;;
PAU;A63;2;40750;;;
PAU;A63;1;42500;;;
PAU;A63;2;42500;;;
PAU;A63;1;44250;;;
PAU;A63;2;44250;;;
PAU;A63;1;45750;;;
PAU;A63;2;45750;;;
PAU;A63;1;47250;;;
PAU;A63;2;47250;;;
PAU;A63;1;48750;;;
PAU;A63;2;48750;;;
PAU;A63;1;50500;;;
PAU;A63;2;50500;;;
