LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;NUM;INTER;ABS_CUM
A63;1;91;1000;91000
A63;1;92;1000;92000
A63;1;93;1000;93000
A63;1;94;1000;94000
A63;1;95;1000;95000
A63;1;96;1000;96000
A63;1;97;1000;97000
A63;1;98;1000;98000
A63;1;99;1000;99000
A63;1;100;1000;100000
A63;1;101;1000;101000
A63;1;102;1000;102000
A63;1;103;1000;103000
A63;1;104;1000;104000
A63;1;105;1000;105000
A63;1;106;1000;106000
A63;1;107;1000;107000
A63;1;108;1000;108000
A63;1;109;1000;109000
A63;1;110;1000;110000
A63;1;111;1000;111000
A63;1;112;1000;112000
A63;1;113;1000;113000
A63;1;114;1000;114000
A63;1;115;1000;115000
A63;1;116;1000;116000
A63;1;117;1000;117000
A63;1;118;1000;118000
A63;1;119;1000;119000
A63;1;120;1000;120000
A63;1;121;1000;121000
A63;1;122;1000;122000
A63;1;123;1000;123000
A63;1;124;1000;124000
A63;1;125;1000;125000
A63;1;126;1000;126000
A63;1;127;1000;127000
A63;1;128;1000;128000
A63;1;129;1000;129000
A63;1;130;1000;130000
A63;1;131;1000;131000
A63;1;132;1000;132000
A63;1;133;1000;133000
A63;1;134;1000;134000
A63;1;135;1000;135000
A63;1;136;1000;136000
A63;1;137;1000;137000
A63;1;138;1000;138000
A63;1;139;1000;139000
A63;1;140;1000;140000
A63;1;141;1000;141000
A63;2;34;1000;34000
A63;2;35;1000;35000
A63;2;36;1000;36000
A63;2;37;1000;37000
A63;2;38;1000;38000
A63;2;39;1000;39000
A63;2;40;1000;40000
A63;2;41;1000;41000
A63;2;42;1000;42000
A63;2;43;1000;43000
A63;2;44;1000;44000
A63;2;45;1000;45000
A63;2;46;1000;46000
A63;2;47;1000;47000
A63;2;48;1000;48000
A63;2;49;1000;49000
A63;2;50;1000;50000
A63;2;51;1000;51000
A63;2;52;1000;52000
A63;2;53;1000;53000
A63;2;54;1000;54000
A63;2;55;1000;55000
A63;2;56;1000;56000
A63;2;57;1000;57000
A63;2;58;1000;58000
A63;2;59;1000;59000
A63;2;60;1000;60000
A63;2;61;1000;61000
A63;2;62;1000;62000
A63;2;63;1000;63000
A63;2;64;1000;64000
A63;2;65;1000;65000
A63;2;66;1000;66000
A63;2;67;1000;67000
A63;2;68;1000;68000
A63;2;69;1000;69000
A63;2;70;1000;70000
A63;2;71;1000;71000
A63;2;72;1000;72000
A63;2;73;1000;73000
A63;2;74;1000;74000
A63;2;75;1000;75000
A63;2;76;1000;76000
A63;2;77;1000;77000
A63;2;78;1000;78000
A63;2;79;1000;79000
A63;2;80;1000;80000
A63;2;81;1000;81000
A63;2;82;1000;82000
A63;2;83;1000;83000
A63;2;84;1000;84000
A63;2;85;1000;85000
A63;2;86;1000;86000
A63;2;87;1000;87000
A63;2;88;1000;88000
A63;2;89;1000;89000
A63;2;90;1000;90000
A63;2;91;1000;91000
A63;2;92;1000;92000
A63;2;93;1000;93000
A63;2;94;1000;94000
A63;2;95;1000;95000
A63;2;96;1000;96000
A63;2;97;1000;97000
A63;2;98;1000;98000
A63;2;99;1000;99000
A63;2;100;1000;100000
A63;2;101;1000;101000
A63;2;102;1000;102000
A63;2;103;1000;103000
A63;2;104;1000;104000
A63;2;105;1000;105000
A63;2;106;1000;106000
A63;2;107;1000;107000
A63;2;108;1000;108000
A63;2;109;1000;109000
A63;2;110;1000;110000
A63;2;111;1000;111000
A63;2;112;1000;112000
A63;2;113;1000;113000
A63;2;114;1000;114000
A63;2;115;1000;115000
A63;2;116;1000;116000
A63;2;117;1000;117000
A63;2;118;1000;118000
A63;2;119;1000;119000
A63;2;120;1000;120000
A63;2;121;1000;121000
A63;2;122;1000;122000
A63;2;123;1000;123000
A63;2;124;1000;124000
A63;2;125;1000;125000
A63;2;126;1000;126000
A63;2;127;1000;127000
A63;2;128;1000;128000
A63;2;129;1000;129000
A63;2;130;1000;130000
A63;2;131;1000;131000
A63;2;132;1000;132000
A63;2;133;1000;133000
A63;2;134;1000;134000
A63;2;135;1000;135000
A63;2;136;1000;136000
A63;2;137;1000;137000
A63;2;138;1000;138000
A63;2;139;1000;139000
A63;2;140;1000;140000
A63;2;141;1000;141000
A63-09;E2;0;600;0
A63-09;S1;0;1160;0
A63-10;E1;0;298;0
A63-10;E2;0;179;0
A63-10;S1;0;355;0
A63-10;S2;0;185;0
A63-11;E1;0;230;0
A63-11;E2;0;282;0
A63-11;S1;0;151;0
A63-11;S2;0;387;0
A63-12;E1;0;323;0
A63-12;E2;0;338;0
A63-12;S1;0;431;0
A63-12;S2;0;400;0
A63-13;E1;0;328;0
A63-13;E2;0;248;0
A63-13;S1;0;357;0
A63-13;S2;0;282;0
A63-14;E1;0;249;0
A63-14;E2;0;191;0
A63-14;S1;0;292;0
A63-14;S2;0;192;0
A63-15;E1;0;298;0
A63-15;E2;0;155;0
A63-15;S1;0;403;0
A63-15;S2;0;185;0
A63-16;E1;0;260;0
A63-16;E2;0;287;0
A63-16;S1;0;277;0
A63-16;S2;0;320;0
A63-17;E1;0;350;0
A63-17;E2;0;333;0
A63-17;S1;0;358;0
A63-17;S2;0;310;0
A63-18;E1;0;305;0
A63-18;E2;0;372;0
A63-18;S1;0;304;0
A63-18;S2;0;240;0
A63-19;E1;0;914;0
A63-19;S2;0;610;0
A63-21;E1;0;251;0
A63-21;E2;0;203;0
A63-21;S1;0;177;0
A63-21;S2;0;279;0
A63-R1;E1;0;219;0
A63-R1;E2;0;213;0
A63-R1;S1;0;200;0
A63-R1;S2;0;213;0
A63-R2;E1;0;177;0
A63-R2;S1;0;158;0
A63-R3;E1;0;188;0
A63-R3;E2;0;201;0
A63-R3;S1;0;183;0
A63-R3;S2;0;177;0
A63-R4;E1;0;249;0
A63-R4;E2;0;191;0
A63-R4;S1;0;183;0
A63-R4;S2;0;160;0
A63-R5;E1;0;136;0
A63-R5;E2;0;242;0
A63-R5;S1;0;220;0
A63-R5;S2;0;171;0
A63-R6;E1;0;304;0
A63-R6;E2;0;336;0
A63-R6;S1;0;226;0
A63-R6;S2;0;257;0
A63;1;34;1000;34000
A63;1;35;1000;35000
A63;1;36;1000;36000
A63;1;37;1000;37000
A63;1;38;1000;38000
A63;1;39;1000;39000
A63;1;40;1000;40000
A63;1;41;1000;41000
A63;1;42;1000;42000
A63;1;43;1000;43000
A63;1;44;1000;44000
A63;1;45;1000;45000
A63;1;46;1000;46000
A63;1;47;1000;47000
A63;1;48;1000;48000
A63;1;49;1000;49000
A63;1;50;1000;50000
A63;1;51;1000;51000
A63;1;52;1000;52000
A63;1;53;1000;53000
A63;1;54;1000;54000
A63;1;55;1000;55000
A63;1;56;1000;56000
A63;1;57;1000;57000
A63;1;58;1000;58000
A63;1;59;1000;59000
A63;1;60;1000;60000
A63;1;61;1000;61000
A63;1;62;1000;62000
A63;1;63;1000;63000
A63;1;64;1000;64000
A63;1;65;1000;65000
A63;1;66;1000;66000
A63;1;67;1000;67000
A63;1;68;1000;68000
A63;1;69;1000;69000
A63;1;70;1000;70000
A63;1;71;1000;71000
A63;1;72;1000;72000
A63;1;73;1000;73000
A63;1;74;1000;74000
A63;1;75;1000;75000
A63;1;76;1000;76000
A63;1;77;1000;77000
A63;1;78;1000;78000
A63;1;79;1000;79000
A63;1;80;1000;80000
A63;1;81;1000;81000
A63;1;82;1000;82000
A63;1;83;1000;83000
A63;1;84;1000;84000
A63;1;85;1000;85000
A63;1;86;1000;86000
A63;1;87;1000;87000
A63;1;88;1000;88000
A63;1;89;1000;89000
A63;1;90;1000;90000
