LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;FAM_DEC_INF__FAM_DEC;CD_DEC_INF__CD_DEC;ABS_DEB;ABS_FIN
A63;3;CEX;SAUGNAC;34750;139075
A63;3;GEND;MIOS;37750;49450
A63;3;GEND;CASTETS;111000;139075
A63;3;CE;CASTETS;82772;96000
A63;3;GEND;LABOUHEYRE;49450;111000
A63;3;CE;LABOUHEYRE;34750;82772
A63;3;CONC;conccession;35500;140356
A63;3;SECT;NORD;35500;72500
A63;3;SECT;CENTRE;72500;107500
A63;3;SECT;SUD;107500;140356
A63;1;CEX;SAUGNAC;34750;139075
A63;1;GEND;MIOS;37750;49450
A63;1;GEND;CASTETS;111000;139075
A63;1;CE;CASTETS;82772;96000
A63;1;GEND;LABOUHEYRE;49450;111000
A63;1;CE;LABOUHEYRE;34750;82772
A63;1;CONC;conccession;35500;140356
A63;1;SECT;NORD;35500;72500
A63;1;SECT;CENTRE;72500;107500
A63;1;SECT;SUD;107500;140356
A63;2;CEX;SAUGNAC;34750;139075
A63;2;GEND;MIOS;37750;49450
A63;2;GEND;CASTETS;111000;139075
A63;2;CE;CASTETS;82772;96000
A63;2;GEND;LABOUHEYRE;49450;111000
A63;2;CE;LABOUHEYRE;34750;82772
A63;2;CONC;conccession;35500;140356
A63;2;SECT;NORD;35500;72500
A63;2;SECT;CENTRE;72500;107500
A63;2;SECT;SUD;107500;140356
