LIAISON_INF__LIAISON;SENS;ABS_DEB;ABS_FIN;LIBELLE;TENANT;ABOUT
201;3;0;5932;Pénétrante Fès;Rabat;fès
301;1;800;13400;Pénétrante Marrakech Palmeraie;Casablanca;Marrakech
301;2;800;13400;Pénétrante Marrakech Palmeraie;Marrakech;Casablanca
301;3;800;13400;Pénétrante Marrakech Palmeraie;Casablanca;Marrakech
501;1;0;1983;Pénétrante Tanger;Tanger;Rabat
501;2;19;1992;Pénétrante Tanger;Rabat;Tanger
501;3;0;1983;Pénétrante Tanger;Tanger;Rabat
1_1;E2;0;375;Hay Riad;;
1_1;E4;0;920;Hay Riad;;
1_1;S2;0;740;Hay Riad;;
1_10;E1;0;529;Tit Mellil;;
1_10;E2;0;401;Tit Mellil;;
1_10;S2;0;631;Tit Mellil;;
1_11;E1;0;351;Casablanca Port;;
1_11;E2;0;294;Casablanca Port;;
1_11;S1;0;470;Casablanca Port;;
1_11;S2;0;558;Casablanca Port;;
1_12;E1;0;987;Casablanca Centre;;
1_12;E2;0;394;Casablanca Centre;;
1_12;S1;0;376;Casablanca Centre;;
1_12;S2;0;317;Casablanca Centre;;
1_13;E1;0;290;RS114 Casablanca;;
1_13;E2;0;291;RS114 Casablanca;;
1_13;E3;0;476;RS114 Casablanca;;
1_13;E4;0;610;RS114 Casablanca;;
1_13;S1;0;452;RS114 Casablanca;;
1_13;S2;0;386;RS114 Casablanca;;
1_13;S3;0;295;RS114 Casablanca;;
1_13;S4;0;308;RS114 Casablanca;;
1_14;E2;0;1107;Pénétrante terminale nord;;
1_14;S1;0;465;Pénétrante terminale nord;;
1_15;E1;0;924;Had Soualem;;
1_15;E2;0;584;Had Soualem;;
1_15;S1;0;984;Had Soualem;;
1_15;S2;0;678;Had Soualem;;
1_16;E1;0;956;Bir Jdid;;
1_16;E2;0;635;Bir Jdid;;
1_16;S1;0;1006;Bir Jdid;;
1_16;S2;0;667;Bir Jdid;;
1_17;E1;0;844;Tnine Chtouka;;
1_17;E2;0;494;Tnine Chtouka;;
1_17;S1;0;825;Tnine Chtouka;;
1_17;S2;0;506;Tnine Chtouka;;
1_18;E1;0;562;Azemmour;;
1_18;E2;0;913;Azemmour;;
1_18;S1;0;593;Azemmour;;
1_18;S2;0;929;Azemmour;;
1_2;E1;0;527;Temara;;
1_2;E2;0;480;Temara;;
1_2;S1;0;480;Temara;;
1_2;S2;0;540;Temara;;
1_3;E1;0;574;Ain Atiq;;
1_3;E2;0;545;Ain Atiq;;
1_3;S1;0;535;Ain Atiq;;
1_3;S2;0;449;Ain Atiq;;
1_4;E1;0;597;Skhirat;;
1_4;E2;0;568;Skhirat;;
1_4;S1;0;512;Skhirat;;
1_4;S2;0;570;Skhirat;;
1_5;E1;0;497;Bouznika;;
1_5;E2;0;333;Bouznika;;
1_5;S1;0;407;Bouznika;;
1_5;S2;0;431;Bouznika;;
1_6;E1;0;362;Mohammedia est;;
1_6;E2;0;348;Mohammedia est;;
1_6;S1;0;424;Mohammedia est;;
1_6;S2;0;418;Mohammedia est;;
1_8;E1;0;512;Mohammedia Ouest;;
1_8;E2;0;791;Mohammedia Ouest;;
1_8;S1;0;417;Mohammedia Ouest;;
1_8;S2;0;836;Mohammedia Ouest;;
1_R1;E1;0;500;Aire de service de Bouznika;;
1_R1;E2;0;500;Aire de service de Bouznika;;
1_R1;S1;0;500;Aire de service de Bouznika;;
1_R1;S2;0;500;Aire de service de Bouznika;;
1_R2;E1;0;500;Aire de Casablanca;;
1_R2;E2;0;500;Aire de Casablanca;;
1_R2;S1;0;500;Aire de Casablanca;;
1_R2;S2;0;500;Aire de Casablanca;;
1_R3;E1;0;500;Aire de Bir Jdid;;
1_R3;E2;0;500;Aire de Bir Jdid;;
1_R3;S1;0;500;Aire de Bir Jdid;;
