CD_VOIE_INF__VOIE;LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;ABS_FIN;NUM;NBRE;NUM_VNR;NBRE_VNR
BAU;1;1;0;18000;0;0;1;4
VL;1;1;0;18000;1;2;2;4
VR;1;1;0;18000;2;2;3;4
BDG;1;1;0;18000;0;0;4;4
BAU;1;1;18000;25000;0;0;1;4
VL;1;1;18000;25000;1;2;2;4
VR;1;1;18000;25000;2;2;3;4
BDG;1;1;18000;25000;0;0;4;4
BAU;1;1;25000;33200;0;0;1;4
VL;1;1;25000;33200;1;2;2;4
VR;1;1;25000;33200;2;2;3;4
BDG;1;1;25000;33200;0;0;4;4
BAU;1;1;33200;59000;0;0;1;4
VL;1;1;33200;59000;1;2;2;4
VR;1;1;33200;59000;2;2;3;4
BDG;1;1;33200;59000;0;0;4;4
BAU;1;1;60000;64841;0;0;1;4
VL;1;1;60000;64841;1;2;2;4
VR;1;1;60000;64841;2;2;3;4
BDG;1;1;60000;64841;0;0;4;4
BAU;1;1;64841;81237;0;0;1;4
VL;1;1;64841;81237;1;2;2;4
VR;1;1;64841;81237;2;2;3;4
BDG;1;1;64841;81237;0;0;4;4
BAU;1;1;81237;116985;0;0;1;4
VL;1;1;81237;116985;1;2;2;4
VR;1;1;81237;116985;2;2;3;4
BDG;1;1;81237;116985;0;0;4;4
BAU;1;1;116985;168497;0;0;1;4
VL;1;1;116985;168497;1;2;2;4
VR;1;1;116985;168497;2;2;3;4
BDG;1;1;116985;168497;0;0;4;4
BAU;1;2;0;18000;0;0;1;4
VL;1;2;0;18000;1;2;2;4
VR;1;2;0;18000;2;2;3;4
BDG;1;2;0;18000;0;0;4;4
BAU;1;2;18000;25000;0;0;1;4
VL;1;2;18000;25000;1;2;2;4
VR;1;2;18000;25000;2;2;3;4
BDG;1;2;18000;25000;0;0;4;4
BAU;1;2;25000;33200;0;0;1;4
VL;1;2;25000;33200;1;2;2;4
VR;1;2;25000;33200;2;2;3;4
