CODE_OA;NUM_OA;LIAISON;SENS;PR_OA;ABS_DEB;NUM_EXPLOIT;NOM_USAGE;FAMILLE;TYPE_OUVRAGE;MATERIAUX;DATE_MS;NBRE_TABLIERS;NBRE_TRAVEE;GABARIT;LONGUEUR;LARGEUR;SECT_COURANTE;IQOA;NOTE_URGENCE
1226;;2;3;194 +0520;194725;PV195;PV195;PV;PICF (Cadre Fermé);Béton armé;;0;0;0;4.5;0;NON;2;8
1227;;2;3;196 +0121;196329;PP211;PP211;PP;PICF (Cadre Fermé);Béton armé;;0;0;0;2.5;0;NON;2;11
1228;;2;3;196 +0691;196899;PV217;PV217;PV;PICF (Cadre Fermé);Béton armé;;0;0;0;4.5;0;NON;2;8
1229;;2;3;198 +0361;198568;PV234;PV234;PV;PICF (Cadre Fermé);Béton armé;;0;0;0;4.5;0;NON;1;0
1230;;2;3;200 +0434;200630;PV254;PV254;PV;PICF (Cadre Fermé);Béton armé;;0;0;0;4.5;0;NON;1;0
1231;;2;3;202 +0010;202203;PV270;PV270;PV;PICF (Cadre Fermé);Béton armé;;0;0;0;4.5;0;NON;1;0
1232;;2;3;202 +0200;202393;PI n° 272;PI n° 272;PI;PIPO (Portique Ouvert);Béton armé;;0;0;0;45.65;0;NON;2;3
1233;;2;3;203 +0140;203303;PS N° 281;PS N° 281;PS;PIBA PSBA (Dalle Béton Armé);Béton armé;;0;0;0;63.2;0;NON;2;11
1234;;2;3;205 +0234;205430;PP302;PP302;PP;PICF (Cadre Fermé);Béton armé;;0;0;0;2.5;0;NON;2;16
1235;;2;3;207 +0260;207447;Sebou;Pont sur oued Sebou;VIA;VIPP;Béton précontraint;;2;11;0;0;0;NON;2;8
1236;;2;3;208 +0040;208226;PP330;PP330;PP;PICF (Cadre Fermé);Béton armé;;0;0;0;2.5;0;NON;2;8
1237;;2;3;209 +0100;209281;PP341;PP341;PP;PICF (Cadre Fermé);Béton armé;;0;0;0;2.5;0;NON;2;8
1238;;2;3;209 +0149;209330;PS N° 34;PS N° 34;PS;PIBA PSBA (Dalle Béton Armé);Béton armé;;0;0;0;59.2;0;NON;2;8
1239;;2;3;211 +0020;211192;PP360;PP360;PP;PICF (Cadre Fermé);Béton armé;;0;0;0;2.5;0;NON;2;16
1240;;2;3;212 +0690;212860;PV377;PV377;PV;PICF (Cadre Fermé);Béton armé;;0;0;0;4.5;0;NON;2;3
1241;;2;3;213 +0920;214098;PS N° 389;PS N° 389;PS;PIBA PSBA (Dalle Béton Armé);Béton armé;;0;0;0;59.2;0;NON;2 E;23
1242;;2;3;214 +0860;215031;PV399;PV399;PV;PICF (Cadre Fermé);Béton armé;;0;0;0;4.5;0;NON;1;0
1243;;2;3;215 +0572;215729;PI  N°406;PI  N°406;PI;PIPO (Portique Ouvert);Béton armé;;0;0;0;34.34;0;NON;2;9
1244;;2;3;216 +0498;216645;PS N°415;PS N°415;PS;PIDP PSDP (Dalle Précontrainte);Béton précontraint;;0;0;0;69;0;NON;2;11
1245;;2;3;217 +0081;217231;PS N°421;PS N°421;PS;PIBA PSBA (Dalle Béton Armé);Béton armé;;0;0;0;59.2;0;NON;2;11
1246;;2;3;218 +0970;219105;PV440;PV440;PV;PICF (Cadre Fermé);Béton armé;;0;0;0;4.5;0;NON;1;0
