LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;CD_POSIT_INF__POSIT;CD_ECLAIR_INF__TYPE
2;1;86922;Rive;simple
2;1;86982;Rive;simple
2;1;87041;Rive;simple
2;1;87047;Rive;simple
2;1;87080;Rive;simple
2;1;87081;Rive;simple
2;1;87115;Rive;simple
2;1;93038;Rive;simple
2;1;93076;Rive;simple
2;2;69815;Rive;simple
2;2;69832;Rive;simple
2;2;69877;Rive;simple
2;2;69918;Rive;simple
2;2;69965;Rive;simple
2;2;70003;Rive;simple
2;2;70081;Rive;simple
2;2;70169;Rive;simple
2;2;70214;Rive;simple
2;2;70258;Rive;simple
2;2;70310;Rive;simple
2;2;70338;Rive;simple
2;2;70358;Rive;simple
2;2;80349;Rive;simple
2;2;86449;Rive;simple
2;2;86585;Rive;simple
2;2;86812;Rive;simple
2;2;86837;Rive;simple
2;2;87015;Rive;simple
2;2;92856;Rive;simple
2;2;92891;Rive;simple
2;2;92920;Rive;simple
2;2;92953;Rive;simple
2;2;92993;Rive;simple
2;2;93028;Rive;simple
2;2;93066;Rive;simple
2;2;93110;Rive;simple
2;2;93138;Rive;simple
2;2;93145;Rive;simple
2;2;93171;Rive;simple
2;2;93181;Rive;simple
2;2;93206;Rive;simple
2;2;93212;Rive;simple
2;2;93229;Rive;simple
2;2;93320;Rive;simple
2;2;93355;Rive;simple
2;2;93387;Rive;simple
2;2;93421;Rive;simple
2;2;93457;Rive;simple
2;2;93492;Rive;simple
2;2;125335;Rive;simple
201;2;93236;Rive;des deux cotés
201;2;93274;Rive;des deux cotés
201;1;5100;Rive;simple
201;1;5132;Rive;simple
201;1;93310;Rive;simple
201;1;124879;Rive;simple
201;2;4946;Rive;simple
201;2;4974;Rive;simple
3;1;1305;Axe;des deux cotés
3;1;1344;Axe;des deux cotés
3;1;1385;Axe;des deux cotés
3;1;429622;Axe;des deux cotés
3;1;429666;Axe;des deux cotés
3;1;429711;Axe;des deux cotés
3;1;429756;Axe;des deux cotés
3;1;429801;Axe;des deux cotés
3;2;1419;Axe;des deux cotés
3;2;1460;Axe;des deux cotés
3;2;1510;Axe;des deux cotés
3;2;1549;Axe;des deux cotés
3;2;1590;Axe;des deux cotés
3;2;1630;Axe;des deux cotés
3;2;1669;Axe;des deux cotés
3;2;1710;Axe;des deux cotés
3;2;1750;Axe;des deux cotés
3;2;1789;Axe;des deux cotés
3;2;1830;Axe;des deux cotés
3;2;1870;Axe;des deux cotés
3;2;1909;Axe;des deux cotés
3;2;1950;Axe;des deux cotés
3;2;1990;Axe;des deux cotés
3;2;2010;Axe;des deux cotés
3;2;2069;Axe;des deux cotés
3;2;2109;Axe;des deux cotés
3;2;2158;Axe;des deux cotés
3;2;2199;Axe;des deux cotés
3;2;2239;Axe;des deux cotés
3;2;2278;Axe;des deux cotés
3;2;2318;Axe;des deux cotés
3;2;2359;Axe;des deux cotés
3;2;2398;Axe;des deux cotés
3;2;2437;Axe;des deux cotés
3;2;2479;Axe;des deux cotés
3;2;2518;Axe;des deux cotés
3;2;2558;Axe;des deux cotés
3;2;2598;Axe;des deux cotés
3;2;2637;Axe;des deux cotés
3;2;2677;Axe;des deux cotés
3;2;2717;Axe;des deux cotés
3;2;2757;Axe;des deux cotés
3;2;2798;Axe;des deux cotés
3;2;2837;Axe;des deux cotés
3;2;2878;Axe;des deux cotés
3;2;2917;Axe;des deux cotés
3;2;2957;Axe;des deux cotés
3;2;2991;Axe;des deux cotés
3;2;3076;Axe;des deux cotés
3;2;3116;Axe;des deux cotés
3;2;3155;Axe;des deux cotés
3;2;3196;Axe;des deux cotés
3;2;3256;Axe;des deux cotés
3;2;3289;Axe;des deux cotés
3;2;3325;Axe;des deux cotés
3;2;3366;Axe;des deux cotés
3;2;3406;Axe;des deux cotés
3;2;3446;Axe;des deux cotés
3;2;3486;Axe;des deux cotés
3;2;3526;Axe;des deux cotés
3;2;3566;Axe;des deux cotés
3;2;3605;Axe;des deux cotés
3;2;3646;Axe;des deux cotés
3;2;3686;Axe;des deux cotés
3;2;3726;Axe;des deux cotés
3;2;3767;Axe;des deux cotés
3;2;3807;Axe;des deux cotés
3;2;3847;Axe;des deux cotés
3;2;3887;Axe;des deux cotés
3;2;3926;Axe;des deux cotés
3;2;3967;Axe;des deux cotés
3;2;3989;Axe;des deux cotés
3;2;4047;Axe;des deux cotés
3;2;4087;Axe;des deux cotés
3;2;4127;Axe;des deux cotés
3;2;4167;Axe;des deux cotés
3;2;4208;Axe;des deux cotés
3;2;4247;Axe;des deux cotés
3;2;4287;Axe;des deux cotés
3;2;4327;Axe;des deux cotés
3;2;4368;Axe;des deux cotés
3;2;4408;Axe;des deux cotés
3;2;4448;Axe;des deux cotés
3;2;4488;Axe;des deux cotés
3;2;4528;Axe;des deux cotés
3;2;4568;Axe;des deux cotés
3;2;4607;Axe;des deux cotés
3;2;4648;Axe;des deux cotés
3;2;4688;Axe;des deux cotés
3;2;4728;Axe;des deux cotés
3;2;4773;Axe;des deux cotés
3;2;4808;Axe;des deux cotés
3;2;4848;Axe;des deux cotés
3;2;4889;Axe;des deux cotés
3;2;4928;Axe;des deux cotés
3;2;4968;Axe;des deux cotés
3;2;4986;Axe;des deux cotés
3;2;5047;Axe;des deux cotés
3;2;5087;Axe;des deux cotés
3;2;5144;Axe;des deux cotés
3;2;5177;Axe;des deux cotés
3;2;5219;Axe;des deux cotés
3;2;5260;Axe;des deux cotés
3;2;5299;Axe;des deux cotés
3;2;5338;Axe;des deux cotés
3;2;5379;Axe;des deux cotés
3;2;5418;Axe;des deux cotés
3;2;5458;Axe;des deux cotés
3;2;5499;Axe;des deux cotés
3;2;5538;Axe;des deux cotés
3;2;5579;Axe;des deux cotés
3;2;5619;Axe;des deux cotés
3;2;5659;Axe;des deux cotés
3;2;5700;Axe;des deux cotés
3;2;5739;Axe;des deux cotés
