LIAISON;CD_LIAISON_INF__CD_LIAISON;LIBELLE
1;AUTO;Rabat- Safi
2;AUTO;Rabat - Oujda
3;AUTO;Casablanca - Agadir
5;AUTO;Port med - Rabat
7;AUTO;Fnideq - Tétouan
101;AUTO;Pénétrante Ain Harrouda
102;AUTO;Pénétrante Azbane
103;AUTO;Pénétrante El Jadida
201;AUTO;Pénétrante Fès
301;AUTO;Pénétrante Marrakech Palmeraie
501;AUTO;Pénétrante Tanger Ouest
1_1;BIF;Hay Riad
1_10;ECH;Tit Mellil
1_11;ECH;Casablanca Port
1_12;ECH;Casablanca Centre
1_13;BIF;RS114 Casablanca
1_14;ECH;Pénétrante terminale nord
1_15;ECH;Had Soualem
1_16;ECH;Bir Jdid
1_17;ECH;Tnine Chtouka
1_18;ECH;Azemmour
1_2;ECH;Temara
1_3;ECH;Ain Atiq
1_4;ECH;Skhirat
1_5;ECH;Bouznika
1_6;ECH;Mohammedia est
1_8;ECH;Mohammedia Ouest
1_R1;AIRE;Aire de service de Bouznika
1_R2;AIRE;Aire de Casablanca
1_R3;AIRE;Aire de Bir Jdid
101_1;ECH;Ain harrouda
102_1;ECH;Aire sur la pénétrante terminale Nord
103_1;ECH;El Jadida Est
103_R1;AIRE;Aire de El Jadida
2_1;ECH;Sidi Allal El Bahraoui
2_16;ECH;Taourirt
2_2;ECH;Tiflet
2_3;ECH;Khémisset
2_4;ECH;Méknès Ouest
2_5;ECH;Méknès Est
2_6;ECH;Pénétrante Fès
2_7;ECH;Fès RN8
2_8;ECH;Fès R503
2_9;ECH;Ras Tabouda
2_R1;AIRE;Aire de Tiflet
2_R10;AIRE;Aire de Laayoun
2_R2;AIRE;Aire de Khémisset Ouest
2_R3;AIRE;Aire de Khémisset Est
2_R4;AIRE;Aire de Méknès
2_R5;AIRE;Aire de Fès
2_R6;AIRE;Aire de Fès Est
2_R7;AIRE;Aire de Tahla
2_R8;AIRE;Aire de Taza
2_R9;AIRE;Aire de Guercif
3_1;ECH;Bouskoura
3_10;ECH;Tamensourt RN 7
3_11;ECH;Marrakech Ouest
3_12;ECH;RN 8 Marrakech
3_13;ECH;Chichaoua
3_14;ECH;Imintanout
3_15;ECH;Argana
3_16;ECH;Ameskroud
3_17;ECH;RN 8 Agadir
3_2;ECH;Aéroport Med V
3_3;ECH;Berrechid Nord
3_4;ECH;Berrechid Est
3_5;ECH;Settat Nord
3_6;ECH;Settat Centre
3_7;ECH;Skhour Rhamna
3_8;ECH;Benguerir
3_R1;AIRE;Aire de Berrechid
3_R2;AIRE;Aire de Settat
3_R3;AIRE;Aire de Mechraâ Ben Abbou
3_R4;AIRE;Aire de Benguerir
3_R5;AIRE;Aire de Sidi Bouathmane
3_R6;AIRE;Aire d''Argana
3_R7;AIRE;Aire de Marrakech Ouest avec parking sécurisé
3_R8;AIRE;Aire de Chichaoua
3_R9;AIRE;Aire d''Agadir
5_1;ECH;Ksar Sghir
5_10;ECH;Kenitra Nord
5_11;ECH;Kénitra Centre
5_12;BIF;Rabat RN6
5_2;ECH;Melloussa
5_3;ECH;Tanger Est
5_4;ECH;Tanger Ouest
5_5;ECH;Asilah
5_6;ECH;Sidi Elyamani
5_7;ECH;Larache
5_8;ECH;Mly Bousselham
5_9;ECH;Sidi Allal Tazi
5_R1;AIRE;Aires de Melloussa
5_R2;AIRE;Aire de Assilah avec parking sécurisé
5_R3;AIRE;Aire de Larache
5_R4;AIRE;Aire de Mly Bousselham
5_R5;AIRE;Aire de M’Nasra
5_R6;AIRE;Aire de Kenitra
7_1;ECH;M''diq
7_2;ECH;Smir
7_3;ECH;Tétouan
