LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;ABS_FIN;CD_VOIE_INF__VOIE;LARGEUR;DATE_MS
3;1;315813;371989;BAU;2.5;01/07/2010 00:00:00
3;1;371989;427500;BDG;0.5;01/07/2010 00:00:00
3;1;371989;427500;VL;3.5;01/07/2010 00:00:00
3;1;371989;427500;VR;3.5;01/07/2010 00:00:00
3;1;371989;427500;BAU;2.5;01/07/2010 00:00:00
1_13;S1;0;452;VL;3.5;01/01/1960 00:00:00
1_13;S2;0;386;VL;3.5;01/01/1960 00:00:00
3_R4;E1;0;500;VL;3.5;01/01/1960 00:00:00
3_R4;E2;0;500;VL;3.5;01/01/1960 00:00:00
3_R4;S1;0;500;VL;3.5;01/01/1960 00:00:00
3_R4;S2;0;500;VL;3.5;01/01/1960 00:00:00
3_R5;E1;0;500;VL;3.5;01/01/1960 00:00:00
3_R5;E2;0;500;VL;3.5;01/01/1960 00:00:00
3_R5;S1;0;500;VL;3.5;01/01/1960 00:00:00
3_R5;S2;0;500;VL;3.5;01/01/1960 00:00:00
3_R6;E1;0;500;VL;3.5;01/01/1960 00:00:00
3_R6;E2;0;500;VL;3.5;01/01/1960 00:00:00
3_R6;S1;0;500;VL;3.5;01/01/1960 00:00:00
3_R6;S2;0;500;VL;3.5;01/01/1960 00:00:00
3_R7;E1;0;500;VL;3.5;01/01/1960 00:00:00
3_R7;E2;0;500;VL;3.5;01/01/1960 00:00:00
3_R7;S1;0;500;VL;3.5;01/01/1960 00:00:00
3_R7;S2;0;500;VL;3.5;01/01/1960 00:00:00
3_R8;E1;0;500;VL;3.5;01/01/1960 00:00:00
3_R8;E2;0;500;VL;3.5;01/01/1960 00:00:00
3_R8;S1;0;500;VL;3.5;01/01/1960 00:00:00
3_R8;S2;0;500;VL;3.5;01/01/1960 00:00:00
3_R9;E1;0;500;VL;3.5;01/01/1960 00:00:00
3_R9;E2;0;500;VL;3.5;01/01/1960 00:00:00
3_R9;S1;0;500;VL;3.5;01/01/1960 00:00:00
3_R9;S2;0;500;VL;3.5;01/01/1960 00:00:00
5_1;E1;0;1023;VL;3.5;01/01/1960 00:00:00
5_1;E2;0;711;VL;3.5;01/01/1960 00:00:00
5_1;S1;0;1134;VL;3.5;01/01/1960 00:00:00
5_1;S2;0;781;VL;3.5;01/01/1960 00:00:00
5_10;E1;0;521;VL;3.5;01/01/1960 00:00:00
5_10;E2;0;573;VL;3.5;01/01/1960 00:00:00
5_10;S1;0;561;VL;3.5;01/01/1960 00:00:00
5_10;S2;0;723;VL;3.5;01/01/1960 00:00:00
5_11;E1;0;946;VL;3.5;01/01/1960 00:00:00
5_11;E2;0;1298;VL;3.5;01/01/1960 00:00:00
5_11;S1;0;1038;VL;3.5;01/01/1960 00:00:00
5_11;S2;0;1413;VL;3.5;01/01/1960 00:00:00
5_12;E1;0;477;VL;3.5;01/01/1960 00:00:00
5_12;E2;0;513;VL;3.5;01/01/1960 00:00:00
5_12;E3;0;636;VL;3.5;01/01/1960 00:00:00
5_12;E4;0;650;VL;3.5;01/01/1960 00:00:00
5_12;S1;0;691;VL;3.5;01/01/1960 00:00:00
5_12;S2;0;662;VL;3.5;01/01/1960 00:00:00
5_12;S3;0;508;VL;3.5;01/01/1960 00:00:00
5_12;S4;0;468;VL;3.5;01/01/1960 00:00:00
5_2;E1;0;564;VL;3.5;01/01/1960 00:00:00
5_2;E2;0;580;VL;3.5;01/01/1960 00:00:00
5_2;S1;0;970;VL;3.5;01/01/1960 00:00:00
5_2;S2;0;309;VL;3.5;01/01/1960 00:00:00
5_3;E1;0;1004;VL;3.5;01/01/1960 00:00:00
5_3;E2;0;747;VL;3.5;01/01/1960 00:00:00
5_3;S1;0;927;VL;3.5;01/01/1960 00:00:00
5_3;S2;0;764;VL;3.5;01/01/1960 00:00:00
