LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_CUM;NUM;INTER
2;3;23700;9;1000
2;3;24700;10;1000
2;3;25700;11;1000
2;3;26700;12;1000
2;3;27700;13;1000
2;3;28700;14;1000
2;3;29700;15;1000
2;3;30700;16;1000
2;3;31700;17;1000
2;3;32700;18;1000
2;3;33700;19;1000
2;3;34700;20;1000
2;3;35700;21;1000
2;3;36700;22;1000
2;3;37700;23;1000
2;3;38700;24;1000
2;3;39700;25;1000
2;3;40700;26;1000
2;3;41700;27;1000
2;3;42700;28;1000
2;3;43700;29;1000
2;3;44700;30;1000
2;3;45700;31;1000
2;3;46700;32;1000
2;3;47700;33;1000
2;3;48700;34;1000
2;3;49700;35;1000
2;3;50700;36;1000
2;3;51700;37;1000
2;3;52700;38;1000
2;3;53700;39;1000
2;3;54700;40;1000
2;3;55700;41;1000
2;3;56700;42;1000
2;3;57700;43;1000
2;3;58700;44;1000
2;3;59700;45;1000
2;3;60700;46;1000
2;3;61700;47;1000
2;3;62700;48;1000
2;3;63700;49;1000
2;3;64700;50;1000
2;3;65700;51;1000
2;3;66700;52;695
2;3;67395;0;1000
2;3;68395;1;1000
2;3;69395;2;1000
2;3;70395;3;1000
2;3;71395;4;1000
2;3;72395;5;1000
2;3;73395;6;1000
2;3;74395;7;1000
2;3;75395;8;1000
2;3;76395;9;1000
2;3;77395;10;1000
2;3;78395;11;1000
2;3;79395;12;1000
2;3;80395;13;1000
2;3;81395;14;1000
2;3;82395;15;1000
2;3;83395;16;1000
2;3;84395;17;1000
2;3;85395;18;1000
2;3;86395;19;1000
2;3;87395;20;1000
2;3;88395;21;1000
2;3;89395;22;1000
2;3;90395;23;1000
2;3;91395;24;1000
2;3;92395;25;1000
2;3;93395;26;1000
2;3;94395;27;1000
2;3;95395;28;1000
2;3;96395;29;1000
2;3;97395;30;1000
2;3;98395;31;1000
2;3;99395;32;1000
2;3;100395;33;1000
2;3;101395;34;1000
2;3;102395;35;1000
2;3;103395;36;1000
2;3;104395;37;1000
2;3;105395;38;1000
2;3;106395;39;1000
2;3;107395;40;1000
2;3;108395;41;1000
2;3;109395;42;1000
2;3;110395;43;1000
2;3;111395;44;1000
2;3;112395;45;1000
2;3;113395;46;1000
2;3;114395;47;1000
2;3;115395;48;1000
2;3;116395;49;200
2;3;116595;0;1000
2;3;117595;1;1000
2;3;118595;2;1000
2;3;119595;3;1000
2;3;120595;4;1000
2;3;121595;5;1000
2;3;122595;6;1000
2;3;123595;7;1000
2;3;124595;8;1000
2;3;125595;9;1000
2;3;126595;10;1000
2;3;127595;11;1000
2;3;128595;12;1000
2;3;129595;13;1000
2;3;130595;14;1000
2;3;131595;15;1000
2;3;132595;16;1000
2;3;133595;17;1000
2;3;134595;18;1000
2;3;135595;19;1000
2;3;136595;20;900
2;3;137495;0;1000
2;3;138495;1;1000
2;3;139495;2;1000
2;3;140495;3;1000
2;3;141495;4;1000
2;3;142495;5;1000
2;3;143495;6;1000
2;3;144495;7;1000
2;3;145495;8;1000
2;3;146495;9;1000
2;3;147495;10;1000
2;3;148495;11;1000
2;3;149495;12;1000
2;3;150495;13;1000
2;3;151495;14;1000
2;3;152495;15;1000
2;3;153495;16;1000
2;3;154495;17;1000
2;3;155495;18;1000
2;3;156495;19;1000
2;3;157495;20;1000
2;3;158495;21;1000
2;3;159495;22;1000
2;3;160495;23;1000
2;3;161495;24;1000
2;3;162495;25;1000
2;3;163495;26;1000
2;3;164495;27;1000
2;3;165495;28;1000
2;3;166495;29;1000
2;3;167495;30;1000
2;3;168495;31;1000
2;3;169495;32;1000
2;3;170495;33;1000
2;3;171495;34;1000
2;3;172495;35;1000
2;3;173495;36;1000
2;3;174495;37;1000
2;3;175495;38;1000
2;3;176495;39;1000
2;3;177495;40;1000
2;3;178495;41;1000
2;3;179495;42;1000
2;3;180495;43;1000
2;3;181495;44;1000
2;3;182495;45;1000
2;3;230759;0;1000
2;3;231759;1;1000
2;3;232759;2;1000
2;3;233759;3;1000
2;3;234759;4;1000
2;3;235759;5;1000
2;3;236759;6;1000
2;3;237759;7;1000
2;3;238759;8;1000
2;3;239759;9;1000
2;3;240759;10;1000
2;3;241759;11;1000
2;3;242759;12;1000
2;3;243759;13;1000
2;3;244759;14;1000
2;3;245759;15;1000
2;3;246759;16;1000
2;3;247759;17;1000
2;3;248759;18;1000
2;3;249759;19;1000
2;3;250759;20;200
2;3;250959;0;1000
2;3;251959;1;1000
2;3;252959;2;1000
2;3;253959;3;1000
2;3;254959;4;1000
2;3;255959;5;1000
2;3;256959;6;1000
2;3;257959;7;1000
2;3;258959;8;1000
