CD_PT_SING_INF__CODE;LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;NOM_USAGE;LIBELLE;COMMENTAIRE
ECH;5;3;2939;A4-3;Ksar Sghir;
PS;5;3;3099;PS 8;Echangeur Ksar Sghir;
PV;5;3;3489;PV13;;
VIA;5;3;4904;VIA;Pont sur Oued Ksar Sud;
PV;5;3;6859;PV12;;
VIA;5;3;7414;VIA;Pont sur Oued Lachbaa;
PI;5;3;8087;PI 12;RP4613;
PS;5;3;8549;PS 7;RP4613;
VIA;5;3;9639;VIA;Pont sur la vallée à Dar Foual;
PAS;5;3;10039;PAS2;Passerelle piéton N°2;
PS;5;3;10921;PS 6;Piste;
PV;5;3;11993;PV11;;
PAS;5;3;13939;PAS1;Passerelle piéton N°1 ;
PV;5;3;16179;PV10;;
BPV;5;3;16439;GARE - BPV;Gare de péage pleine voie de Melloussa;
PI;5;3;16804;PI 11;Echangeur Melloussa;
GARE;5;3;16939;GARE - SE;Gare sur échangeur  Melloussa;
ECH;5;3;16939;A4-2;Melloussa;
VIA;5;3;16989;VIA;Pont sur Oued Guerrara;
PI;5;3;17139;PI 10;RP4613;
VIA;5;3;18154;VIA;Pont sur Oued Ghziellon;
PV;5;3;18279;PV9;;
PI;5;3;18944;PI 9;Voie ferrée;
PI;5;3;21002;PI 8;RP4613;
PI;5;3;22218;PI 7;RP4613;
PP;5;3;23459;PP6;Passage piéton N°6;
AIRE;5;3;24239;A4-R1;Aires de Melloussa;
PI;5;3;24521;PI 6;RP4613;
PV;5;3;25059;PV8;;
PP;5;3;26699;PP5;Passage piéton N°5;
PI;5;3;26903;PI 5;Echangeur RN2;
GARE;5;3;26939;GARE - SE;Gare sur échangeur Tanger Est;
ECH;5;3;26939;A4-1;Tanger Est (RN 2);
PI;5;3;27752;PI 4;RN2;
PI;5;3;28389;PI 3;RP4607;
PP;5;3;29099;PP4;Passage piéton N°4;
PV;5;3;31139;PV7;;
PV;5;3;32439;PV6;;
PV;5;3;33299;PV5;;
PS;5;3;34319;PS 5;Piste;
PV;5;3;35859;PV4;;
PV;5;3;36839;PV3;;
PI;5;3;37166;PI 2;Voie ferrée;
VIA;5;3;37496;VIA;Pont sur Oued Sghir 1;
PS;5;3;38051;PS 4;RP4607;
PP;5;3;38819;PP3;Passage piéton N°3;
PI;5;3;40029;PI 1;Desserte  de la zone industrielle;
PP;5;3;40639;PP2;Passage piéton N°2;
PV;5;3;43159;PV2;;
PS;5;3;44284;PS 3;Piste;
PS;5;3;45201;PS 2;RP 4602;
PV;5;3;46819;PV1;;
PP;5;3;47519;PP1;Passage piéton N°1;
PS;5;3;48589;PS 1;RP 4603;
PV;5;3;51763;PV78;;
PS;5;3;53414;PS 21;Piste liant Lalla Aicha et RN 1;
PV;5;3;55742;PV77;;
PS;5;3;57462;PS 22;Piste vers Haouara;
VIA;5;3;59202;VIA;Pont sur Oued Tahadart;
PI;5;3;60669;PI 15;Voie ferrée;
VIA;5;3;63638;VIA;Pont sur Oued El hachef;
PS;5;3;64588;PS 19;Voix d''Amérique sur Voie ferrée et l''Autoroute;
PV;5;3;69162;PV76;;
PS;5;3;69806;PS 18;Piste vers RN1 et Had Rhabia;
PV;5;3;70420;PV75;;
PV;5;3;70903;PV74;;
PS;5;3;71971;PS 17;RS 612 vers Had Rhabia et Assilah;
VIA;5;3;72139;VIA;Pont sur Affluent Oued Rharifa;
VIA;5;3;73245;VIA;Pont sur Oued Rharifa;
PP;5;3;74617;PP48;Passage piéton N°48;
PP;5;3;75002;PP47;Passage piéton N°47;
AIRE;5;3;75262;A1-R5;Aire de Assilah avec parking sécurisé;
PS;5;3;75756;PS 16;Piste liant ouled SBAIT et Asilah;
PP;5;3;76342;PP46;Passage piéton N°46;
PI;5;3;76504;PI 14;Voie ferrée;
VIA;5;3;76711;VIA;Pont sur Oued Lahlou;
PV;5;3;76806;PV73;;
PP;5;3;76822;PP45;Passage piéton N°45;
ECH;5;3;78282;A1-7;Asilah;
PI;5;3;78282;PI 13;Echangeur d’Asilah;
GARE;5;3;78282;GARE - SE;Gare sur échangeur d''Asilah;
PV;5;3;80883;PV72;;
PI;5;3;81398;PI 12;RN 1;
PP;5;3;81783;PP44;Passage piéton N°44;
PV;5;3;82723;PV71;;
PP;5;3;83823;PP43;Passage piéton N°43;
PV;5;3;84923;PV70;;
PP;5;3;86623;PP42;Passage piéton N°42;
PV;5;3;87743;PV69;;
PV;5;3;88603;PV68;;
PS;5;3;89826;PS 15;RR 415;
PV;5;3;90783;PV67;;
PI;5;3;91463;PI 11;RN 1;
PI;5;3;91953;PI 10;sidi Elyamani;
ECH;5;3;91953;A1-6;Sidi Elyamani;
GARE;5;3;91953;GARE - SE;Gare sur échangeur de Sidi Elyamani;
PV;5;3;93957;PV66;;
PS;5;3;96188;PS 14;NC;
PV;5;3;97878;PV65;;
PV;5;3;100078;PV64;;
PP;5;3;101608;PP41;Passage piéton N°41;
PV;5;3;102447;PV63;;
PV;5;3;102699;PV62;;
PV;5;3;105112;PV61;;
PV;5;3;106168;PV60;;
PV;5;3;106675;PV59;;
PP;5;3;107921;PP40;Passage piéton N°40;
PV;5;3;108792;PV58;;
PS;5;3;109187;PS 13;RP 4402;
PP;5;3;109864;PP39;Passage piéton N°39;
PV;5;3;110608;PV57;;
PV;5;3;111932;PV56;;
VIA;5;3;112235;VIA;Pont sur Oued Loukkous;
PV;5;3;112612;PV55;;
PI;5;3;113985;PI 9;RP 4401;
PV;5;3;114792;PV54;;
AIRE;5;3;115108;A1-R4;Aire de Larache;
PP;5;3;115108;PP38 Aire de service;Passage piéton N°38;
PAS;5;3;115412;PAS7;Passerelle piéton N°7;
PS;5;3;115431;PS 12;NC;
PV;5;3;116192;PV53;;
PP;5;3;117387;PP37;Passage piéton N°37;
PS;5;3;118312;PS 11;RN1;
PS;5;3;119112;PS 10;Larache;
GARE;5;3;119112;GARE - SE;Gare sur échangeur de Larache;
ECH;5;3;119112;A1-5;Larache;
PS;5;3;120262;PS 9 ;RP 4214;
PP;5;3;121443;PP36;Passage piéton N°36;
PV;5;3;122098;PV52;;
PP;5;3;123918;PP35;Passage piéton N°35;
PP;5;3;125118;PP34;Passage piéton N°34;
PV;5;3;126345;PV51;;
PV;5;3;127433;PV50;;
PP;5;3;128254;PP33;Passage piéton N°33;
VIA;5;3;128762;VIA;Pont sur Canal d’irrigation n°2;
PI;5;3;129062;PI 8;RP 4214;
PV;5;3;130829;PV49;;
PP;5;3;131694;PP32;Passage piéton N°32;
VIA;5;3;132062;VIA;Pont sur Canal d’irrigation n°1;
PV;5;3;132731;PV48;;
PV;5;3;133796;PV47;;
PI;5;3;135062;PI 7;RP 4214;
PP;5;3;136568;PP31;Passage piéton N°31;
PV;5;3;136668;PV46;;
PP;5;3;138467;PP30;Passage piéton N°30;
PI;5;3;139162;PI 6;RP 4206;
PV;5;3;139997;PV45;;
PV;5;3;141519;PV43;;
PV;5;3;142017;PV44;;
PV;5;3;142817;PV42;;
PP;5;3;144888;PP29Bis;Passage piéton N°29 bis;
PV;5;3;146252;PV41;;
PV;5;3;147736;PV40;;
PP;5;3;149624;PP29 Aire de service;Passage piéton N°29;
PV;5;3;150569;PV39;;
PAS;5;3;151162;PAS6;Passerelle piéton N°6;
ECH;5;3;151562;A1-4;Mly Bousselham;
GARE;5;3;151562;GARE - SE;Gare sur échangeur de Mly Bousselham;
PS;5;3;151562;PS 6bis;Echangeur Mly Bousseham;
PI;5;3;152162;PI 5;RR 406;
VIA;5;3;152262;VIA;Pont sur Canal Drader;
PV;5;3;152414;PV38;;
PI;5;3;153962;PI 4;RP 4214;
PP;5;3;154789;PP28;Passage piéton N°28;
PV;5;3;156117;PV37;;
PP;5;3;159263;PP27;Passage piéton N°27;
PV;5;3;160646;PV36;;
PP;5;3;163901;PP26;Passage piéton N°26;
PV;5;3;164620;PV35;;
VIA;5;3;165562;VIA;Pont sur Canal Nador;
PV;5;3;165909;PV34;;
PI;5;3;166962;PI 3;RP 4214;
PV;5;3;168678;PV33;;
PV;5;3;170470;PV32;;
PP;5;3;171207;PP25;Passage piéton N°25;
PP;5;3;173035;PP24;Passage piéton N°24;
PV;5;3;173865;PV31;;
PP;5;3;174794;PP23;Passage piéton N°23;
PP;5;3;176667;PP22;Passage piéton N°22;
PV;5;3;177822;PV30;;
PV;5;3;179378;PV29;;
PP;5;3;180038;PP21;Passage piéton N°21;
PP;5;3;181478;PP20;Passage piéton N°20;
AIRE;5;3;182762;A1-R2;Aire de M’Nasra;
PV;5;3;183985;PV28;;
ECH;5;3;184762;A1-3;Sidi Allal Tazi;
GARE;5;3;184762;GARE - SE;Gare sur échangeur de sidi Allal Tazi;
PV;5;3;185215;PV27;;
PS;5;3;185262;PS 8;M’Nasra;
PV;5;3;186804;PV26;;
