LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;ABS_FIN;CD_CLASS_TRAF_INF__CODE;TENANT;ABOUTIS
1;2;60000;72484;T3;Tit Mellil;Casablanca Port
1;2;72484;77389;T3;Tit Mellil;Casablanca Port
1;2;77389;80100;T0;Casablanca Port;Casablanca Centre
1;2;80100;86660;T1-;Casablanca Centre;RS114
1;2;86660;92200;T1-;RS114;pénétrante terminale nord
1;2;92200;107860;T1-;pénétrante terminale nord;Had Soualem
1;2;107860;126950;T0;Had Soualem;Bir Jdid
1;2;126950;142775;T1-;Bir Jdid;Tnine Chtouka
1;2;142775;162311;T1-;Tnine Chtouka;Azemmour
1;2;162311;168556;T1-;Azemmour;El Jadida
2;1;17400;43800;T1-;Sidi Allal El Bahraoui;Tiflet
2;1;43800;69000;T3;Tiflet;Khémisset
2;1;69000;121200;T0;Khémisset;Méknès Ouest
2;1;121200;130400;T1-;Méknès Ouest;Méknès Est
2;1;130400;179000;T1-;Méknès Est;Rabat - Fès
2;1;195080;220497;T1-; RR503; Ras Tabouda
2;1;220497;245900;T1-; Ras Tabouda; Tahla
2;1;245900;269414;T1-; Tahla; Oued Amlil
2;1;269414;288028;T1-; Oued Amlil; Taza Ouest
2;1;288028;300388;T1+; Taza Ouest; Taza Est
2;1;300388;324114;T1+; Taza Est; MSOUN
2;1;324114;363214;T1-; MSOUN; GUERCIF
2;1;363214;397814;T0; GUERCIF; TAOURIRT
2;1;397814;405664;T1-; TAOURIRT; TAOURIRT -EST
2;1;405664;447133;T2; TAOURIRT -EST; laayoun
2;1;447133;493628;T1+; TAOURIRT -EST; laayoun
2;2;17400;43800;T1-;Sidi Allal El Bahraoui;Tiflet
2;2;43800;69000;T3;Tiflet;Khémisset
2;2;69000;121200;T0;Khémisset;Méknès Ouest
2;2;121200;130400;T1-;Méknès Ouest;Méknès Est
2;2;130400;179000;T1-;Méknès Est;Rabat - Fès
2;2;195080;220497;T1-; RR503; Ras Tabouda
2;2;220497;245900;T1-; Ras Tabouda; Tahla
2;2;245900;269414;T1-; Tahla; Oued Amlil
2;2;269414;288028;T1-; Oued Amlil; Taza Ouest
2;2;288028;300388;T1+; Taza Ouest; Taza Est
2;2;300388;324114;T1+; Taza Est; MSOUN
2;2;324114;363214;T1-; MSOUN; GUERCIF
2;2;363214;397814;T0; GUERCIF; TAOURIRT
2;2;397814;405664;T1-; TAOURIRT; TAOURIRT -EST
2;2;405664;447133;T2; TAOURIRT -EST; laayoun
