LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;CD_POSIT_INF__POSIT;CD_SECUR_INF__TYPE;ABS_DEB;ABS_FIN
5;1;Rive;glissiére métallique;108218;111847
5;1;Axe;glissiére métallique;104181;108942
5;1;Rive;glissiére métallique;107383;107735
5;1;Rive;glissiére métallique;107111;107179
5;1;Rive;glissiére métallique;105798;106649
5;1;Rive;glissiére métallique;104745;105504
5;1;Rive;glissiére métallique;103746;104437
5;1;Axe;glissiére métallique;94753;104095
5;1;Rive;glissiére métallique;101799;102521
5;1;Rive;glissiére métallique;101215;101577
5;1;Rive;glissiére métallique;99486;100072
5;1;Rive;glissiére métallique;99046;99340
5;1;Rive;glissiére métallique;97433;98229
5;1;Rive;glissiére métallique;96228;96283
5;1;Rive;glissiére en beton;96054;96232
5;1;Rive;glissiére métallique;95815;96058
5;1;Rive;glissiére métallique;95086;95180
5;1;Rive;glissiére métallique;94329;94514
5;1;Rive;glissiére métallique;93307;93970
5;1;Axe;glissiére métallique;93219;93277
5;1;Rive;glissiére métallique;91432;92728
5;1;Axe;glissiére métallique;91599;91616
5;1;Rive;glissiére métallique;89895;91444
5;1;Axe;glissiére métallique;90829;91218
5;1;Rive;glissiére métallique;89133;89510
5;1;Axe;glissiére métallique;89408;89509
5;1;Axe;glissiére métallique;89114;89210
5;1;Rive;glissiére métallique;86995;88812
5;1;Rive;glissiére métallique;85756;86480
5;1;Rive;glissiére métallique;83431;85204
5;1;Rive;glissiére métallique;83153;83249
5;1;Axe;glissiére métallique;83145;83247
5;1;Rive;glissiére métallique;82820;82859
5;1;Rive;glissiére métallique;80396;80430
5;1;Rive;glissiére métallique;78439;79478
5;1;Axe;glissiére métallique;78636;78734
5;1;Rive;glissiére métallique;77683;78152
5;1;Rive;glissiére métallique;77477;77682
5;1;Rive;glissiére métallique;77030;77385
5;1;Axe;glissiére métallique;77047;77381
5;1;Axe;glissiére métallique;76237;76765
5;1;Rive;glissiére métallique;76431;76537
5;1;Rive;glissiére métallique;75637;76356
5;1;Axe;glissiére en beton;76119;76243
5;1;Axe;glissiére métallique;75996;76125
5;1;Axe;glissiére en beton;75950;75997
5;1;Axe;glissiére métallique;73865;75951
5;1;Rive;glissiére métallique;75181;75396
5;1;Rive;glissiére métallique;75128;75160
5;1;Rive;glissiére métallique;74520;74585
5;1;Rive;glissiére métallique;74042;74518
5;1;Axe;glissiére métallique;72812;73866
5;1;Rive;glissiére en beton;70269;73451
5;1;Axe;glissiére en beton;72608;72811
5;1;Axe;glissiére métallique;71652;72607
5;1;Axe;glissiére en beton;71564;71652
5;1;Axe;glissiére métallique;63189;71563
5;1;Rive;glissiére métallique;69735;70069
5;1;Rive;glissiére métallique;68294;69310
5;1;Rive;glissiére métallique;62812;68158
5;1;Axe;glissiére en beton;62999;63189
5;1;Axe;glissiére métallique;60145;62999
5;1;Rive;glissiére métallique;60832;60966
5;1;Rive;glissiére métallique;59755;60243
5;1;Axe;glissiére en beton;60110;60144
5;1;Axe;glissiére en beton;57893;60109
5;1;Rive;glissiére métallique;57858;59637
5;1;Axe;glissiére métallique;50934;57887
5;1;Rive;glissiére métallique;56819;56934
5;1;Rive;glissiére métallique;55403;55710
5;1;Rive;glissiére métallique;53371;55267
5;1;Rive;glissiére métallique;52763;52875
5;1;Rive;glissiére métallique;51000;52164
1;1;Rive;glissiére métallique;60000;61104
1;1;Axe;glissiére métallique;60059;60069
1;1;Axe;glissiére métallique;60108;60146
1;1;Axe;glissiére métallique;60228;60247
1;1;Axe;glissiére métallique;60388;60485
1;1;Rive;glissiére métallique;61499;61597
1;1;Rive;glissiére métallique;61852;62520
1;1;Axe;glissiére métallique;62853;62949
1;1;Rive;glissiére métallique;62855;62964
1;1;Rive;glissiére métallique;63365;63642
1;1;Rive;glissiére métallique;63821;64239
1;1;Rive;glissiére métallique;64428;64488
1;1;Rive;glissiére métallique;64683;64884
1;1;Rive;glissiére métallique;65364;65485
1;1;Axe;glissiére métallique;65374;65474
1;1;Rive;glissiére métallique;66419;67071
1;1;Axe;glissiére métallique;66472;66570
1;1;Axe;glissiére métallique;66966;67063
1;1;Rive;glissiére métallique;67313;67643
1;1;Axe;glissiére métallique;67496;67523
1;1;Axe;glissiére métallique;67599;67626
1;1;Axe;glissiére métallique;67788;67851
