CD_TALUS_INF__TYPE;LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;ABS_FIN;HAUT
Remblai;2;2;299201;299561;
Remblai;2;2;299953;300171;
Remblai;2;2;301189;301536;
Remblai;2;2;301722;302134;
Remblai;2;2;302327;302696;
Remblai;2;2;303641;304030;
Remblai;2;2;304364;304462;
Remblai;2;2;304767;305439;
Remblai;2;2;306548;306650;
Remblai;2;2;306757;306956;
Remblai;2;2;307598;307776;
Remblai;2;2;307888;308262;
Remblai;2;2;308466;308869;
Remblai;2;2;309126;309738;
Remblai;2;2;310469;310897;
Remblai;2;2;312101;312221;
Remblai;2;2;312468;312652;
Remblai;2;2;312728;312857;
Remblai;2;2;313094;313317;
Remblai;2;2;313458;313619;
Remblai;2;2;314830;314981;
Remblai;2;2;315133;315629;
Déblai;2;2;315884;316132;
Remblai;2;2;316419;316674;
Remblai;2;2;316867;317172;
Remblai;2;2;317397;317649;
Remblai;2;2;318774;319348;
Remblai;2;2;321719;322320;
Remblai;2;2;324098;324311;
Remblai;2;2;324310;324904;
Déblai;2;2;325194;325755;
Remblai;2;2;326031;326785;
Remblai;2;2;328661;328821;
Déblai;2;2;361949;362391;
Déblai;2;2;362642;362736;
Déblai;2;2;366545;367148;
Déblai;2;2;367169;368406;
Remblai;2;2;368887;370608;
Déblai;2;2;371318;372588;
Déblai;2;2;372729;373831;
Remblai;2;2;373999;374577;
Remblai;2;2;375505;375783;
Remblai;2;2;376121;376718;
Remblai;2;2;382240;382395;
Remblai;2;2;382719;382958;
Remblai;2;2;388908;389120;
Remblai;2;2;389870;390307;
Déblai;2;2;390722;390854;
Remblai;2;2;391187;391723;
Déblai;2;2;391951;392373;
Remblai;2;2;392437;392805;
Remblai;2;2;392945;393464;
Déblai;2;2;394355;394673;
Déblai;2;2;394879;395644;
Remblai;2;2;395665;395734;
Déblai;2;2;395913;396500;
Remblai;2;2;396528;396866;
Remblai;2;2;397349;397653;
Remblai;2;2;397948;398140;
Remblai;2;2;398140;398186;
Déblai;2;2;398263;398625;
Déblai;2;2;398828;398963;
Remblai;2;2;399371;400022;
Remblai;2;2;401993;402202;
Remblai;2;2;403745;403853;
Remblai;2;2;404405;404870;
Remblai;2;2;405517;405636;
Remblai;2;2;405919;406391;
Remblai;2;2;407868;408127;
Remblai;2;2;409803;410089;
Remblai;2;2;411452;412145;
Remblai;2;2;412907;413175;
Remblai;2;2;414775;414830;
Remblai;2;2;414889;415357;
Déblai;2;2;417881;418068;
Déblai;2;2;418067;418547;
Remblai;2;2;418841;419545;
Remblai;2;2;429614;430387;
Remblai;2;2;430739;431673;
Remblai;2;2;436852;437602;
Remblai;2;2;442033;442284;
Remblai;2;2;444589;444747;
Déblai;2;2;448151;448440;
Remblai;2;2;448549;448951;
Remblai;2;2;451678;452042;
Remblai;2;2;453616;453766;
Remblai;2;2;453977;454207;
Remblai;2;2;454232;456075;
Remblai;2;2;459141;459473;
Remblai;2;2;459753;459984;
Déblai;2;2;467376;467716;
Remblai;2;2;475362;475687;
Remblai;2;2;479122;480176;
Remblai;2;2;484999;485777;
Remblai;3;1;36616;36974;
Déblai;3;1;50902;52249;
Déblai;3;1;52339;52789;
Remblai;3;1;52873;53231;
Déblai;3;1;53248;53843;
Remblai;3;1;54650;55003;
Remblai;3;1;54998;55149;
Déblai;3;1;55155;55362;
Remblai;3;1;55404;56241;
Remblai;3;1;56795;57153;
Remblai;3;1;57466;57747;
Remblai;3;1;57859;58539;
Remblai;3;1;58735;59082;
Remblai;3;1;60180;60711;
Remblai;3;1;63305;63834;
Remblai;3;1;63998;64111;
Remblai;3;1;64067;64225;
Remblai;3;1;84768;85374;
Remblai;3;1;97996;98608;
Remblai;3;1;112325;112398;
Remblai;7;1;13501;13669;
Déblai;7;1;13400;13500;
Remblai;7;1;13289;13399;
Remblai;7;1;12673;13084;
Déblai;7;1;12335;12634;
Remblai;7;1;11931;12334;
Déblai;7;1;11689;11889;
Déblai;7;1;11433;11559;
Remblai;7;1;11031;11429;
Remblai;7;1;10794;10874;
Déblai;7;1;9878;10179;
Remblai;7;1;9105;9540;
Remblai;7;1;8765;8926;
Remblai;7;1;7715;8164;
Déblai;7;1;7548;7701;
Remblai;7;1;6854;7359;
Remblai;7;1;6600;6695;
Remblai;7;1;4864;5044;
Remblai;7;1;4120;4373;
Remblai;7;1;3034;3251;
Remblai;7;1;2179;2836;
