LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;ABS_FIN;CD_TPC_INF__CODE;LARGEUR
3;3;8238;8259;ITPC;21
3;3;9125;9185;ITPC;60
3;3;11263;11333;ITPC;70
3;3;12999;13037;ITPC;38
3;3;13037;13076;ITPC;39
3;3;13345;13371;ITPC;26
3;3;18415;18469;ITPC;54
3;3;20591;20671;ITPC;80
3;3;20977;21009;ITPC;32
3;3;22304;22370;ITPC;66
3;3;24526;24596;ITPC;70
3;3;26691;26751;ITPC;60
3;3;29128;29210;ITPC;82
3;3;31412;31483;ITPC;71
3;3;32559;32589;ITPC;30
3;3;33002;33028;ITPC;26
3;3;33681;33741;ITPC;60
3;3;35010;35060;ITPC;50
3;3;36959;37038;ITPC;79
3;3;38715;38795;ITPC;80
3;3;40671;40751;ITPC;80
3;3;43748;43818;ITPC;70
3;3;45793;45873;ITPC;80
3;3;47171;47241;ITPC;70
3;3;49589;49659;ITPC;70
3;3;51406;51486;ITPC;80
3;3;52454;52483;ITPC;29
3;3;53170;53258;ITPC;88
3;3;55062;55142;ITPC;80
3;3;57087;57167;ITPC;80
3;3;59054;59094;ITPC;40
3;3;59094;59135;ITPC;41
3;3;60902;60973;ITPC;71
3;3;62682;62752;ITPC;70
3;3;64678;64757;ITPC;79
3;3;65285;65357;ITPC;72
3;3;66695;66767;ITPC;72
3;3;68515;68573;ITPC;58
3;3;68573;68627;ITPC;54
3;3;70236;70323;ITPC;87
3;3;73059;73128;ITPC;69
3;3;74220;74293;ITPC;73
3;3;76093;76173;ITPC;80
3;3;78822;78882;ITPC;60
3;3;80609;80688;ITPC;79
3;3;82981;83053;ITPC;72
3;3;84381;84457;ITPC;76
3;3;86542;86611;ITPC;69
3;3;88038;88107;ITPC;69
3;3;90129;90201;ITPC;72
3;3;91535;91625;ITPC;90
3;3;93475;93564;ITPC;89
3;3;95612;95685;ITPC;73
3;3;97517;97577;ITPC;60
3;3;99686;99764;ITPC;78
3;3;101313;101370;ITPC;57
3;3;102523;102594;ITPC;71
3;3;104632;104701;ITPC;69
3;3;107061;107126;ITPC;65
3;3;109728;109794;ITPC;66
3;3;112051;112121;ITPC;70
3;3;114080;114092;ITPC;12
3;3;114557;114626;ITPC;69
3;3;116584;116649;ITPC;65
3;3;119168;119239;ITPC;71
3;3;121444;121519;ITPC;75
3;3;123487;123548;ITPC;61
3;3;126503;126588;ITPC;85
3;3;128483;128566;ITPC;83
3;3;130631;130699;ITPC;68
3;3;132696;132771;ITPC;75
3;3;135348;135442;ITPC;94
3;3;135536;135626;ITPC;90
3;3;137447;137542;ITPC;95
3;3;139357;139440;ITPC;83
3;3;141066;141095;ITPC;29
3;3;141095;141154;ITPC;59
3;3;143045;143135;ITPC;90
3;3;145090;145175;ITPC;85
3;3;146891;146974;ITPC;83
3;3;148200;148284;ITPC;84
3;3;152233;152326;ITPC;93
3;3;153216;153302;ITPC;86
3;3;155840;155923;ITPC;83
3;3;157295;157324;ITPC;29
3;3;157324;157393;ITPC;69
3;3;157811;157838;ITPC;27
3;3;157838;157901;ITPC;63
3;3;158798;158904;ITPC;99
3;3;159290;159380;ITPC;90
3;3;160078;160121;ITPC;43
3;3;160121;160164;ITPC;43
3;3;161386;161472;ITPC;86
3;3;163476;163562;ITPC;86
3;3;165399;165484;ITPC;85
3;3;167444;167529;ITPC;85
3;3;169914;170000;ITPC;86
3;3;171923;172007;ITPC;84
3;3;173815;173881;ITPC;66
3;3;175803;175869;ITPC;66
3;3;177888;177952;ITPC;64
3;3;179783;179816;ITPC;33
3;3;179816;179868;ITPC;52
