LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;FAM_DEC_INF__FAM_DEC;CD_DEC_INF__CD_DEC;ABS_DEB;ABS_FIN
501;1;CEX;CET;0;1983
501;2;CEX;CET;19;1992
501;3;CEX;CET;0;1983
101;1;CEX;CEB;0;4000
101;2;CEX;CEB;0;4000
101;3;CEX;CEB;0;4000
102;1;CEX;CEJ;0;1382
102;3;CEX;CEJ;0;1382
102;2;CEX;CEJ;0;1375
2;1;CEX;CEF;174188;322161
2;3;CEX;CEF;174188;322161
2;2;CEX;CEF;173665;321597
201;2;CEX;CEM;0;5840
201;1;CEX;CEM;0;5932
201;3;CEX;CEM;0;5932
2;1;CEX;CEO;322161;494628
2;3;CEX;CEO;322161;494628
2;2;CEX;CEO;321597;494059
1;2;CEX;CEB;0;59000
1;1;CEX;CEB;0;59000
1;3;SECT;1991;0;60000
1;3;CEX;CEB;0;59000
2;1;CEX;CEM;14698;174188
2;2;CEX;CEM;14698;173665
2;3;SECT;1999;15698;69000
2;3;CEX;CEM;14698;174188
2;3;SECT;1998;69000;179000
3;1;CEX;CEBS;0;106239
3;1;CEX;CEMA;106239;281827
3;1;CEX;CEA;281827;428500
3;2;CEX;CEBS;0;106245
3;2;CEX;CEMA;106245;281911
3;2;CEX;CEA;281911;428500
3;3;SECT;2001;0;52515
3;3;CEX;CEBS;0;106239
3;3;SECT;2005;52515;65000
3;3;SECT;2007;65000;198800
3;3;CEX;CEMA;106239;281827
3;3;SECT;2008;198800;231300
3;3;SECT;2010;231300;427500
3;3;CEX;CEA;281827;428500
5;1;CEX;CET;0;151981
5;2;CEX;CET;0;151985
5;3;SECT;2007;26939;48939
5;3;CEX;CET;0;151981
5;3;SECT;2008;0;26939
7;2;CEX;CET;0;28537
7;1;CEX;CET;0;28537
7;3;SECT;2007;16237;28537
7;3;CEX;CET;0;28537
7;3;SECT;2008;0;16237
103;1;CEX;CEJ;693;5087
103;2;CEX;CEJ;693;5087
103;3;SECT;2006;693;5087
103;3;CEX;CEJ;693;5087
301;1;CEX;CEMA;800;13400
301;2;CEX;CEMA;800;13400
301;3;SECT;2007;800;13400
301;3;CEX;CEMA;800;13400
5;1;CEX;CEK;151981;265262
5;2;CEX;CEK;151985;265262
5;3;CEX;CEK;151981;265262
5;3;SECT;1995;223262;265262
5;3;SECT;1996;119112;223262
5;3;SECT;1999;91953;119112
5;3;SECT;2002;78282;91953
5;3;SECT;2005;51000;78282
1;1;CEX;CEJ;59000;168103
1;2;CEX;CEJ;59000;167956
1;3;SECT;2003;60000;86660
1;3;CEX;CEJ;59000;168103
1;3;SECT;2004;86660;107860
1;3;SECT;2005;107860;142775
1;3;SECT;2006;142775;168103
3;3;SENSIB;Sismique-1;198000;235000
301;3;SENSIB;Sismique-1;800;13400
1;3;SENSIB;Sismique-2;0;168047
103;3;SENSIB;Sismique-2;693;5087
2;3;SENSIB;Sismique-2;362000;495000
5;3;SENSIB;Sismique-2;120262;265262
2;3;SENSIB;Sismique-3;219500;362000
3;3;SENSIB;Sismique-3;160000;198000
3;3;SENSIB;Sismique-3;235000;428500
5;3;SENSIB;Sismique-3;0;51000
501;1;SENSIB;Sismique-3;0;1738
7;3;SENSIB;Sismique-3;0;28483
1;3;CLIMAT;Semi Aride;0;61580
1;3;CLIMAT;Semi Aride;60000;168556
103;3;CLIMAT;Semi Aride;693;5087
2;3;CLIMAT;Semi Aride;14698;495000
3;3;CLIMAT;Semi Aride;0;160000
3;3;CLIMAT;Aride;160000;310000
3;3;CLIMAT;Semi Aride;310000;428000
301;3;CLIMAT;Aride;800;13400
5;3;CLIMAT;Humide;0;51000
5;3;CLIMAT;Humide;52000;185762
5;3;CLIMAT;Semi Aride;185762;246262
501;3;CLIMAT;Humide;0;1738
7;3;CLIMAT;Humide;0;28483
