CD_PLACE_INF__PARKING;LIAISON_INF__LIAISON;CD_AIRE_INF__TYPE;CHAUSSEE_INF__SENS;AIRE_INF__ABS_DEB;NBRE
VL;A40;AS;1;163240;60
PL;A40;AS;1;163240;20
VL;A40;AR;1;191180;18
PL;A40;AR;1;191180;21
VL;A40;AR;2;103000;58
PL;A40;AR;2;103000;7
PL;A40;AR;2;115500;75
VL;A40;AR;2;115500;150
PL;A40;AS;2;130900;9
VL;A40;AS;2;130900;15
VL;A40;AR;2;152600;58
PL;A40;AR;2;152600;116
PL;A40;AS;2;163400;2
VL;A40;AS;2;163400;20
PL;A40;AR;2;191150;3
VL;A40;AR;2;191150;13
PL;A404;PB;1;12550;4
VL;A404;PB;1;12550;19
VL;A404;PB;2;12550;47
PL;A404;PB;2;12550;60
PL;A42;AS;1;16300;10
VL;A42;AS;1;16300;20
PL;A42;AR;1;32600;11
VL;A42;AR;1;32600;15
VL;A42;AR;2;9600;49
PL;A42;AR;2;9600;60
PL;A42;AS;2;16300;10
VL;A42;AS;2;16300;28
PL;A42;AR;2;32600;8
VL;A42;AR;2;32600;11
VL;A432;PB;2;12360;94
PL;A432;PB;2;12360;25
PL;A46;AS;1;16000;79
VL;A46;AS;1;16000;176
VL;A46;AS;2;16000;49
PL;A46;AS;2;16000;8
PL;A5;PB;1;1490;40
VL;A5;PB;1;1490;57
PL;A5;AS;1;30100;30
VL;A5;AS;1;30100;36
VL;A5;AR;1;46920;40
PL;A5;AR;1;46920;25
VL;A5;AR;1;68000;62
PL;A5;AR;1;68000;33
PL;A5;AS;1;84980;17
VL;A5;AS;1;84980;35
PL;A5;AR;1;109300;9
VL;A5;AR;1;109300;29
PL;A5;AR;1;123400;51
VL;A5;AR;1;123400;84
PL;A5;AS;1;140200;20
VL;A5;AS;1;140200;28
PL;A5;AR;1;174810;6
VL;A5;AR;1;174810;15
PL;A5;AD;1;200070;10
VL;A5;AD;1;200070;16
VL;A5;AR;1;219420;42
PL;A5;AR;1;219420;12
PL;A5;PB;2;1490;70
VL;A5;PB;2;1490;85
PL;A5;AS;2;30030;15
VL;A36;AR;2;128600;12
PL;A36;AR;2;128600;20
VL;A36;AR;2;137500;38
VL;A5;AS;2;30030;26
PL;A5;AR;2;46800;8
VL;A5;AR;2;46800;30
VL;A5;AR;2;67000;63
PL;A5;AR;2;67000;23
PL;A5;AS;2;85000;20
VL;A5;AS;2;85000;31
PL;A5;AR;2;109400;10
VL;A5;AR;2;109400;29
PL;A5;AR;2;124600;49
VL;A5;AR;2;124600;84
PL;A5;AS;2;140200;22
VL;A5;AS;2;140200;28
PL;A5;AR;2;174810;46
VL;A5;AR;2;174810;129
PL;A5;AS;2;200070;10
VL;A5;AS;2;200070;19
VL;A5;AR;2;219420;37
PL;A5;AR;2;219420;38
PL;A5A;AS;1;5985;183
VL;A5A;AS;1;5985;197
PL;A6;AS;1;29000;60
VL;A6;AS;1;29000;71
PL;A6;AR;1;50250;39
VL;A6;AR;1;50250;60
PL;A6;AS;1;58000;6
VL;A6;AS;1;58000;19
PL;A6;AR;1;65500;74
VL;A6;AR;1;65500;103
PL;A6;AS;1;74100;43
VL;A6;AS;1;74100;64
VL;A6;AR;1;85600;46
PL;A6;AR;1;85600;7
PL;A6;AR;1;90800;14
VL;A6;AR;1;90800;16
PL;A6;AR;1;102700;47
VL;A6;AR;1;102700;82
VL;A6;AR;1;116700;58
PL;A6;AR;1;116700;72
VL;A6;AS;1;122900;28
VL;A6;AR;1;133200;18
PL;A6;AR;1;133200;26
PL;A6;AR;1;149600;5
VL;A6;AR;1;149600;15
PL;A6;AR;1;158500;130
VL;A6;AR;1;158500;204
PL;A6;AS;1;167000;7
VL;A6;AS;1;167000;10
PL;A6;AR;1;173800;39
VL;A6;AR;1;173800;51
VL;A6;AR;1;186900;26
PL;A6;AR;1;186900;32
PL;A6;AR;1;198100;87
VL;A6;AR;1;198100;121
VL;A6;AS;1;212900;23
PL;A6;AS;1;212900;31
VL;A36;AS;2;160600;38
PL;A36;AS;2;160600;9
VL;A36;AR;2;172100;40
PL;A36;AR;2;172100;10
VL;A36;AR;2;185300;50
PL;A36;AR;2;185300;20
VL;A36;AS;2;200400;39
PL;A36;AS;2;200400;10
PL;A36;AR;2;208800;10
VL;A36;AR;2;208800;19
VL;A39;AR;1;5900;64
PL;A39;AR;1;5900;26
VL;A39;AR;1;15200;87
PL;A39;AR;1;15200;30
PL;A39;AS;1;24930;21
VL;A39;AS;1;24930;33
PL;A39;AR;1;51390;16
VL;A39;AR;1;51390;27
PL;A39;AR;1;66730;19
VL;A39;AR;1;66730;22
PL;A39;AR;1;100080;87
VL;A39;AR;1;100080;178
PL;A39;AS;1;114970;16
VL;A39;AS;1;114970;27
PL;A39;AR;1;137650;10
VL;A39;AR;1;137650;19
VL;A39;AR;2;5900;64
PL;A39;AR;2;5900;26
VL;A39;AR;2;16300;87
PL;A39;AR;2;16300;30
PL;A39;AS;2;24460;27
VL;A39;AS;2;24460;33
PL;A39;AR;2;51310;16
VL;A39;AR;2;51310;27
PL;A39;AR;2;66730;90
VL;A39;AR;2;66730;193
PL;A39;AS;2;78300;19
VL;A39;AS;2;78300;23
PL;A39;AD;2;114970;16
VL;A39;AD;2;114970;26
PL;A39;AR;2;137650;3
VL;A39;AR;2;137650;6
PL;A391;PB;1;920;3
VL;A391;PB;1;920;5
VL;A391;PB;2;920;18
PL;A391;PB;2;920;18
VL;A40;AR;1;103000;47
PL;A40;AR;1;103000;7
VL;A40;AR;1;115500;52
PL;A40;AR;1;115500;79
PL;A40;AS;1;130700;4
PL;A40;AR;1;140300;9
VL;A40;AR;1;140300;15
VL;A40;AR;1;152630;90
PL;A40;AR;1;152630;122
PL;A36;AR;2;137500;50
PL;A71;PB;1;381000;14
VL;A71;PB;1;381000;30
VL;A71;AR;2;213490;99
PL;A71;AR;2;213490;30
PL;A71;AD;2;246200;13
VL;A71;AD;2;246200;31
PL;A71;AR;2;276430;88
VL;A71;AR;2;276430;157
PL;A71;AS;2;304390;15
VL;A71;AS;2;304390;30
PL;A71;AR;2;333420;15
VL;A71;AR;2;333420;20
VL;A71;AR;2;371690;44
PL;A71;AR;2;371690;8
PL;A71;PB;2;381000;2
VL;A71;PB;2;381000;12
PL;A719;PB;1;1010;2
VL;A719;PB;1;1010;12
PL;A719;PB;2;1010;7
VL;A719;PB;2;1010;12
PL;A77;PB;1;5660;5
VL;A77;PB;1;5660;20
PL;A77;AR;1;11330;5
VL;A77;AR;1;11330;20
PL;A77;AR;1;30360;50
VL;A77;AR;1;30360;159
PL;A77;AS;1;45190;5
VL;A77;AS;1;45190;20
PL;A77;AR;1;64210;5
VL;A77;AR;1;64210;20
PL;A77;AR;1;88310;6
VL;A77;AR;1;88310;12
PL;A77;PB;1;97410;9
VL;A77;PB;1;97410;15
PL;A77;PB;2;5660;5
VL;A77;PB;2;5660;20
PL;A77;AR;2;12290;5
VL;A77;AR;2;12290;20
PL;A77;AR;2;30320;5
VL;A77;AR;2;30320;17
PL;A77;AR;2;64290;5
VL;A77;AR;2;64290;20
PL;A77;AR;2;88700;4
VL;A77;AR;2;88700;12
PL;A6;AR;1;222600;14
VL;A6;AR;1;222600;16
VL;A6;AR;1;232700;49
PL;A6;AR;1;232700;9
PL;A6;AR;1;242100;62
VL;A6;AR;1;242100;65
PL;A6;AS;1;255400;12
VL;A6;AS;1;255400;24
VL;A6;AR;1;269000;63
PL;A6;AR;1;269000;20
PL;A6;AR;1;280300;51
VL;A6;AR;1;280300;30
PL;A6;AS;1;286400;7
