CD_SERVICE_INF__SERVICE;LIAISON_INF__LIAISON;CD_AIRE_INF__TYPE;CHAUSSEE_INF__SENS;AIRE_INF__ABS_DEB
BRUMISATEUR;A42;AR;2;9600
DAB;A42;AR;2;9600
JEUX;A42;AR;2;9600
JEUX;A42;AR;2;32600
MOBILITE REDUITE;A42;AR;2;9600
MOBILITE REDUITE;A42;AR;2;32600
PARCOURS_DETENTE;A42;AR;2;9600
PIQUE_NIQUE;A42;AR;2;9600
PIQUE_NIQUE;A42;AR;2;32600
PRESSE;A42;AR;2;9600
STATION GONFLAGE;A42;AR;2;9600
STATION GONFLAGE;A42;AR;2;32600
TELEPHONE;A42;AR;2;9600
TELEPHONE;A42;AR;2;32600
Vente Liber-t;A42;AR;2;9600
BRUMISATEUR;A42;AS;1;16300
JEUX;A42;AS;1;16300
MOBILITE REDUITE;A42;AS;1;16300
PIQUE_NIQUE;A42;AS;1;16300
STATION GONFLAGE;A42;AS;1;16300
TELEPHONE;A42;AS;1;16300
VIDANGE;A42;AS;1;16300
JEUX;A42;AS;2;16300
MOBILITE REDUITE;A42;AS;2;16300
PANORAMA;A42;AS;2;16300
PARCOURS_DETENTE;A42;AS;2;16300
PIQUE_NIQUE;A42;AS;2;16300
TELEPHONE;A42;AS;2;16300
MOBILITE REDUITE;A432;PB;1;12360
TELEPHONE;A432;PB;1;12360
MOBILITE REDUITE;A432;PB;2;12360
TELEPHONE;A432;PB;2;12360
Information;A46;AS;1;16000
JEUX;A46;AS;1;16000
MOBILITE REDUITE;A46;AS;1;16000
PIQUE_NIQUE;A46;AS;1;16000
PRESSE;A46;AS;1;16000
STATION GONFLAGE;A46;AS;1;16000
TELEPHONE;A46;AS;1;16000
JEUX;A46;AS;2;16000
MOBILITE REDUITE;A46;AS;2;16000
PARCOURS_DETENTE;A46;AS;2;16000
PIQUE_NIQUE;A46;AS;2;16000
JEUX;A5;AD;1;200070
MOBILITE REDUITE;A5;AD;1;200070
PIQUE_NIQUE;A5;AD;1;200070
TELEPHONE;A5;AD;1;200070
BRUMISATEUR;A5;AR;1;46920
BRUMISATEUR;A5;AR;1;219420
DAB;A5;AR;1;46920
JEUX;A5;AR;1;46920
JEUX;A5;AR;1;68000
JEUX;A5;AR;1;109300
JEUX;A5;AR;1;123400
JEUX;A5;AR;1;174810
JEUX;A5;AR;1;219420
MOBILITE REDUITE;A5;AR;1;46920
MOBILITE REDUITE;A5;AR;1;68000
MOBILITE REDUITE;A5;AR;1;109300
MOBILITE REDUITE;A5;AR;1;123400
MOBILITE REDUITE;A5;AR;1;174810
MOBILITE REDUITE;A5;AR;1;219420
PIQUE_NIQUE;A5;AR;1;46920
PIQUE_NIQUE;A5;AR;1;68000
PIQUE_NIQUE;A5;AR;1;109300
PIQUE_NIQUE;A5;AR;1;123400
PIQUE_NIQUE;A5;AR;1;174810
PIQUE_NIQUE;A5;AR;1;219420
PRESSE;A5;AR;1;46920
PRODUITS_REGIONAUX;A5;AR;1;46920
TABAC;A5;AR;1;46920
TELEPHONE;A5;AR;1;46920
TELEPHONE;A5;AR;1;68000
TELEPHONE;A5;AR;1;109300
TELEPHONE;A5;AR;1;123400
TELEPHONE;A5;AR;1;174810
TELEPHONE;A5;AR;1;219420
BRUMISATEUR;A5;AR;2;67000
BRUMISATEUR;A5;AR;2;109400
BRUMISATEUR;A5;AR;2;219420
DAB;A5;AR;2;219420
JEUX;A5;AR;2;46800
JEUX;A5;AR;2;67000
JEUX;A5;AR;2;109400
JEUX;A5;AR;2;124600
JEUX;A5;AR;2;174810
JEUX;A5;AR;2;219420
MOBILITE REDUITE;A5;AR;2;46800
MOBILITE REDUITE;A5;AR;2;67000
MOBILITE REDUITE;A5;AR;2;109400
MOBILITE REDUITE;A5;AR;2;124600
MOBILITE REDUITE;A5;AR;2;174810
MOBILITE REDUITE;A5;AR;2;219420
PIQUE_NIQUE;A5;AR;2;46800
PIQUE_NIQUE;A5;AR;2;67000
PIQUE_NIQUE;A5;AR;2;109400
PIQUE_NIQUE;A5;AR;2;124600
PIQUE_NIQUE;A5;AR;2;174810
PIQUE_NIQUE;A5;AR;2;219420
PRESSE;A5;AR;2;67000
PRODUITS_REGIONAUX;A5;AR;2;67000
PRODUITS_REGIONAUX;A5;AR;2;219420
TABAC;A5;AR;2;67000
TELEPHONE;A5;AR;2;46800
TELEPHONE;A5;AR;2;67000
TELEPHONE;A5;AR;2;109400
TELEPHONE;A5;AR;2;124600
TELEPHONE;A5;AR;2;174810
TELEPHONE;A5;AR;2;219420
VIDANGE;A5;AR;2;67000
Vente Liber-t;A5;AR;2;219420
BRUMISATEUR;A5;AS;1;30100
BRUMISATEUR;A5;AS;1;84980
DAB;A5;AS;1;30100
DAB;A5;AS;1;84980
Information;A5;AS;1;84980
JEUX;A5;AS;1;30100
JEUX;A5;AS;1;84980
JEUX;A5;AS;1;140200
DAB;A105;AD;1;5000
