LIAISON_INF__LIAISON;ABS_DEB;CD_BIF_INF__TYPE;NOM;DATE_MS;OBSERV;CHAUSSEE_INF__SENS;NUM_EXPLOIT
A40;144968;Ec/2;noeud de Pont-d''Ain;;A40-A42;3;A40-A42
A40;197201;Ec/2;A406;;A40-A406;3;A40-A406
A42;12613;Ec/2;noeud de La Boisse;;A42-A432;3;A42-A432
A46;24190;Ec/2;A432;;A46-A432;3;A46-A432
A5;64163;Ec/2;noeud de La Chapelle-sur-Oreuse;;A5-A19;3;A5-A19
A5;134676;Ec/2;noeud de Clerey;;A5-A26;3;A5-A26
A5;227534;Ec/2;noeud de Beauchemin;;A5-A31;3;A5-A31
A6;79579;Ec/2;noeud du Puys;;A6-A77;3;A6-A77
A6;304066;Ec/2;noeud de Beaune;;A6-A31;3;A6-A31
A6;383528;Ec/2;noeud de Sennecé;;A6-A40;3;A6-A40
A6;431538;Ec/2;biffur. d''Anse;;A6-A46;3;A6-A46
A36;35795;Di;Belfort-Sud;;n°12;3;A36-12
A36;39673;Di;Sévenans/Héricourt;;n°11;3;A36-11
A36;46564;Di;Brognard/Grand-Charmont;;n°10;3;A36-10
A36;48756;Di;Sochaux-Exincourt;;n°9;3;A36-9
A36;50549;Di;Montbéliard-Centre;;n°8;3;A36-8
A36;57141;Di;Voujeaucourt;;n°6.1;3;A36-6.1
A36;73136;Di;L''Isle-sur-Le-Doubs;;n°6;3;A36-6
A36;90422;Di;Baume-Les-Dames;;n°5;3;A36-5
A36;109483;Di;Besançon-Est;;n°4.1;3;A36-4.1
A36;124090;Di;Besançon-Nord;;n°4;3;A36-4
A36;133487;Di;Besançon-Ouest;;n°3;3;A36-3
A36;149473;Di;Gendrey;;n°2.1;3;A36-2.1
A36;166040;Di;Dole;;n°2;3;A36-2
A71;350188;Ec/2;noeud de Gannat;;A71-A719;3;A71-A719
A5;0;Ec/3;noeud des Eprunes (A105);;A5-A105;3;A5-A105
A105;0;EcP;noeud du Val Ganisse;;A105-N104;3;A105-N104
A19;20457;EcP;Arcour;;A19-A77;3;A19-A77
A5A;0;EcP;noeud de La Justice;;A5A-N104;3;A5A-N104
A71;364651;EcP;A71-A89 ASF;;A71-A89;3;A71-A89
A71;388368;EcP;A711-A75 DDE;;A71-A711-A75;3;A71-A711-A75
A42;4035;EcP/2;noeud des Iles;;A42-A46;3;A42-A46
A6;111874;EcP/2;A19;;A6-A19;3;A6-A19
A71;384810;EcP/2;A710 ouest;;A71-A710;3;A71-A710
A36;195714;Di;Seurre;;n°1;3;A36-1
A39;0;DiP;RN 974;;n°1;3;A39-1
