LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;EXTREMITE;NUM_EXPLOIT;NUM_BRETELLE;NOM_BRETELLE;LIBELLE;TYPE
A5;1;65613;A19;A5-A19;E1;B5A;Noeud de la Chapelle-sur-Oreus;Ec/2
A36;2;30130;;A36-14;E2;;n°14 (Belfort-Nord);DI
A36;2;30590;;A36-14;S2;;n°14 (Belfort-Nord);Di
A36;1;30740;;A36-14;E3;;n°14 (Belfort-Nord);Di
A36;1;24080;;A36-14.1;E1;;n°14-1 (Fontaine);DI
A36;2;24200;;A36-14.1;S2;;n°14-1 (Fontaine);DI
A36;2;24800;;A36-14.1;E2;;n°14-1 (Fontaine);Di
A36;1;24800;;A36-14.1;S1;;n°14-1 (Fontaine);DI
A36;2;7470;;A36-15;E2;;n°15 (Burnhaupt);DI
A36;1;7850;;A36-15;S1;;n°15 (Burnhaupt);Di
A36;2;8400;;A36-15;S2;;n°15 (Burnhaupt);Di
A36;1;8800;;A36-15;E1;;n°15 (Burnhaupt);Di
A36;1;280;;A36-16;E1;;n°16 ( Lutterbarch-Dornach);DI
A36;2;400;;A36-16;S2;;n°16 ( Lutterbarch-Dornach);DI
A36;1;165790;;A36-2;S1;;n°2 (Dole);DI
A36;2;165970;;A36-2;E2;;n°2 (Dole);Di
A36;2;166550;;A36-2;S2;;n°2 (Dole);Di
A36;1;166600;;A36-2;E1;;n°2 (Dole);Di
A36;1;149080;;A36-2.1;S1;;n°2.1 (Gendrey);Di
A36;2;149450;;A36-2.1;E2;;n°2.1 (Gendrey);DI
A36;1;149750;;A36-2.1;E1;;n°2.1 (Gendrey);DI
A36;2;150040;;A36-2.1;S2;;n°2.1 (Gendrey);DI
A36;1;133170;;A36-3;S1;;n°3 (Besançon-Ouest);DI
A36;2;133420;;A36-3;E2;;n°3 (Besançon-Ouest);Di
A36;1;133540;;A36-3;E1;;n°3 (Besançon-Ouest);Di
A36;2;133890;;A36-3;S2;;n°3 (Besançon-Ouest);Di
A36;2;123780;;A36-4;S2;;n°4 (Besançon-Nord);DI
A105;2;1026;;A105-1;E2;;n°11 Evry-Grégy;Di
A5;2;134610;A26;A5-A26;S2;B26C;A5 (noeud de Clérey);Ec
A5;2;392925;A26;A5-A26;E2;B5C;A5 (noeud de Clérey);Ec
A5;2;226520;A31;A5-A31;S2;B31B;A5-A31 Noeud de Beauchemin;Ec
A5;2;227100;A31;A5-A31;E2;B5B;A5-A31 Noeud de Beauchemin;Ec
A5;2;7780;A105;A5A-A105;E2;B5AA;A5A-E2;Ec
A5A;1;580;;A5A-N104;E1;B5aB;N104 (noeud de La Justice) DDE;Ec
A5A;2;780;;A5A-N104;S2;B104A;N104 (noeud de La Justice) DDE;Ec
A6;1;46020;;A6-13;S1;;n°13 (Cély);DI
A6;2;46080;;A6-13;E2;;n°13 (Cély);Di
