FAM_DEC_INF__FAM_DEC;CD_DEC;LIBELLE
COMMU;01290;PEROUGES
COMMU;01296;PIRAJOUX
COMMU;01300;LE POIZAT
COMMU;01301;POLLIAT
COMMU;01303;PONCIN
COMMU;01307;PORT
COMMU;01320;REPLONGES
COMMU;01331;SAINT-ALBAN
COMMU;01332;SAINT-ANDRE-DE-BAGE
COMMU;01343;SAINT-CYR-SUR-MENTHON
COMMU;01350;SAINT-ETIENNE-DU-BOIS
COMMU;01355;SAINT-GENIS-SUR-MENTHON
COMMU;01357;SAINT-GERMAIN-DE-JOUX
COMMU;01365;SAINT-JEAN-SUR-VEYLE
COMMU;01369;SAINT-JUST
COMMU;01373;SAINT-MARTIN-DU-FRENE
COMMU;01374;SAINT-MARTIN-DU-MONT
COMMU;01376;SAINT-MAURICE-DE-BEYNOST
COMMU;01418;THIL
COMMU;01422;TOSSIAT
COMMU;01425;LA TRANCLIERE
COMMU;01430;VARAMBON
COMMU;01445;VILLEMOTIER
COMMU;01450;VILLIEU-LOYES-MOLLON
COMMU;01451;VIRIAT
COMMU;03061;CHARMES
COMMU;10045;Beurey
COMMU;10048;Bligny
COMMU;10053;Bouranton
COMMU;10066;Bucey-En-Othe
COMMU;10067;Bucheres
COMMU;10076;Champignol-Lez-Mondeville
COMMU;10083;Chappes
COMMU;10084;Charmont-Sous-Barbuise
COMMU;10092;Chauffour-Les-Bailly
COMMU;10100;Clerey
COMMU;10115;Creney-Pres-Troyes
COMMU;10124;Dierrey-Saint-Julien
COMMU;10142;Estissac
COMMU;10156;Fontvannes
COMMU;10159;Fralignes
COMMU;10162;Fresnoy-Le-Chateau
COMMU;10182;Juvancourt
COMMU;10186;Laines-Aux-Bois
COMMU;10205;Longpre-Le-Sec
COMMU;10210;Luyeres
COMMU;10211;Macey
COMMU;10213;Magnant
COMMU;10226;Marolles-Les-Bailly
COMMU;10240;Messon
COMMU;10245;Montaulin
COMMU;10255;Montreuil-Sur-Barse
COMMU;10260;Moussey
COMMU;10263;Neuville-Sur-Vannes
COMMU;10277;Palis
COMMU;10290;Planty
COMMU;10294;Poligny
COMMU;10329;Rouilly-Saint-Loup
COMMU;10335;Saint-Benoist-Sur-Vanne
COMMU;10340;Saint-Germain
COMMU;10344;Saint-Leger-Pres-Troyes
COMMU;10357;Saint-Parres-Aux-Tertres
COMMU;10360;Saint-Pouange
COMMU;10363;Saint-Thibault
COMMU;10375;Thennelieres
COMMU;10381;Torvilliers
COMMU;10406;Verrieres
COMMU;10412;Villechetif
COMMU;10415;Villemaur-Sur-Vanne
COMMU;10419;Villemoyenne
COMMU;10426;Ville-Sous-La-Ferte
COMMU;10433;Villy-En-Trodes
COMMU;10438;Vitry-Le-Croise
COMMU;10444;Vulaines
COMMU;18255;Le Subdray
COMMU;21001;Agencourt
COMMU;21016;Arceau
COMMU;21021;Arc-Sur-Tille
COMMU;21022;Argilly
COMMU;21030;Aubaine
COMMU;21038;Auxonne
COMMU;21042;Bagnot
COMMU;21054;Beaune
COMMU;21056;Beire-Le-Chatel
COMMU;21057;Beire-Le-Fort
COMMU;21065;Bessey-En-Chaume
COMMU;21073;Bierre-Les-Semur
COMMU;21086;Bligny-Les-Beaune
COMMU;21087;Bligny-Sur-Ouche
COMMU;21088;Boncourt-Le-Bois
COMMU;21091;Bouhey
COMMU;21099;Bouze-Les-Beaune
COMMU;21105;Bressey-Sur-Tille
COMMU;21106;Breteniere
COMMU;21110;Brochon
COMMU;21111;Brognon
COMMU;21128;Chailly-Sur-Armancon
COMMU;21138;Champdotre
COMMU;21147;Charny
COMMU;21152;Chateauneuf
COMMU;21156;Chaudenay-Le-Chateau
COMMU;21171;Chevigny-Saint-Sauveur
COMMU;21173;Chorey-Les-Beaune
COMMU;21177;Clamerey
COMMU;21183;Collonges-Les-Premieres
COMMU;21184;Colombier
COMMU;21186;Comblanchien
COMMU;21194;Corgoloin
COMMU;21200;Couchey
COMMU;21205;Courcelles-Les-Semur
COMMU;21209;Couternon
COMMU;21210;Creancey
COMMU;21213;Crimolois
COMMU;21214;Crugey
COMMU;21244;Eguilly
COMMU;21247;Epoisses
COMMU;21261;Fauverney
COMMU;21263;Fenay
COMMU;21265;Fixin
COMMU;21266;Flacey
COMMU;21267;Flagey-Echezeaux
COMMU;21272;Flee
COMMU;21280;Fontangy
COMMU;21282;Forleans
COMMU;21290;Gemeaux
COMMU;21292;Genlis
COMMU;21295;Gevrey-Chambertin
COMMU;21297;Gilly-Les-Citeaux
COMMU;21298;Gissey-Le-Vieil
COMMU;21301;Glanon
COMMU;21320;Izier
COMMU;21330;Labergement-Foigney
COMMU;21331;Labergement-Les-Auxonne
COMMU;21333;Labruyere
COMMU;21347;Levernois
COMMU;21355;Longvic
COMMU;21361;Lux
COMMU;21362;Maconge
COMMU;21370;Magny-Sur-Tille
COMMU;21371;Les Maillys
COMMU;21380;Marcigny-Sous-Thil
COMMU;21390;Marsannay-La-Cote
COMMU;21405;Merceuil
COMMU;21423;Montagny-Les-Beaune
COMMU;21436;Montmain
COMMU;21442;Morey-Saint-Denis
COMMU;21449;Nan-Sous-Thil
COMMU;21452;Neuilly-Les-Dijon
COMMU;21457;Noidan
COMMU;21463;Normier
COMMU;52074;Breuvannes-En-Bassigny
COMMU;52106;Chanoy
COMMU;52114;Chateauvillain
COMMU;52127;Choiseul
COMMU;52147;Courcelles-En-Montagne
COMMU;52163;Dampierre
COMMU;52189;Le Val-D''Esnoms
COMMU;52196;Faverolles
COMMU;52200;Flagey
COMMU;52205;Foulain
COMMU;52207;Frecourt
COMMU;52217;Germainvilliers
COMMU;52258;Laferte-Sur-Aube
COMMU;52282;Leffonds
COMMU;52285;Leuchey
COMMU;52307;Marac
COMMU;52312;Mardor
COMMU;52320;Merrey
COMMU;52332;Val-De-Meuse
COMMU;52349;Neuilly-Sur-Suize
COMMU;52355;Noidant-Le-Rocheux
COMMU;52365;Orges
COMMU;52366;Ormancey
COMMU;52384;Perrogney-Les-Fontaines
COMMU;52399;Pont-La-Ville
COMMU;52422;Richebourg
COMMU;52432;Rolampont
COMMU;52447;Saint-Ciergues
COMMU;52469;Semoutiers-Montsaon
COMMU;52519;Vesvres-Sous-Chalancey
COMMU;52538;Villiers-Sur-Suize
COMMU;54008;Allain
COMMU;54041;Bagneux
COMMU;54073;Bicqueley
COMMU;54135;Colombey-Les-Belles
COMMU;54143;Crepey
COMMU;54146;Crezilles
COMMU;54189;Favieres
COMMU;54220;Gemonville
COMMU;54242;Gye
COMMU;54392;Moutrot
COMMU;54500;Selaincourt
COMMU;54528;Toul
COMMU;58044;La Celle-Sur-Loire
COMMU;58086;Cosne-Cours-Sur-Loire
COMMU;58187;Myennes
COMMU;58193;Neuvy-Sur-Loire
COMMU;58261;Saint-Pere
COMMU;68060;Burnhaupt-Le-Haut
COMMU;68314;Soppe-Le-Haut
COMMU;69005;Amberieux
COMMU;69009;Anse
COMMU;69013;Arnas
COMMU;69019;Belleville
COMMU;69033;Cailloux-Sur-Fontaines
COMMU;69055;Les Cheres
COMMU;69072;Dardilly
COMMU;69077;Drace
COMMU;69115;Limas
COMMU;69116;Limonest
COMMU;69117;Lissieu
COMMU;69122;Lucenay
COMMU;69125;Marcilly-D''Azergues
COMMU;69156;Pommiers
COMMU;69163;Quincieux
COMMU;69206;Saint-Georges-De-Reneins
COMMU;69242;Taponas
COMMU;1027;Balan
COMMU;1179;Grièges
COMMU;1424;Tramoyes
COMMU;1007;Ambronay
COMMU;1014;Arbent
COMMU;1024;Attignat
COMMU;1025;Bage-La-Ville
COMMU;1029;Beaupont
COMMU;1031;Bellignat
COMMU;1032;Beligneux
COMMU;1038;Beny
COMMU;1043;Beynost
COMMU;1049;La Boisse
COMMU;1053;Bourg-En-Bresse
COMMU;1054;Bourg-Saint-Christophe
COMMU;1062;Bressolles
COMMU;1063;Brion
COMMU;1067;Ceignes
COMMU;1069;Certines
COMMU;1072;Ceyzeriat
COMMU;1077;Challes
COMMU;1087;Charix
COMMU;1088;Charnoz-Sur-Ain
COMMU;1089;Chateau-Gaillard
COMMU;1091;Chatillon-En-Michaille
COMMU;1099;Chazey-Sur-Ain
COMMU;1105;Civrieux
COMMU;1115;Confrancon
COMMU;1134;Crottet
COMMU;1140;Curtafond
COMMU;1142;Dagneux
COMMU;1147;Domsure
COMMU;1151;Druillat
COMMU;1159;Feillens
COMMU;1170;Geovreissiat
COMMU;1171;Geovreisset
COMMU;1181;Groissiat
COMMU;1192;Izernore
