LIAISON_INF__LIAISON;SENS;ABS_DEB;ABS_FIN;LIBELLE;TENANT;ABOUT
A42-A432;S2;0;1690;A42-A432 (noeud de La Boisse);A42;A432
A42-A432;S4;0;740;A42-A432 (noeud de La Boisse);A42;A432
A5-A10;E1;0;1855;Noeud des Eprunes;A5;A105
A5-A10;S2;0;844;Noeud des Eprunes;A5;A105
A5-A19;E1;0;958;Noeud de la Chapelle-sur-Oreus;A5;A19
A105-12.a;E1;0;429;n°12.a Moissy-Cramayel;A105;
A105-11;E2;0;370;n°11 Evry-Grégy;A105;
A105-11;S1;0;580;n°11 Evry-Grégy;A105;
A105-12.a;S1;0;617;n°12.a Moissy-Cramayel;A105;
A105-12.b;S1;0;478;n°12.b Moissy-Cramayel;A105;
A105-12;E2;0;293;n°12 Moissy-Cramayel;A105;
A105-12;S2;0;383;n°12 Moissy-Cramayel;A105;
A105-13;E1;0;455;n°13 Réau;A105;
A105-13;E2;0;442;n°13 Réau;A105;
A105-13;S1;0;325;n°13 Réau;A105;
A105-13;S2;0;509;n°13 Réau;A105;
A105-14;E1;0;698;n°14 Vert-St.Denis;A105;
A105-14;E2;0;474;n°14 Vert-St.Denis;A105;
A105-14;S1;0;556;n°14 Vert-St.Denis;A105;
A105-14;S2;0;502;n°14 Vert-St.Denis;A105;
A105-Est;S2;0;869;N104 Noeud du Val Ganisse;A105;
A19-1;E1;0;820;n°1 St. Denis-les Sens;A19;
A19-1;E2;0;689;n°1 St. Denis-les Sens;A19;
A19-1;S1;0;755;n°1 St. Denis-les Sens;A19;
A19-1;S2;0;633;n°1 St. Denis-les Sens;A19;
A19-2;E1;0;877;n°2 Villeneuve- la-Dondagre;A19;
A19-2;E2;0;689;n°2 Villeneuve- la-Dondagre;A19;
A19-2;S1;0;1064;n°2 Villeneuve- la-Dondagre;A19;
A26-23;E1;0;823;n°23 Thennelières;A26;
A26-23;E2;0;819;n°23 Thennelières;A26;
A26-23;S1;0;891;n°23 Thennelières;A26;
A26-23;S2;0;858;n°23 Thennelières;A26;
A31-6;E1;0;853;n°6 Langres-Sud;A31;
A31-6;E2;0;725;n°6 Langres-Sud;A31;
A31-6;S1;0;802;n°6 Langres-Sud;A31;
A31-6;S2;0;843;n°6 Langres-Sud;A31;
A31-1;E1;0;761;n°1 Nuits-St.Georges;A31;
A31-1;E2;0;334;n°1 Nuits-St.Georges;A31;
A31-1;S1;0;1019;n°1 Nuits-St.Georges;A31;
A31-1;S2;0;406;n°1 Nuits-St.Georges;A31;
A5A-13;E1;0;470;n°13 (Plessis-Picard);A5A;
A5A-13;S2;0;163;n°13 (Plessis-Picard);A5A;
A71-11;E1;0;325;n°11 (Montmarault);A71;
A71-11;E2;0;976;n°11 (Montmarault);A71;
A71-11;S1;0;748;n°11 (Montmarault);A71;
A71-11;S2;0;800;n°11 (Montmarault);A71;
A71-12.1;E1;0;527;n°12.1 (Combronde);A71;
A71-12.1;E2;0;823;n°12.1 (Combronde);A71;
A71-12.1;S1;0;334;n°12.1 (Combronde);A71;
A71-12.1;S2;0;934;n°12.1 (Combronde);A71;
A71-13;E1;0;424;n°13 (Riom);A71;
A71-13;E2;0;1320;n°13 (Riom);A71;
A71-13;S1;0;550;n°13 (Riom);A71;
A71-13;S2;0;1476;n°13 (Riom);A71;
A71-16;E1;0;383;n°16 (Le Brézet);A71;
A71-16;E2;0;410;n°16 (Le Brézet);A71;
A71-16;S1;0;302;n°16 (Le Brézet);A71;
A71-16;S2;0;300;n°16 (Le Brézet);A71;
A714-35;E1;0;58;n°35 (Le Pont des Nautes);A714;
A714-35;E2;0;374;n°35 (Le Pont des Nautes);A714;
A714-35;S1;0;420;n°35 (Le Pont des Nautes);A714;
A714-35;S2;0;65;n°35 (Le Pont des Nautes);A714;
A714-36;E1;0;428;n°36 (La Croix de Fragne);A714;
A714-36;E2;0;462;n°36 (La Croix de Fragne);A714;
A714-36;S1;0;468;n°36 (La Croix de Fragne);A714;
A714-36;S2;0;494;n°36 (La Croix de Fragne);A714;
A71-7;E1;0;1000;n°7 (Bourges);A71;
A71-7;E2;0;560;n°7 (Bourges COFIROUTE);A71;
A71-7;S1;0;769;n°7 (Bourges COFIROUTE);A71;
A71-7;S2;0;609;n°7 (Bourges);A71;
A71-8;E1;0;1044;n°8 (St.Amand-Montrond);A71;
A71-8;E2;0;476;n°8 (St.Amand-Montrond);A71;
A71-8;S1;0;994;n°8 (St.Amand-Montrond);A71;
A71-8;S2;0;351;n°8 (St.Amand-Montrond);A71;
A71-9;E1;0;428;n°9 (Forêt de Tronçais);A71;
A71-9;E2;0;836;n°9 (Forêt de Tronçais);A71;
A71-9;S1;0;397;n°9 (Forêt de Tronçais);A71;
A71-9;S2;0;1034;n°9 (Forêt de Tronçais);A71;
A719-13;E2;0;147;n°13 (RD998-Ebreuil);A719;
A719-13;S1;0;385;n°13 (RD998-Ebreuil);A719;
A719-14;E2;0;429;n°14 (RN9);A719;
A719-14;S2;0;712;n°14 (RN9);A719;
A77-17;E1;0;312;n°17 (Dordives);A77;
A77-17;E2;0;629;n°17 (Dordives);A77;
A77-17;S1;0;749;n°17 (Dordives);A77;
A77-17;S2;0;408;n°17 (Dordives);A77;
A77-18;E1;0;1175;n°18 (Le Tourneau);A77;
A77-18;E2;0;413;n°18 (Le Tourneau);A77;
A77-18;S1;0;575;n°18 (Le Tourneau);A77;
A77-18;S2;0;760;n°18 (Le Tourneau);A77;
A77-18.1;E2;0;616;n°18.1 (Varennes-Changy);A77;
A77-18.1;S1;0;1063;n°18.1 (Varennes-Changy);A77;
A77-19;E1;0;278;n°19 (Boismorand);A77;
A77-19;E2;0;349;n°19 (Boismorand);A77;
A77-19;S1;0;348;n°19 (Boismorand);A77;
A77-19;S2;0;303;n°19 (Boismorand);A77;
A77-20;E1;0;249;n°20 (Briare);A77;
A77-20;E2;0;928;n°20 (Briare);A77;
A77-20;S1;0;305;n°20 (Briare);A77;
A77-20;S2;0;952;n°20 (Briare);A77;
A77-21;E1;0;325;n°21 (Bonny-sur-Loire);A77;
A77-21;E2;0;364;n°21 (Bonny-sur-Loire);A77;
A77-21;S1;0;384;n°21 (Bonny-sur-Loire);A77;
A77-21;S2;0;422;n°21 (Bonny-sur-Loire);A77;
A77-22;E1;0;327;n°22 (Cosne-Nord);A77;
A77-22;E2;0;317;n°22 (Cosne-Nord);A77;
A77-22;S1;0;348;n°22 (Cosne-Nord);A77;
A77-22;S2;0;328;n°22 (Cosne-Nord);A77;
A77-22.1;E2;0;307;n°22.1 (Cosne-Centre);A77;
A77-22.1;S1;0;283;n°22.1 (Cosne-Centre);A77;
A26-22;E1;0;810;n°22 Charmont-s/s-Barbuise;A26;
A26-22;E2;0;1214;n°22 Charmont-s/s-Barbuise;A26;
A26-22;S1;0;1021;n°22 Charmont-s/s-Barbuise;A26;
A26-22;S2;0;1407;n°22 Charmont-s/s-Barbuise;A26;
A710W-15;E2;0;258;n°15 (Clermont-Nord);A710W;
A710W-15;S1;0;212;n°15 (Clermont-Nord);A710W;
A31-A311;E2;0;1013;A31-A311 (biffur. de Gevrey);A31;A311
A31-A311;S1;0;1989;A31-A311 (biffur. de Gevrey);A31;A311
A31-A36;E2;0;1431;A31-A36 (biffur. de Serrigny);A36;A31
A31-A36;S1;0;1111;A31-A36 (biffur. de Serrigny);A 36;A31
A31-A39;E1;0;452;A31-A39 (noeud de Fauverney);A31;A39
A31-A39;E2;0;324;A31-A39 (noeud de Fauverney);A31;A39
A31-A39;E3;0;767;A31-A39 (noeud de Fauverney);A31;A39
A31-A39;S1;0;888;A31-A39 (noeud de Fauverney);A31;A39
A31-A39;S2;0;1398;A31-A39 (noeud de Fauverney);A31;A39
A31-A39;S4;0;489;A31-A39 (noeud de Fauverney);A31;A39
A36-A39;E1;0;399;A36-A39 (noeud de Ste.Seine-en-Bâche);A36;A39
A36-A39;E2;0;536;A36-A39 (noeud de Ste.Seine-en-Bâche);A36;A39
A36-A39;E3;0;540;A36-A39 (noeud de Ste.Seine-en-Bâche);A36;A39
A36-A39;E4;0;1658;A36-A39 (noeud de Ste.Seine-en-Bâche);A36;A39
A36-A39;S1;0;1696;A36-A39 (noeud de Ste.Seine-en-Bâche);A36;A39
A36-A39;S2;0;376;A36-A39 (noeud de Ste.Seine-en-Bâche);A36;A39
A36-A39;S3;0;407;A36-A39 (noeud de Ste.Seine-en-Bâche);A36;A39
A36-A39;S4;0;431;A36-A39 (noeud de Ste.Seine-en-Bâche);A36;A39
A39-A391;E1;0;725;A39 (noeud de Bersaillin);A39;A391
A39-A391;S2;0;288;A39 (noeud de Bersaillin);A39;A391
A39-A40;E2;0;1379;A39-A40 (noeud de Viriat);A39;A40
A39-A40;S1;0;826;A39-A40 (noeud de Viriat);A39;A40
A40-A404;E1;0;259;A40-A404 (noeud de Maillat);A404;A40
A40-A404;E3;0;757;A40-A404 (noeud de Maillat);A404;A40
A40-A404;S2;0;329;A40-A404 (noeud de Maillat);A404;A40
A40-A42;E2;0;679;A40-A42 (noeud de Pont-d''Ain);A40;A42
A40-A42;S1;0;1637;A40-A42 (noeud de Pont-d''Ain);A40;A42
A42-A432;E1;0;1037;A42-A432 (noeud de La Boisse);A42;A432
A42-A432;E2;0;1342;A42-A432 (noeud de La Boisse);A42;A432
A42-A432;E3;0;1921;A42-A432 (noeud de La Boisse);A42;A432
A42-A432;S1;0;1266;A42-A432 (noeud de La Boisse);A42;A432
A31-10;E2;0;371;n°10 (Chatenois);A31;
A42-8;S1;0;482;n°8 (Ambérieu);A42;
A42-8;S2;0;845;n°8 (Ambérieu);A42;
A42-9;E1;0;609;n°9 (Pont-d''Ain);A42;
A42-9;E2;0;604;n°9 (Pont-d''Ain);A42;
A42-9;S1;0;524;n°9 (Pont-d''Ain);A42;
A42-9;S2;0;943;n°9 (Pont-d''Ain);A42;
A5-A19;S2;0;1935;Noeud de la Chapelle-sur-Oreus;A5;A19
A5-A26;E2;0;917;A5 (noeud de Clérey);A5;A26
A5-A26;S2;0;876;A5 (noeud de Clérey);A5;A26
A5-A31;E2;0;844;A5-A31 Noeud de Beauchemin;A5;A31
A5-A31;S2;0;2592;A5-A31 Noeud de Beauchemin;A5;A31
A5A-N104;E1;0;862;N104 (noeud de La Justice) DDE;A5A;
A5A-N104;S2;0;1404;N104 (noeud de La Justice) DDE;A5A;
A6-A31;E2;0;1155;A6 (noeud de Beaune);A6;A31
A6-A19;S1;0;1437;Noeud A6-A19;A6;A19
A6-A19;S2;0;2794;Noeud A6-A19;A6;A19
A6-A31;S1;0;1963;A6 (noeud de Beaune);A6;A31
A71-A714;E2;0;632;A71-A714 (Montluçon);A71;A714
A71-A714;S1;0;371;A71-A714 (Montluçon);A71;A714
A71-A719;E2;0;731;A71-A719 (noeud de Gannat);A71;A719
A71-A719;S1;0;582;A71-A719 (noeud de Gannat);A71;A719
A71-A89;E1;0;776;A71-A89 (ASF);A71;A89
A71-A89;E2;0;1273;A71-A89 (ASF);A71;A89
A71-A89;S1;0;809;A71-A89 (ASF);A71;A89
A71-A89;S2;0;1378;A71-A89 (ASF);A71;A89
A71-A711;E1;0;663;A71-A711(DDE);A71;
A71-A711;E2;0;492;A71-A711(DDE);A71;
A71-A711;S1;0;828;A71-A711(DDE);A71;
A71-A711;S2;0;403;A71-A711(DDE);A71;
A71-A710;E1;0;516;a71-A710(ouest)-A710(ASF);A71;A710W
A71-A710;E2;0;1194;a71-A710(ouest)-A710(ASF);A71;A710
A71-A710;E4;0;1150;a71-A710(ouest)-A710(ASF);A71;A710
A71-A710;S1;0;1952;a71-A710(ouest)-A710(ASF);A71;A710
A71-A710;S2;0;457;a71-A710(ouest)-A710(ASF);A71;A710W
A71-A710;S3;0;720;a71-A710(ouest)-A710(ASF);A71;A710W
A105-Est;E1;0;508;N104 Noeud du Val Ganisse;A105;
A31-10;S1;0;501;n°10 (Chatenois);A31;
A31-10;S2;0;443;n°10 (Chatenois);A31;
A31-11;E1;0;501;n°11 (Colombey-Les-Belles);A31;
A31-11;E2;0;929;n°11 (Colombey-Les-Belles);A31;
A31-11;S1;0;745;n°11 (Colombey-Les-Belles);A31;
A31-11;S2;0;821;n°11 (Colombey-Les-Belles);A31;
A31-12;E2;0;486;n°12 (RN 4 - Toul);A31;
A31-12;S1;0;1137;n°12 (RN 4 - Toul);A31;
A31-4;E1;0;1666;n°4 Dijon - Arc-sur-Tille;A31;
A31-4;E2;0;572;n°4 Dijon - Arc-sur-Tille;A31;
A31-4;S1;0;744;n°4 Dijon - Arc-sur-Tille;A31;
A31-4;S2;0;1065;n°4 Dijon - Arc-sur-Tille;A31;
A31-5;E1;0;889;n°5 Til-Châtel;A31;
A31-5;E2;0;1100;n°5 Til-Châtel;A31;
A31-5;S1;0;913;n°5 Til-Châtel;A31;
A31-5;S2;0;1079;n°5 Til-Châtel;A31;
A31-7;E1;0;732;n°7 (Langres-Nord);A31;
A31-7;E2;0;1113;n°7 (Langres-Nord);A31;
A31-7;S1;0;1559;n°7 (Langres-Nord);A31;
A31-7;S2;0;491;n°7 (Langres-Nord);A31;
A31-8;E1;0;1088;n°8 (Montigny-Le-Roi);A31;
A31-8;E2;0;334;n°8 (Montigny-Le-Roi);A31;
A31-8;S1;0;1247;n°8 (Montigny-Le-Roi);A31;
A31-8;S2;0;440;n°8 (Montigny-Le-Roi);A31;
A31-8.1;E1;0;738;n°8.1 (Robécourt);A31;
A31-8.1;E2;0;685;n°8.1 (Robécourt);A31;
A31-8.1;S1;0;502;n°8.1 (Robécourt);A31;
