CD_VOIE_INF__VOIE;LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;ABS_FIN;NUM;NBRE;NUM_VNR;NBRE_VNR
VL;A6;1;285105;286800;2;3;3;5
VR;A6;1;285105;286800;3;3;4;5
BDG;A6;1;285105;286800;0;0;5;5
BAU;A6;1;286800;289100;0;0;1;5
VS;A6;1;286800;289100;1;3;2;5
VL;A6;1;286800;289100;2;3;3;5
VR;A6;1;286800;289100;3;3;4;5
BDG;A6;1;286800;289100;0;0;5;5
BAU;A6;1;289100;304400;0;0;1;4
VL;A6;1;289100;304400;1;2;2;4
VR;A6;1;289100;304400;2;2;3;4
BDG;A6;1;289100;304400;0;0;4;4
BAU;A6;1;304400;304604;0;0;1;5
VL;A6;1;304400;304604;1;3;2;5
VM1;A6;1;304400;304604;2;3;3;5
VR;A6;1;304400;304604;3;3;4;5
BDG;A6;1;304400;304604;0;0;5;5
BAU;A6;1;304604;305000;0;0;1;7
VL;A6;1;304604;305000;1;5;2;7
VM1;A6;1;304604;305000;2;5;3;7
VM2;A6;1;304604;305000;3;5;4;7
VM3;A6;1;304604;305000;4;5;5;7
VR;A6;1;304604;305000;5;5;6;7
BDG;A6;1;304604;305000;0;0;7;7
BAU;A6;1;305000;314700;0;0;1;6
VL;A6;1;305000;314700;1;4;2;6
VM1;A6;1;305000;314700;2;4;3;6
VM2;A6;1;305000;314700;3;4;4;6
VR;A6;1;305000;314700;4;4;5;6
BDG;A6;1;305000;314700;0;0;6;6
BAU;A6;1;314700;320900;0;0;1;5
VL;A6;1;314700;320900;1;3;2;5
VM1;A6;1;314700;320900;2;3;3;5
VR;A6;1;314700;320900;3;3;4;5
BDG;A6;1;314700;320900;0;0;5;5
BAU;A6;1;320900;329300;0;0;1;5
VL;A6;1;320900;329300;1;3;2;5
VM1;A6;1;320900;329300;2;3;3;5
VL;A36-14.1;E1;0;214;1;1;1;1
VL;A36-14.1;E2;0;664;1;1;1;1
VL;A36-14.1;S1;0;429;1;1;1;1
VL;A36-14.1;S2;0;251;1;1;1;1
VL;A36-15;E1;0;439;1;1;1;1
VL;A36-15;E2;0;731;1;1;1;1
VL;A36-15;S1;0;790;1;1;1;1
VL;A36-15;S2;0;208;1;1;1;1
VL;A36-16;E1;0;539;1;1;1;1
VL;A36-16;S2;0;488;1;1;1;1
VL;A36-2;E1;0;1009;1;1;1;1
VL;A36-2;E2;0;699;1;1;1;1
VL;A36-2;S1;0;1094;1;1;1;1
VL;A36-2;S2;0;464;1;1;1;1
VL;A36-2.1;E1;0;1013;1;1;1;1
VL;A36-2.1;E2;0;221;1;1;1;1
VL;A36-2.1;S1;0;1173;1;1;1;1
VL;A36-2.1;S2;0;503;1;1;1;1
VL;A36-3;E1;0;713;1;1;1;1
BAU;A5;2;208012;227682;0;0;1;4
VL;A36-3;E2;0;234;1;1;1;1
VL;A36-3;S1;0;672;1;1;1;1
VL;A36-3;S2;0;555;1;1;1;1
VL;A36-4;E1;0;982;1;1;1;1
VL;A36-4;E2;0;420;1;1;1;1
VL;A36-4;S1;0;951;1;1;1;1
VL;A36-4;S2;0;688;1;1;1;1
VL;A36-4.1;E1;0;911;1;1;1;1
VL;A36-4.1;E2;0;368;1;1;1;1
VL;A36-4.1;S1;0;980;1;1;1;1
VL;A36-4.1;S2;0;402;1;1;1;1
VL;A36-5;E1;0;581;1;1;1;1
VL;A36-5;E2;0;511;1;1;1;1
VL;A36-5;S1;0;676;1;1;1;1
VL;A36-5;S2;0;451;1;1;1;1
VL;A36-6;E1;0;957;1;1;1;1
VL;A36-6;E2;0;293;1;1;1;1
VL;A36-6;S1;0;606;1;1;1;1
VL;A36-6;S2;0;681;1;1;1;1
VL;A36-6.1;E1;0;337;1;1;1;1
VL;A36-6.1;E2;0;359;1;1;1;1
VL;A36-6.1;S1;0;343;1;1;1;1
VL;A36-6.1;S2;0;474;1;1;1;1
VL;A36-7;E1;0;343;1;1;1;1
VL;A36-7;E2;0;115;1;1;1;1
VL;A36-7;S1;0;314;1;1;1;1
VL;A36-7;S2;0;226;1;1;1;1
VL;A36-8;E1;0;494;1;1;1;1
VL;A36-8;E2;0;746;1;1;1;1
VL;A36-8;S1;0;499;1;1;1;1
VL;A36-8;S2;0;821;1;1;1;1
VL;A36-9;E1;0;956;1;1;1;1
VL;A36-9;E2;0;488;1;1;1;1
VL;A36-9;S1;0;597;1;1;1;1
VL;A36-9;S2;0;748;1;1;1;1
BAU;A39;1;0;5520;0;0;1;4
VL;A39;1;0;5520;1;2;2;4
VR;A39;1;0;5520;2;2;3;4
BDG;A39;1;0;5520;0;0;4;4
BAU;A39;1;6618;22110;0;0;1;4
VL;A39;1;6618;22110;1;2;2;4
VR;A39;1;6618;22110;2;2;3;4
BDG;A39;1;6618;22110;0;0;4;4
BAU;A39;1;22110;40698;0;0;1;4
VL;A39;1;22110;40698;1;2;2;4
VR;A39;1;22110;40698;2;2;3;4
BDG;A39;1;22110;40698;0;0;4;4
BAU;A39;1;40698;121210;0;0;1;4
VL;A39;1;40698;121210;1;2;2;4
VR;A39;1;40698;121210;2;2;3;4
BDG;A39;1;40698;121210;0;0;4;4
BAU;A39;1;121210;144728;0;0;1;4
VL;A39;1;121210;144728;1;2;2;4
VR;A39;1;121210;144728;2;2;3;4
BDG;A39;1;121210;144728;0;0;4;4
BAU;A39;2;0;5190;0;0;1;4
VL;A39;2;0;5190;1;2;2;4
VR;A39;2;0;5190;2;2;3;4
BDG;A39;2;0;5190;0;0;4;4
BAU;A39;2;5190;5520;0;0;1;4
VL;A39;2;5190;5520;1;2;2;4
VR;A39;2;5190;5520;2;2;3;4
BDG;A39;2;5190;5520;0;0;4;4
BAU;A39;2;6618;22110;0;0;1;4
