LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;CD_GARE_INF__TYPE;NUM_EXPLOIT;NOM;DATE_MS;VOI_ENTREE;VOI_SORTIE;VOI_MIXTE;VOI_TSA;OBSERV
A39;3;122000;Ga;n°242;Beaupont;;;;;;
A391;3;920;Ba;n°239;Bersaillin;;;;;;
A40;3;115850;Ga;n°147;Sylans;;;;;;
A40;3;125420;Ga;n°146;St.Martin-du-Fresne;;;;;;
A40;3;156560;Ga;n°145;Bourg-Sud;;;;;;
A40;3;166960;Ga;n°144;Viriat;;;;;;
A40;3;176990;Ga;n°143;Bourg-Nord;;;;;;
A40;3;188600;Ga;n°149;St.Genis-sur-Menthon;;;;;;
A40;3;198630;Ga;n°142;Replonges;;;;;;
A40;3;201900;Ga;n°141;Feillens;;;;;;
A40;3;204630;Ga;n°140;Mâcon-Centre;;;;;;
A404;3;5970;Ga;n°154;Croix-Chalon;;;;;;
A404;3;12550;Ba;n°165;Groissiat;;;;;;
A406;3;5681;Ga;n°09 443;Crottet - RD933;;;;;;
A406;3;8280;Ba;n°09 243;Val de Saône;;;;;;
A42;3;9720;Ba;n°150;Beynost;;;;;;
A42;2;13200;Ba;n°253;La Cotière Nord;;;;;;
A42;1;13200;Ba;n°253;La Cotière Sud;;;;;;
A42;3;14230;Ga;n° ?;Montluel-RED61;;;;;;
A42;3;18510;Ga;n°151;Balan;;;;;;
A42;3;25800;Ga;n°152;Pérouges;;;;;;
A42;3;42540;Ga;n°154;Ambérieu;;;;;;
A42;3;49900;Ga;n°155;Pont-d''Ain;;;;;;
A432;3;12147;Ba;n°153;La Boisse;;;;;;
A432;1;12147;Ba;n°153;La boisse Est;;;;;;
A432;2;12147;Ba;n°153;La Boisse Ouest;;;;;;
A46;3;9900;Ga;n°421;Genay;;;;;;
A46;3;16400;Ga;n°09 422;Mionnay;;;;;;
A5;3;1490;Ba;n°180;Les Eprunes;;;;;;
A5;3;6940;Ga;n°179;St.Germain Laxis;;;;;;
A5;3;14200;Ga;n°178;Châtillon la Borde;;;;;;
A5;3;31470;Ga;n°177;Forges;;;;;;
A5;3;38990;Ga;n°176;Marolles-sur-Seine;;;;;;
A5;3;88800;Ga;n°175;Vulaines;;;;;;
A5;3;115120;Ga;n°174;Torvilliers;;;;;;
A5;3;131200;Ga;n°173;St.Thibault;;;;;;
A5;3;157430;Ga;n°172;Magnant;;;;;;
A5;3;185100;Ga;n°171;Ville-sous-La Ferté;;;;;;
A5;3;208270;Ga;n°170;Chaumont-Semoutiers;;;;;;
A6;3;50250;Ba;n°101;Fleury;;;;;;
A6;3;60990;Ga;n°102;Ury;;;;;;
A6;3;69870;Ga;n°103;Fontainebleau;;;;;;
A6;3;72820;Ga;n°104;Nemours;;;;;;
A6;3;110870;Ga;n°105;Courtenay;;;;;;
A6;3;127800;Ga;n°106;Joigny;;;;;;
A6;3;153600;Ga;n°107;Auxerre-Nord;;;;;;
A6;3;165300;Ga;n°108;Auxerre-Sud;;;;;;
A6;3;190100;Ga;n°109;Nitry;;;;;;
A6;3;209400;Ga;n°110;Avallon;;;;;;
A6;3;235300;Ga;n°111;Bierre-les-Semur;;;;;;
A6;3;264400;Ba;n°112;n°24 sur A38;;;;;;
A6;3;301500;Ga;n°129;Beaune-Nord;;;;;;
A6;3;306800;Ga;n°114;Beaune;;;;;;
A6;3;328900;Ga;n°115;Chalon-Nord;;;;;;
A6;3;335100;Ga;n°116;Chalon-Sud;;;;;;
A6;3;355400;Ga;n°117;Tournus;;;;;;
A6;3;380900;Ga;n°118;Mâcon-Nord;;;;;;
A6;3;391230;Ga;n°119;Mâcon-Sud;;;;;;
A6;3;412500;Ga;n°120;Belleville;;;;;;
A6;3;421450;Ga;n°221;Villefranche Nord ;;;;;;
A6;3;426750;Ga;n°121;Villefranche;;;;;;
A6;3;427200;Ba;n°122;Limas;;;;;;
A71;3;251230;Ga;n°61;St.Amand-Montrond;;;;;;
A71;3;280430;Ga;n°62;Forêt de Tronçais;;;;;;
A71;3;317960;Ga;n°64;Montmarault;;;;;;
A71;3;362400;Ga;n°76;Combronde;;;;;;
A71;3;374880;Ga;n°77;Riom;;;;;;
A71;3;380700;Ga/3;n°78;Gerzat-est;;;;;;
A71;3;380910;Ga/3;n°78;Gerzat-est;;;;;;
A71;3;380910;Ba;n°79;Clermont;;;;;;
A71;3;380940;Ga/3;n°78;Gerzat-ouest;;;;;;
A714;3;770;Ba;n°63;Bizeneuille;;;;;;
A719;3;1100;Ba;n°65;Gannat;;;;;;
A77;3;5660;Ga;n°201;Val de Loing-Souppes;;;;;;
A77;3;5660;Ba;n°202;Val de Loing-Barrière;;;;;;
A77;3;6900;Ga;n°403;Dordives;;;;;;
A77;3;28110;Ga;n°404;Le Tourneau;;;;;;
A77;3;97410;Ba;n°405;Myennes;;;;;;
TML;3;2930;Ba;n°429;Tunnel Maurice Lemaire;;;;;;
A19;3;4770;Ga;n°184;St. Denis-les Sens;;;;;;
A19;3;17780;Ga;n°181;Villeneuve- la-Dondagre;;;;;;
A26;3;387140;Ga;n°183;Thennelières;;;;;;
A31;1;14700;Ga;n°124;Nuits-St.Georges;;;;;;
A31;3;47360;Ga;n°160;Dijon - Arc-sur-Tille;;;;;;
A31;3;70200;Ga;n°161;Til-Châtel;;;;;;
A31;3;100250;Ga;n°162;Langres-Sud;;;;;;
A31;3;119900;Ga;n°163;Langres-Nord;;;;;;
A31;3;140000;Ga;n°164;Montigny-Le-Roi;;;;;;
A31;3;161960;Ga;n°265;Robécourt;;;;;;
A31;3;175950;Ga;n°166;Bulgnéville;;;;;;
A31;3;186100;Ga;n°167;Chatenois;;;;;;
A31;3;214800;Ga;n°168;Colombey-Les-Belles;;;;;;
A31;3;225500;Ba;n°169;Gye;;;;;;
A311;3;30520;Ga;n° ?;RD108-Dijon-Sud;;;;;;
A311;3;30024;Ba;n°125;Dijon-Sud;;;;;;
A36;3;24300;Ba;n°431;Fontaine;;;;;;
A36;3;65810;Ba;n°132;St.Maurice;;;;;;
A36;3;73200;Ga;n°128;L''Isle-sur-Le-Doubs;;;;;;
A36;3;90500;Ga;n°133;Baume-Les-Dames;;;;;;
A36;3;109580;Ga;n°131;Besançon-Est;;;;;;
A36;3;124200;Ga;n°134;Besançon-Nord;;;;;;
A36;3;133600;Ga;n°135;Besançon-Ouest;;;;;;
A36;3;149620;Ga;n°136;Gendrey;;;;;;
A36;3;166200;Ga;n°137;Dole;;;;;;
A36;3;195900;Ga;n°139;Seurre;;;;;;
A39;3;5900;Ba;n°126;Dijon-Crimolois;;;;;;
A39;3;21600;Ga;n°130;Soirans;;;;;;
A39;3;40410;Ga;n°138;Choisey;;;;;;
A39;3;78300;Ga;n° ?;Arlay;;;;;;
A39;3;93700;Ga;n°240;Beaurepaire-en-Bresse;;;;;;
A39;3;108840;Ga;n°241;Le Miroir;;;;;;
