LIAISON;CD_LIAISON_INF__CD_LIAISON;LIBELLE
A5-1-1.5;AIRE;Aire des Eprunes Ouest
A5-1-109;AIRE;Aire de Tomelles
A5-1-124;AIRE;Aire de Saint-Pouange
A5-1-140;AIRE;Aire de Troyes Fresnoy le Château
A5-1-175;AIRE;Aire de Mondeville
A5-1-200;AIRE;Aire de Châteauvillain Val Marnay
A5-1-219;AIRE;Aire du Bois Moyen
A5-1-30;AIRE;Aire des Jonchets La Grande Paroisse
A5-1-47;AIRE;Aire de Rasets
A5-15;DIF;n°15 St.Germain Laxis
A5-16;DIF;n°16 Châtillon la Borde
A5-1-68;AIRE;Aire de Montbard
A5-17;DIF;n°17 Forges
A5-18;DIF;n°18 Marolles-sur-Seine
A5-1-85;AIRE;Aire de Villeneuve l''Archevêque
A5-19;DIF;n°19 Vulaines
A5-20;DIF;n°20 Torvilliers
A5-21;DIF;n°21 St.Thibault
A5-2-1.5;AIRE;Aire des Eprunes Est
A5-2-109;AIRE;Aire de Fontvannes
A5-2-124;AIRE;Aire de La Coloterie
A5-2-140;AIRE;Aire de Troyes le Plessis
A5-2-175;AIRE;Aire de Champignol
A5-22;DIF;n°22 Magnant
A5-2-200;AIRE;Aire de Châteauvillain Orges
A5-2-208;AIRE;Sortie 24
A5-2-219;AIRE;Aire de Champs à la croix
A5-23;DIF;n°23 Ville-sous- La Ferté
A5-2-30;AIRE;Aire des Jonchets les Récompenses
A5-24;DIF;n°24 Chaumont-Semoutiers
A5-2-47;AIRE;Aire de Gravon
A5-2-68;AIRE;Aire de Montaphilant
A5-2-85;AIRE;Aire de Villeneuve Vauluisant
A5A;AUTO;Paris - Les Eprunes
A5A_N104;ECH;Noeud de la Justice
A5A-10;DIF;n°10 Servigny
A5-A10;ECH;Noeud des Eprunes
A5A-10.a;DIF;n°10.a (Carré-Senart)
A5A-10.A;DIF;n°10.a Carré-Senart
A5A-10.b;DIF;n°10 b (Senart-Savigny)
A5A-10.c;DIF;n°10.c (Lieusaint)
A5A-11;DIF;n°11 (Savigny-Le-Temple)
A5A-12;DIF;n°12 (Arvigny)
A5A-13;DIF;n°13 (Plessis-Picard)
A5A-1-6.4;AIRE;Aire du Plessis-Picard-Ourdy
A5-A19;ECH;Noeud de la Chapelle-sur-Oreus
A5-A26;ECH;A5 (noeud de Clérey)
A5-A31;ECH;A5-A31 Noeud de Beauchemin
A5A-N104;ECH;N104 (noeud de La Justice) DDE
A6;AUTO;Paris - Lyon
A6-;DIF;Pouilly-en -Auxois (n°24 sur A38)
A6_A38;ECH;Noeud A6_A38
A6_A77;ECH;Noeud du Puys
A6-1-103;AIRE;Aire du Parc Thierry
A6-1-117;AIRE;Aire des Châtaigniers
A6-1-123;AIRE;Aire de La Réserve
A6-1-132;AIRE;Aire de La Racheuse
A6-1-150;AIRE;Aire de La Biche
A6-1-154;AIRE;Sortie 19
A6-1-158;AIRE;Aire des Bois Impériaux
A6-1-167;AIRE;Aire de Venoy Grosse Pierre
A6-1-174;AIRE;Aire de La Grosse Tour
A6-1-187;AIRE;Aire de La Couée
A6-1-198;AIRE;Aire de Montmorency
A6-1-213;AIRE;Aire de La Chaponne
A6-1-223;AIRE;Aire d''Époisses
A6-1-233;AIRE;Aire de Ruffey
A6-1-242;AIRE;Aire de Fermenot
A6-1-255;AIRE;Aire du Chien Blanc
A6-1-269;AIRE;Aire du Chaignot
