CD_PRESTATAIRE_INF__TYPE;NOM
Espace Client;Es
Gendarmerie;gendarmerie
Gendarmerie;gendarmerie + CRS
Hôtel;Côté France
Hôtel;Etap Hôtel
Hôtel;Formule1
Hôtel;Hôtel indépendant
Hôtel;IBIS
Hôtel;Kyriad
Hôtel;Mercure
Pétrolier;Agip
Pétrolier;Avia
Pétrolier;BP
Pétrolier;Carrefour
Pétrolier;Esso
Pétrolier;Leclerc
Pétrolier;Shell
Pétrolier;Total
Restaurant;Autogrill
Restaurant;Côté France
Restaurant;Eris AVIA
Restaurant;L''Arche
Restaurant;Le Boeuf Jardinier
Restaurant;McDonald''s
Restaurant;Quick
Restaurant;Restaurant indépendant
Restaurant;Truckstore
Restauration légère;Arcotel
Restauration légère;Bert''s
Restauration légère;Brioche dorée
Restauration légère;Café Route
Restauration légère;Cafétéria indépendante
Restauration légère;L''Arche Café
Restauration légère;La Croissanterie
Restauration légère;Paul
Restauration légère;Pomme de Pain
