CD_PT_SING_INF__CODE;LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;NOM_USAGE;LIBELLE;COMMENTAIRE
RAU;A40;1;113190;153;;
RAU;A6;2;132134;14 04;;
ACCSER;A6;1;360920;;;
RAU;A36;2;60361;52 14;;
ACCSER;A40;2;164209;;;
ACCSER;A36;2;150120;;;
RAU;A31;1;206130;;;
ACCSER;A31;1;142754;;;
RAU;A19;2;8340;12.56;;
RAU;A19;2;5765;12.52;;
RAU;A39;1;57098;57 03;;
ACCSER;A71;1;383830;;;
RAU;A40;2;135750;208;;
RAU;A19;2;7317;12.54;;
RAU;A39;1;76624;57 23;;
RAU;A5;1;168649;;;
RAU;A5;1;113580;;;
RAU;A5;2;203570;;;
RAU;A5;2;59970;15 34;;
RAU;A77;2;72480;18034;;
RAU;A6;1;204885;31 23;;
RAU;A31;1;96790;;;
RAU;A31;1;11400;33 91;;
RAU;A31;1;169870;;;
RAU;A5A;2;4995;TAO.4R;;
RAU;A39;2;10899;2-11+0-E;;
ACCSER;A6;1;316050;;;
RAU;A31;1;105070;;;
ACCSER;A71;2;349517;;;
RAU;A6;2;389025;41 38;;
RAU;A5;2;46980;15 48;;
RAU;A5;2;214610;;;
ACCSER;A36;1;174210;;;
RAU;A36;1;90400;52 53;;
ACCSER;A71;1;291457;;;
RAU;A31;2;199000;;;
RAU;A19;2;13306;12.62;;
ACCSER;A5;2;136670;;;
RAU;A31;1;176480;;;
ACCSER;A31;1;123410;;;
ACCSER;A31;2;123600;;;
RAU;A39;2;6699;2-6+8-E;;
RAU;A6;1;269035;32 37;;
RAU;A31;2;221890;;;
ACCSER;A36;1;203810;;;
RAU;A36;2;118007;53 14;;
ACCSER;A40;1;157770;;;
ACCSER;A5;1;186522;;;
RAU;A5;2;480;15 98;;
RAU;A77;2;16194;17 14;;
RAU;A36;1;148091;53 43;;
RAU;A5;2;121780;;;
RAU;A31;1;85614;1-85+6;;
RAU;A42;2;30700;43 28 ;;
RAU;A31;1;36450;1-36+5;;
RAU;A31;2;151700;;;
ACCSER;A6;1;212760;;;
RAU;A6;1;166844;14 51;;
ACCSER;A6;2;277590;;;
RAU;A6;2;246000;32 14;;
RAU;A6;2;149559;14 28;;
RAU;A6;2;278540;32 48;;
RAU;A6;2;279100;32 50;;
RAU;A77;1;10083;17 07;;
RAU;A77;1;11313;17 09;;
RAU;A5;1;121780;;;
RAU;A77;2;67260;18026;;
RAU;A31;2;211490;;;
RAU;A77;2;12299;17 10;;
RAU;A6;1;179655;31 01;;
RAU;A77;2;62260;18020;;
RAU;A77;2;64260;18022;;
RAU;A77;2;65940;18024;;
RAU;A5;2;54270;15 40;;
ACCSER;A5;1;98202;;;
RAU;A42;1;13150;43.09;;
RAU;A42;1;28650;43 25 ;;
