LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;ABS_FIN;CD_TPC_INF__CODE;LARGEUR
A36;3;198770;198870;ITPC;
A39;3;115495;115595;ITPC;
A39;3;117555;117655;ITPC;
A31;3;155897;155997;ITPC;
A31;3;157710;157810;ITPC;
A36;3;10360;10460;ITPC;
A6;3;110660;110760;ITPC;
A6;3;324520;324620;ITPC;
A40;3;155775;155875;ITPC;
A6;3;431480;431580;ITPC;
A71;3;332877;332977;ITPC;
A6;3;412500;412600;ITPC;
A6;3;412750;412850;ITPC;
A19;3;580;680;ITPC;
A6;3;253135;253235;ITPC;
A5;3;175135;175235;ITPC;
A31;3;61969;62069;ITPC;
A31;3;36060;36160;ITPC;
A6;3;313790;313890;ITPC;
A6;3;315640;315740;ITPC;
A5;3;33310;33410;ITPC;
A71;3;385256;385356;ITPC;
A42;3;52890;52990;ITPC;
A714;3;7470;7570;ITPC;
A40;3;140710;140810;ITPC;
A36;3;90550;90650;ITPC;
A404;3;5725;5825;ITPC;
A19;3;15180;15280;ITPC;
A6;3;316850;316950;ITPC;
A6;3;379850;379950;ITPC;
A36;3;36350;36450;ITPC;
A36;3;36930;37030;ITPC;
A36;3;30760;30860;ITPC;
A36;3;31985;32085;ITPC;
A5;3;195348;195448;ITPC;
A5;3;197440;197540;ITPC;
A5;3;86780;86880;ITPC;
A77;3;50050;50150;ITPC;
A40;3;138716;138816;ITPC;
A6;3;300764;300864;ITPC;
A6;3;301128;301228;ITPC;
A40;3;187420;187520;ITPC;
A71;3;346227;346327;ITPC;
A404;3;18121;18221;ITPC;
A77;3;73280;73380;ITPC;
A77;3;44700;44800;ITPC;
A77;3;48050;48150;ITPC;
A71;3;323067;323167;ITPC;
A77;3;95035;95135;ITPC;
A36;3;57580;57680;ITPC;
A36;3;180680;180780;ITPC;
A77;3;29550;29650;ITPC;
A6;3;53600;53700;ITPC;
A77;3;39950;40050;ITPC;
A77;3;17950;18050;ITPC;
A6;3;226460;226560;ITPC;
A77;3;34950;35050;ITPC;
A71;3;317787;317887;ITPC;
A5;3;210583;210683;ITPC;
A31;3;96621;96721;ITPC;
A6;3;175400;175500;ITPC;
A71;3;282507;282607;ITPC;
A71;3;369120;369220;ITPC;
A42;3;12250;12350;ITPC;
A46;3;5230;5330;ITPC;
A46;3;7190;7290;ITPC;
A36;3;50150;50250;ITPC;
A5;3;114713;114813;ITPC;
A5;3;18880;18980;ITPC;
A39;3;13860;13960;ITPC;
A71;3;246919;247019;ITPC;
A36;3;16370;16470;ITPC;
A31;3;227419;227519;ITPC;
A5;3;8340;8440;ITPC;
A404;3;11174;11274;ITPC;
A5A;3;4750;4850;ITPC;
A406;3;5000;5100;ITPC;
A6;3;73020;73120;ITPC;
A77;3;80730;80830;ITPC;
A71;3;262359;262459;ITPC;
A71;3;251189;251289;ITPC;
A31;3;30350;30450;ITPC;
A6;3;232940;233040;ITPC;
A71;3;299967;300067;ITPC;
A31;3;72350;72450;ITPC;
A31;3;73890;73990;ITPC;
A31;3;137986;138086;ITPC;
