LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;FAM_DEC_INF__FAM_DEC;CD_DEC_INF__CD_DEC;ABS_DEB;ABS_FIN
A31;3;COMMU;21016;51705;53900
A31;3;COMMU;21016;54205;54300
A31;3;COMMU;21056;54300;55010
A31;3;COMMU;21111;55010;56707
A31;3;COMMU;21614;56707;59605
A31;3;COMMU;21483;59605;60404
A31;3;COMMU;21614;60404;60508
A31;3;COMMU;21483;60508;62406
A31;3;COMMU;21290;62406;63601
A31;3;COMMU;21361;63601;65507
A31;3;COMMU;21638;65507;72106
A31;3;COMMU;21599;72106;72607
A31;3;COMMU;21472;72607;72701
A31;3;COMMU;21599;72701;72801
A31;3;COMMU;21472;72801;73007
A31;3;COMMU;21599;73007;79107
A31;3;COMMU;21096;79107;79300
A31;3;COMMU;21599;79300;79905
A31;3;COMMU;21096;79905;80101
A31;3;COMMU;21599;80101;83309
A31;3;COMMU;52189;83309;85100
A31;3;COMMU;21665;85100;85400
A31;3;COMMU;52189;85400;86300
A31;3;COMMU;21665;86300;86708
A31;3;COMMU;52519;86708;89500
A31;3;COMMU;52189;89500;91300
A31;3;COMMU;52027;91300;95005
A31;3;COMMU;52014;95005;99808
A31;3;COMMU;52200;99808;100800
A31;3;COMMU;52384;100800;101804
A31;3;COMMU;52355;101804;102710
A31;3;COMMU;52384;102710;104000
A31;3;COMMU;52147;104000;108906
A31;3;COMMU;52447;108906;109608
A31;3;COMMU;52312;109608;112408
A31;3;COMMU;52447;112408;112409
A31;3;COMMU;52366;112409;114060
A31;3;COMMU;52042;114060;118608
A31;3;COMMU;52106;118608;119200
A31;3;COMMU;52432;119200;122010
A31;3;COMMU;52270;122010;124203
A31;3;COMMU;52498;124203;125005
A31;3;COMMU;52432;125005;127404
A31;3;COMMU;39190;127404;132301
A31;3;COMMU;52207;132301;134705
A31;3;COMMU;52059;134705;136701
A31;3;COMMU;52914;136701;141302
A31;3;COMMU;52410;141302;144801
A31;3;COMMU;52283;144801;146005
A31;3;COMMU;52127;146005;148001
A31;3;COMMU;52320;148001;151002
A31;3;COMMU;52074;151002;153703
A31;3;COMMU;88123;153703;154503
A31;3;COMMU;52074;154503;154703
A31;3;COMMU;88123;154703;156608
A31;3;COMMU;52217;156608;158102
A31;3;COMMU;88062;158102;160407
A31;3;COMMU;88390;160407;162406
A31;3;COMMU;88524;162406;166108
A31;3;COMMU;88448;166108;166504
A31;3;COMMU;88524;166504;166701
A31;3;COMMU;88430;166701;167408
A31;3;COMMU;88482;167408;167701
A31;3;COMMU;88430;167701;167903
A31;3;COMMU;88482;167903;168609
A31;3;COMMU;88430;168609;168802
A31;3;COMMU;88482;168802;169006
A31;3;COMMU;88430;169006;169108
A31;3;COMMU;88482;169108;169203
A31;3;COMMU;88430;169203;171500
A31;3;COMMU;88003;171500;171707
A31;3;COMMU;88430;171707;171802
A31;3;COMMU;88003;171802;171902
A31;3;COMMU;88446;171902;174207
A31;3;COMMU;88079;174207;174401
A31;3;COMMU;88496;174401;174801
A31;3;COMMU;88079;174801;176705
