639-2;Nom de la langue;Nom;Nom en anglais
;;(dans la langue correspondante);
aar;Afar;Afaraf;Afar
abk;Abkhaze;?????;Abkhazian
ave;Avestique;Avesta;Avestan
afr;Afrikaans;Afrikaans;Afrikaans
aka;Akan;Akan;Akan
amh;Amharique;????;Amharic
arg;Aragonais;Aragonés;Aragonese
ara;Arabe;????????;Arabic
asm;Assamais;???????;Assamese
ava;Avar;"???? ???? ; ???????? ????";Avaric
aym;Aymara;Aymar aru;Aymara
aze;Azéri;Az?rbaycan dili;Azerbaijani
bak;Bachkir;??????? ????;Bashkir
bel;Biélorusse;??????????;Belarusian
bul;Bulgare;????????? ????;Bulgarian
bih;Bihari;???????;Bihari
bis;Bichelamar;Bislama;Bislama
bam;Bambara;Bamanankan;Bambara
ben;Bengalî;?????;Bengali
tib/bod;Tibétain;???????;Tibetan
bre;Breton;Brezhoneg;Breton
bos;Bosnien;Bosanski jezik;Bosnian
cat;Catalan;Català;Catalan
che;Tchétchène;??????? ????;Chechen
cha;Chamorro;Chamoru;Chamorro
cos;Corse;"Corsu ; lingua corsa";Corsican
cre;Cri;???????;Cree
cze/ces;Tchèque;"?esky ; ?eština";Czech
chu;Vieux slave;??????????;Old Church Slavonic
chv;Tchouvache;????? ?????;Chuvash
wel/cym;Gallois;Cymraeg;Welsh
dan;Danois;Dansk;Danish
ger/deu;Allemand;Deutsch;German
div;Dhivehi;???????;Divehi
dzo;Dzongkha;??????;Dzongkha
ewe;Ewe;???gb?;Ewe
gre/ell;Grec moderne;????????;Greek
eng;Anglais;English;English
epo;Espéranto;Esperanto;Esperanto
spa;Espagnol;"Español; castellano";Spanish
est;Estonien;Eesti keel;Estonian
baq/eus;Basque;Euskara;Basque
per/fas;Persan;??????;Persian
ful;Peul;Fulfulde;Fulah
fin;Finnois;Suomen kieli;Finnish
fij;Fidjien;Vosa Vakaviti;Fijian
fao;Féringien;Føroyskt;Faroese
fre/fra;Français;"Français ; langue française";French
fry;Frison;Frysk;Western Frisian
gle;Irlandais;Gaeilge;Irish
gla;Écossais;Gàidhlig;Scottish Gaelic
glg;Galicien;Galego;Galician
grn;Guarani;Avañe'?;Guarani
guj;Gujarâtî;???????;Gujarati
glv;Mannois;Ghaelg;Manx
hau;Haoussa;???????;Hausa
heb;Hébreu;??????;Hebrew
hin;Hindî;"?????? ; ?????";Hindi
hmo;Hiri motu;Hiri Motu;Hiri Motu
scr/hrv;Croate;Hrvatski;Croatian
hat;Créole haïtien;Kreyòl ayisyen;Haitian
hun;Hongrois;magyar;Hungarian
arm/hye;Arménien;???????;Armenian
her;Herero;Otjiherero;Herero
ina;Interlingua;Interlingua;Interlingua
ind;Indonésien;Bahasa Indonesia;Indonesian
ile;Occidental;Interlingue;Interlingue
ibo;Igbo;Igbo;Igbo
iii;Yi;??;Sichuan Yi
ipk;Inupiaq;"Iñupiaq ; Iñupiatun";Inupiaq
ido;Ido;Ido;Ido
ice/isl;Islandais;Íslenska;Icelandic
ita;Italien;Italiano;Italian
iku;Inuktitut;??????;Inuktitut
jpn;Japonais;??? (????);Japanese
jav;Javanais;Basa Jawa;Javanese
geo/kat;Géorgien;???????;Georgian
kon;Kikongo;KiKongo;Kongo
kik;Kikuyu;G?k?y?;Kikuyu
kua;Kuanyama;Kuanyama;Kwanyama
kaz;Kazakh;????? ????;Kazakh
kal;Kalaallisut;"Kalaallisut ; kalaallit oqaasii";Kalaallisut
khm;Khmer;?????????;Khmer
kan;Kannara;?????;Kannada
kor;Coréen;"??? (???) ; ??? (???)";Korean
kau;Kanouri;Kanuri;Kanuri
kas;Kashmiri;"??????? ; ??????";Kashmiri
kur;Kurde;"Kurdî ; ?????";Kurdish
kom;Komi;???? ???;Komi
cor;Cornique;Kernewek;Cornish
kir;Kirghiz;?????? ????;Kirghiz
lat;Latin;"Latine ; lingua latina";Latin
ltz;Luxembourgeois;Lëtzebuergesch;Luxembourgish
lug;Ganda;Luganda;Ganda
lim;Limbourgeois;Limburgs;Limburgish
lin;Lingala;Lingála;Lingala
lao;Lao;???????;Lao
lit;Lituanien;Lietuvi? kalba;Lithuanian
lub;Luba-katanga;kiluba;Luba-Katanga
lav;Letton;Latviešu valoda;Latvian
mlg;Malgache;Fiteny malagasy;Malagasy
